game,2012,14,20121206,201212060rai,den,"Denver Broncos",26,rai,"Oakland Raiders",13
player,201212060rai,den,CaldAn00,pass_yds,0,,,,,
player,201212060rai,den,CaldAn00,pass_td,0,,,,,
player,201212060rai,den,CaldAn00,pass_int,0,,,,,
player,201212060rai,den,CaldAn00,pass_sacked,0,,,,,
player,201212060rai,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201212060rai,den,CaldAn00,pass_long,0,,,,,
player,201212060rai,den,CaldAn00,pass_rating,,,,,,
player,201212060rai,den,CaldAn00,rush_att,0,,,,,
player,201212060rai,den,CaldAn00,rush_yds,0,,,,,
player,201212060rai,den,CaldAn00,rush_td,0,,,,,
player,201212060rai,den,CaldAn00,rush_long,0,,,,,
player,201212060rai,den,CaldAn00,targets,1,,,,,
player,201212060rai,den,CaldAn00,rec,1,,,,,
player,201212060rai,den,CaldAn00,rec_yds,18,,,,,
player,201212060rai,den,CaldAn00,rec_td,0,,,,,
player,201212060rai,den,CaldAn00,rec_long,18,,,,,
player,201212060rai,den,CaldAn00,fumbles,0,,,,,
player,201212060rai,den,CaldAn00,fumbles_lost,0,,,,,
player,201212060rai,den,GreeVi00,pass_cmp,0,,,,,
player,201212060rai,den,GreeVi00,pass_att,0,,,,,
player,201212060rai,den,GreeVi00,pass_yds,0,,,,,
player,201212060rai,den,GreeVi00,pass_td,0,,,,,
player,201212060rai,den,GreeVi00,pass_int,0,,,,,
player,201212060rai,den,GreeVi00,pass_sacked,0,,,,,
player,201212060rai,den,GreeVi00,pass_sacked_yds,0,,,,,
player,201212060rai,den,GreeVi00,pass_long,0,,,,,
player,201212060rai,den,GreeVi00,pass_rating,,,,,,
player,201212060rai,den,GreeVi00,rush_att,0,,,,,
player,201212060rai,den,GreeVi00,rush_yds,0,,,,,
player,201212060rai,den,GreeVi00,rush_td,0,,,,,
player,201212060rai,den,GreeVi00,rush_long,0,,,,,
player,201212060rai,den,GreeVi00,targets,1,,,,,
player,201212060rai,den,GreeVi00,rec,0,,,,,
player,201212060rai,den,GreeVi00,rec_yds,0,,,,,
player,201212060rai,den,GreeVi00,rec_td,0,,,,,
player,201212060rai,den,GreeVi00,rec_long,0,,,,,
player,201212060rai,den,GreeVi00,fumbles,0,,,,,
player,201212060rai,den,GreeVi00,fumbles_lost,0,,,,,
player,201212060rai,rai,PalmCa00,pass_cmp,19,,,,,
player,201212060rai,rai,PalmCa00,pass_att,30,,,,,
player,201212060rai,rai,PalmCa00,pass_yds,273,,,,,
player,201212060rai,rai,PalmCa00,pass_td,2,,,,,
player,201212060rai,rai,PalmCa00,pass_int,1,,,,,
player,201212060rai,rai,PalmCa00,pass_sacked,1,,,,,
player,201212060rai,rai,PalmCa00,pass_sacked_yds,10,,,,,
player,201212060rai,rai,PalmCa00,pass_long,58,,,,,
player,201212060rai,rai,PalmCa00,pass_rating,101.1,,,,,
player,201212060rai,rai,PalmCa00,rush_att,1,,,,,
player,201212060rai,rai,PalmCa00,rush_yds,-1,,,,,
player,201212060rai,rai,PalmCa00,rush_td,0,,,,,
player,201212060rai,rai,PalmCa00,rush_long,-1,,,,,
player,201212060rai,rai,PalmCa00,targets,0,,,,,
player,201212060rai,rai,PalmCa00,rec,0,,,,,
player,201212060rai,rai,PalmCa00,rec_yds,0,,,,,
player,201212060rai,rai,PalmCa00,rec_td,0,,,,,
player,201212060rai,rai,PalmCa00,rec_long,0,,,,,
player,201212060rai,rai,PalmCa00,fumbles,1,,,,,
player,201212060rai,rai,PalmCa00,fumbles_lost,1,,,,,
player,201212060rai,rai,McFaDa00,pass_cmp,0,,,,,
player,201212060rai,rai,McFaDa00,pass_att,0,,,,,
player,201212060rai,rai,McFaDa00,pass_yds,0,,,,,
player,201212060rai,rai,McFaDa00,pass_td,0,,,,,
player,201212060rai,rai,McFaDa00,pass_int,0,,,,,
player,201212060rai,rai,McFaDa00,pass_sacked,,,,,,
player,201212060rai,rai,McFaDa00,pass_sacked_yds,0,,,,,
player,201212060rai,rai,McFaDa00,pass_long,0,,,,,
player,201212060rai,rai,McFaDa00,pass_rating,,,,,,
player,201212060rai,rai,McFaDa00,rush_att,11,,,,,
player,201212060rai,rai,McFaDa00,rush_yds,52,,,,,
player,201212060rai,rai,McFaDa00,rush_td,0,,,,,
player,201212060rai,rai,McFaDa00,rush_long,36,,,,,
player,201212060rai,rai,McFaDa00,targets,4,,,,,
player,201212060rai,rai,McFaDa00,rec,2,,,,,
player,201212060rai,rai,McFaDa00,rec_yds,12,,,,,
player,201212060rai,rai,McFaDa00,rec_td,1,,,,,
player,201212060rai,rai,McFaDa00,rec_long,6,,,,,
player,201212060rai,rai,McFaDa00,fumbles,0,,,,,
player,201212060rai,rai,McFaDa00,fumbles_lost,0,,,,,
player,201212060rai,rai,ReecMa00,pass_cmp,0,,,,,
player,201212060rai,rai,ReecMa00,pass_att,0,,,,,
player,201212060rai,rai,ReecMa00,pass_yds,0,,,,,
player,201212060rai,rai,ReecMa00,pass_td,0,,,,,
player,201212060rai,rai,ReecMa00,pass_int,0,,,,,
player,201212060rai,rai,ReecMa00,pass_sacked,,,,,,
player,201212060rai,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201212060rai,rai,ReecMa00,pass_long,0,,,,,
player,201212060rai,rai,ReecMa00,pass_rating,,,,,,
player,201212060rai,rai,ReecMa00,rush_att,4,,,,,
player,201212060rai,rai,ReecMa00,rush_yds,10,,,,,
player,201212060rai,rai,ReecMa00,rush_td,0,,,,,
player,201212060rai,rai,ReecMa00,rush_long,5,,,,,
player,201212060rai,rai,ReecMa00,targets,1,,,,,
player,201212060rai,rai,ReecMa00,rec,1,,,,,
player,201212060rai,rai,ReecMa00,rec_yds,5,,,,,
player,201212060rai,rai,ReecMa00,rec_td,0,,,,,
player,201212060rai,rai,ReecMa00,rec_long,5,,,,,
player,201212060rai,rai,ReecMa00,fumbles,0,,,,,
player,201212060rai,rai,ReecMa00,fumbles_lost,0,,,,,
player,201212060rai,rai,StreRo00,pass_cmp,0,,,,,
player,201212060rai,rai,StreRo00,pass_att,0,,,,,
player,201212060rai,rai,StreRo00,pass_yds,0,,,,,
player,201212060rai,rai,StreRo00,pass_td,0,,,,,
player,201212060rai,rai,StreRo00,pass_int,0,,,,,
player,201212060rai,rai,StreRo00,pass_sacked,,,,,,
player,201212060rai,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201212060rai,rai,StreRo00,pass_long,0,,,,,
player,201212060rai,rai,StreRo00,pass_rating,,,,,,
player,201212060rai,rai,StreRo00,rush_att,0,,,,,
player,201212060rai,rai,StreRo00,rush_yds,0,,,,,
player,201212060rai,rai,StreRo00,rush_td,0,,,,,
player,201212060rai,rai,StreRo00,rush_long,0,,,,,
player,201212060rai,rai,StreRo00,targets,7,,,,,
player,201212060rai,rai,StreRo00,rec,4,,,,,
player,201212060rai,rai,StreRo00,rec_yds,100,,,,,
player,201212060rai,rai,StreRo00,rec_td,0,,,,,
player,201212060rai,rai,StreRo00,rec_long,58,,,,,
player,201212060rai,rai,StreRo00,fumbles,0,,,,,
