game,2012,8,20121025,201210250min,tam,"Tampa Bay Buccaneers",36,min,"Minnesota Vikings",17
team,201210250min,tam,First Downs,23,,,,,,
team,201210250min,min,First Downs,16,,,,,,
team,201210250min,tam,Rush-Yds-TDs,41-159-1,,,,,,
team,201210250min,min,Rush-Yds-TDs,21-140-1,,,,,,
team,201210250min,tam,Cmp-Att-Yd-TD-INT,19-36-262-3-0,,,,,,
team,201210250min,min,Cmp-Att-Yd-TD-INT,19-35-251-1-1,,,,,,
team,201210250min,tam,Sacked-Yards,1-5,,,,,,
team,201210250min,min,Sacked-Yards,3-22,,,,,,
team,201210250min,tam,Net Pass Yards,257,,,,,,
team,201210250min,min,Net Pass Yards,229,,,,,,
team,201210250min,tam,Total Yards,416,,,,,,
team,201210250min,min,Total Yards,369,,,,,,
team,201210250min,tam,Fumbles-Lost,1-0,,,,,,
team,201210250min,min,Fumbles-Lost,3-2,,,,,,
team,201210250min,tam,Turnovers,0,,,,,,
team,201210250min,min,Turnovers,3,,,,,,
team,201210250min,tam,Penalties-Yards,4-49,,,,,,
team,201210250min,min,Penalties-Yards,5-32,,,,,,
team,201210250min,tam,Third Down Conv.,8-17,,,,,,
team,201210250min,min,Third Down Conv.,5-13,,,,,,
team,201210250min,tam,Fourth Down Conv.,0-0,,,,,,
team,201210250min,min,Fourth Down Conv.,0-1,,,,,,
team,201210250min,tam,Time of Possession,37:45,,,,,,
team,201210250min,min,Time of Possession,22:15,,,,,,
player,201210250min,tam,FreeJo00,pass_cmp,19,,,,,
player,201210250min,tam,FreeJo00,pass_att,36,,,,,
player,201210250min,tam,FreeJo00,pass_yds,262,,,,,
player,201210250min,tam,FreeJo00,pass_td,3,,,,,
player,201210250min,tam,FreeJo00,pass_int,0,,,,,
player,201210250min,tam,FreeJo00,pass_sacked,1,,,,,
player,201210250min,tam,FreeJo00,pass_sacked_yds,5,,,,,
player,201210250min,tam,FreeJo00,pass_long,64,,,,,
player,201210250min,tam,FreeJo00,pass_rating,104.2,,,,,
player,201210250min,tam,FreeJo00,rush_att,3,,,,,
player,201210250min,tam,FreeJo00,rush_yds,-1,,,,,
player,201210250min,tam,FreeJo00,rush_td,0,,,,,
player,201210250min,tam,FreeJo00,rush_long,3,,,,,
player,201210250min,tam,FreeJo00,targets,0,,,,,
player,201210250min,tam,FreeJo00,rec,0,,,,,
player,201210250min,tam,FreeJo00,rec_yds,0,,,,,
player,201210250min,tam,FreeJo00,rec_td,0,,,,,
player,201210250min,tam,FreeJo00,rec_long,0,,,,,
player,201210250min,tam,FreeJo00,fumbles,0,,,,,
player,201210250min,tam,FreeJo00,fumbles_lost,0,,,,,
player,201210250min,tam,MartDo00,pass_cmp,0,,,,,
player,201210250min,tam,MartDo00,pass_att,0,,,,,
player,201210250min,tam,MartDo00,pass_yds,0,,,,,
player,201210250min,tam,MartDo00,pass_td,0,,,,,
player,201210250min,tam,MartDo00,pass_int,0,,,,,
player,201210250min,tam,MartDo00,pass_sacked,0,,,,,
player,201210250min,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201210250min,tam,MartDo00,pass_long,0,,,,,
player,201210250min,tam,MartDo00,pass_rating,,,,,,
player,201210250min,tam,MartDo00,rush_att,29,,,,,
player,201210250min,tam,MartDo00,rush_yds,135,,,,,
player,201210250min,tam,MartDo00,rush_td,1,,,,,
player,201210250min,tam,MartDo00,rush_long,41,,,,,
player,201210250min,tam,MartDo00,targets,6,,,,,
player,201210250min,tam,MartDo00,rec,3,,,,,
player,201210250min,tam,MartDo00,rec_yds,79,,,,,
player,201210250min,tam,MartDo00,rec_td,1,,,,,
player,201210250min,tam,MartDo00,rec_long,64,,,,,
player,201210250min,tam,MartDo00,fumbles,0,,,,,
player,201210250min,tam,MartDo00,fumbles_lost,0,,,,,
player,201210250min,tam,BlouLe00,pass_cmp,0,,,,,
player,201210250min,tam,BlouLe00,pass_att,0,,,,,
player,201210250min,tam,BlouLe00,pass_yds,0,,,,,
player,201210250min,tam,BlouLe00,pass_td,0,,,,,
player,201210250min,tam,BlouLe00,pass_int,0,,,,,
player,201210250min,tam,BlouLe00,pass_sacked,0,,,,,
player,201210250min,tam,BlouLe00,pass_sacked_yds,0,,,,,
player,201210250min,tam,BlouLe00,pass_long,0,,,,,
player,201210250min,tam,BlouLe00,pass_rating,,,,,,
player,201210250min,tam,BlouLe00,rush_att,8,,,,,
player,201210250min,tam,BlouLe00,rush_yds,16,,,,,
player,201210250min,tam,BlouLe00,rush_td,0,,,,,
player,201210250min,tam,BlouLe00,rush_long,8,,,,,
player,201210250min,tam,BlouLe00,targets,0,,,,,
player,201210250min,tam,BlouLe00,rec,0,,,,,
player,201210250min,tam,BlouLe00,rec_yds,0,,,,,
player,201210250min,tam,BlouLe00,rec_td,0,,,,,
player,201210250min,tam,BlouLe00,rec_long,0,,,,,
player,201210250min,tam,BlouLe00,fumbles,0,,,,,
player,201210250min,tam,BlouLe00,fumbles_lost,0,,,,,
player,201210250min,tam,BennAr00,pass_cmp,0,,,,,
player,201210250min,tam,BennAr00,pass_att,0,,,,,
player,201210250min,tam,BennAr00,pass_yds,0,,,,,
player,201210250min,tam,BennAr00,pass_td,0,,,,,
player,201210250min,tam,BennAr00,pass_int,0,,,,,
player,201210250min,tam,BennAr00,pass_sacked,0,,,,,
player,201210250min,tam,BennAr00,pass_sacked_yds,0,,,,,
player,201210250min,tam,BennAr00,pass_long,0,,,,,
player,201210250min,tam,BennAr00,pass_rating,,,,,,
player,201210250min,tam,BennAr00,rush_att,1,,,,,
player,201210250min,tam,BennAr00,rush_yds,9,,,,,
player,201210250min,tam,BennAr00,rush_td,0,,,,,
player,201210250min,tam,BennAr00,rush_long,9,,,,,
player,201210250min,tam,BennAr00,targets,1,,,,,
player,201210250min,tam,BennAr00,rec,0,,,,,
player,201210250min,tam,BennAr00,rec_yds,0,,,,,
player,201210250min,tam,BennAr00,rec_td,0,,,,,
player,201210250min,tam,BennAr00,rec_long,0,,,,,
player,201210250min,tam,BennAr00,fumbles,0,,,,,
player,201210250min,tam,BennAr00,fumbles_lost,0,,,,,
player,201210250min,tam,WillMi04,pass_cmp,0,,,,,
player,201210250min,tam,WillMi04,pass_att,0,,,,,
player,201210250min,tam,WillMi04,pass_yds,0,,,,,
player,201210250min,tam,WillMi04,pass_td,0,,,,,
player,201210250min,tam,WillMi04,pass_int,0,,,,,
player,201210250min,tam,WillMi04,pass_sacked,0,,,,,
player,201210250min,tam,WillMi04,pass_sacked_yds,0,,,,,
player,201210250min,tam,WillMi04,pass_long,0,,,,,
