game,2012,12,20121126,201211260phi,car,"Carolina Panthers",30,phi,"Philadelphia Eagles",22
team,201211260phi,car,First Downs,24,,,,,,
team,201211260phi,phi,First Downs,18,,,,,,
team,201211260phi,car,Rush-Yds-TDs,35-109-2,,,,,,
team,201211260phi,phi,Rush-Yds-TDs,26-204-2,,,,,,
team,201211260phi,car,Cmp-Att-Yd-TD-INT,18-28-306-2-0,,,,,,
team,201211260phi,phi,Cmp-Att-Yd-TD-INT,16-21-119-0-0,,,,,,
team,201211260phi,car,Sacked-Yards,2-17,,,,,,
team,201211260phi,phi,Sacked-Yards,1-12,,,,,,
team,201211260phi,car,Net Pass Yards,289,,,,,,
team,201211260phi,phi,Net Pass Yards,107,,,,,,
team,201211260phi,car,Total Yards,398,,,,,,
team,201211260phi,phi,Total Yards,311,,,,,,
team,201211260phi,car,Fumbles-Lost,0-0,,,,,,
team,201211260phi,phi,Fumbles-Lost,4-3,,,,,,
team,201211260phi,car,Turnovers,0,,,,,,
team,201211260phi,phi,Turnovers,3,,,,,,
team,201211260phi,car,Penalties-Yards,6-101,,,,,,
team,201211260phi,phi,Penalties-Yards,5-30,,,,,,
team,201211260phi,car,Third Down Conv.,6-12,,,,,,
team,201211260phi,phi,Third Down Conv.,2-8,,,,,,
team,201211260phi,car,Fourth Down Conv.,0-0,,,,,,
team,201211260phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201211260phi,car,Time of Possession,35:12,,,,,,
team,201211260phi,phi,Time of Possession,24:48,,,,,,
player,201211260phi,car,NewtCa00,pass_cmp,18,,,,,
player,201211260phi,car,NewtCa00,pass_att,28,,,,,
player,201211260phi,car,NewtCa00,pass_yds,306,,,,,
player,201211260phi,car,NewtCa00,pass_td,2,,,,,
player,201211260phi,car,NewtCa00,pass_int,0,,,,,
player,201211260phi,car,NewtCa00,pass_sacked,2,,,,,
player,201211260phi,car,NewtCa00,pass_sacked_yds,17,,,,,
player,201211260phi,car,NewtCa00,pass_long,55,,,,,
player,201211260phi,car,NewtCa00,pass_rating,125.0,,,,,
player,201211260phi,car,NewtCa00,rush_att,14,,,,,
player,201211260phi,car,NewtCa00,rush_yds,52,,,,,
player,201211260phi,car,NewtCa00,rush_td,2,,,,,
player,201211260phi,car,NewtCa00,rush_long,14,,,,,
player,201211260phi,car,NewtCa00,targets,0,,,,,
player,201211260phi,car,NewtCa00,rec,0,,,,,
