game,2012,7,20121018,201210180sfo,sea,"Seattle Seahawks",6,sfo,"San Francisco 49ers",13
player,201210180sfo,sea,WashLe00,rec_td,0,,,,,
player,201210180sfo,sea,WashLe00,rec_long,0,,,,,
player,201210180sfo,sea,WashLe00,fumbles,1,,,,,
player,201210180sfo,sea,WashLe00,fumbles_lost,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_cmp,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_att,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_yds,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_td,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_int,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_sacked,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_long,0,,,,,
player,201210180sfo,sea,RobiMi00,pass_rating,,,,,,
player,201210180sfo,sea,RobiMi00,rush_att,1,,,,,
player,201210180sfo,sea,RobiMi00,rush_yds,2,,,,,
player,201210180sfo,sea,RobiMi00,rush_td,0,,,,,
player,201210180sfo,sea,RobiMi00,rush_long,2,,,,,
player,201210180sfo,sea,RobiMi00,targets,1,,,,,
player,201210180sfo,sea,RobiMi00,rec,1,,,,,
player,201210180sfo,sea,RobiMi00,rec_yds,12,,,,,
player,201210180sfo,sea,RobiMi00,rec_td,0,,,,,
player,201210180sfo,sea,RobiMi00,rec_long,12,,,,,
player,201210180sfo,sea,RobiMi00,fumbles,0,,,,,
player,201210180sfo,sea,RobiMi00,fumbles_lost,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_cmp,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_att,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_yds,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_td,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_int,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_sacked,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_long,0,,,,,
player,201210180sfo,sea,ObomBe00,pass_rating,,,,,,
player,201210180sfo,sea,ObomBe00,rush_att,0,,,,,
player,201210180sfo,sea,ObomBe00,rush_yds,0,,,,,
player,201210180sfo,sea,ObomBe00,rush_td,0,,,,,
player,201210180sfo,sea,ObomBe00,rush_long,0,,,,,
player,201210180sfo,sea,ObomBe00,targets,4,,,,,
player,201210180sfo,sea,ObomBe00,rec,3,,,,,
player,201210180sfo,sea,ObomBe00,rec_yds,50,,,,,
player,201210180sfo,sea,ObomBe00,rec_td,0,,,,,
player,201210180sfo,sea,ObomBe00,rec_long,36,,,,,
player,201210180sfo,sea,ObomBe00,fumbles,0,,,,,
player,201210180sfo,sea,ObomBe00,fumbles_lost,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_cmp,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_att,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_yds,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_td,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_int,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_sacked,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_long,0,,,,,
player,201210180sfo,sea,RiceSi01,pass_rating,,,,,,
player,201210180sfo,sea,RiceSi01,rush_att,0,,,,,
player,201210180sfo,sea,RiceSi01,rush_yds,0,,,,,
player,201210180sfo,sea,RiceSi01,rush_td,0,,,,,
player,201210180sfo,sea,RiceSi01,rush_long,0,,,,,
player,201210180sfo,sea,RiceSi01,targets,4,,,,,
player,201210180sfo,sea,RiceSi01,rec,2,,,,,
player,201210180sfo,sea,RiceSi01,rec_yds,32,,,,,
player,201210180sfo,sea,RiceSi01,rec_td,0,,,,,
player,201210180sfo,sea,RiceSi01,rec_long,27,,,,,
player,201210180sfo,sea,RiceSi01,fumbles,0,,,,,
player,201210180sfo,sea,RiceSi01,fumbles_lost,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_cmp,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_att,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_yds,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_td,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_int,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_sacked,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_long,0,,,,,
player,201210180sfo,sea,BaldDo00,pass_rating,,,,,,
