game,2012,16,20121223,201212230htx,min,"Minnesota Vikings",23,htx,"Houston Texans",6
team,201212230htx,min,First Downs,22,,,,,,
team,201212230htx,htx,First Downs,11,,,,,,
team,201212230htx,min,Rush-Yds-TDs,42-174-1,,,,,,
team,201212230htx,htx,Rush-Yds-TDs,16-34-0,,,,,,
team,201212230htx,min,Cmp-Att-Yd-TD-INT,16-30-174-1-0,,,,,,
team,201212230htx,htx,Cmp-Att-Yd-TD-INT,18-33-178-0-0,,,,,,
team,201212230htx,min,Sacked-Yards,1-3,,,,,,
team,201212230htx,htx,Sacked-Yards,4-25,,,,,,
team,201212230htx,min,Net Pass Yards,171,,,,,,
team,201212230htx,htx,Net Pass Yards,153,,,,,,
team,201212230htx,min,Total Yards,345,,,,,,
team,201212230htx,htx,Total Yards,187,,,,,,
team,201212230htx,min,Fumbles-Lost,1-1,,,,,,
team,201212230htx,htx,Fumbles-Lost,3-2,,,,,,
team,201212230htx,min,Turnovers,1,,,,,,
team,201212230htx,htx,Turnovers,2,,,,,,
team,201212230htx,min,Penalties-Yards,5-52,,,,,,
team,201212230htx,htx,Penalties-Yards,9-60,,,,,,
team,201212230htx,min,Third Down Conv.,9-18,,,,,,
team,201212230htx,htx,Third Down Conv.,1-11,,,,,,
team,201212230htx,min,Fourth Down Conv.,0-1,,,,,,
team,201212230htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201212230htx,min,Time of Possession,34:46,,,,,,
team,201212230htx,htx,Time of Possession,25:14,,,,,,
player,201212230htx,min,PondCh00,pass_cmp,16,,,,,
player,201212230htx,min,PondCh00,pass_att,30,,,,,
player,201212230htx,min,PondCh00,pass_yds,174,,,,,
player,201212230htx,min,PondCh00,pass_td,1,,,,,
player,201212230htx,min,PondCh00,pass_int,0,,,,,
player,201212230htx,min,PondCh00,pass_sacked,1,,,,,
player,201212230htx,min,PondCh00,pass_sacked_yds,3,,,,,
player,201212230htx,min,PondCh00,pass_long,32,,,,,
player,201212230htx,min,PondCh00,pass_rating,81.8,,,,,
player,201212230htx,min,PondCh00,rush_att,7,,,,,
player,201212230htx,min,PondCh00,rush_yds,48,,,,,
player,201212230htx,min,PondCh00,rush_td,0,,,,,
player,201212230htx,min,PondCh00,rush_long,29,,,,,
player,201212230htx,min,PondCh00,targets,0,,,,,
player,201212230htx,min,PondCh00,rec,0,,,,,
player,201212230htx,min,PondCh00,rec_yds,0,,,,,
player,201212230htx,min,PondCh00,rec_td,0,,,,,
player,201212230htx,min,PondCh00,rec_long,0,,,,,
player,201212230htx,min,PondCh00,fumbles,1,,,,,
player,201212230htx,min,PondCh00,fumbles_lost,1,,,,,
player,201212230htx,min,PeteAd01,pass_cmp,0,,,,,
player,201212230htx,min,PeteAd01,pass_att,0,,,,,
player,201212230htx,min,PeteAd01,pass_yds,0,,,,,
player,201212230htx,min,PeteAd01,pass_td,0,,,,,
player,201212230htx,min,PeteAd01,pass_int,0,,,,,
player,201212230htx,min,PeteAd01,pass_sacked,0,,,,,
player,201212230htx,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201212230htx,min,PeteAd01,pass_long,0,,,,,
player,201212230htx,min,PeteAd01,pass_rating,,,,,,
player,201212230htx,min,PeteAd01,rush_att,25,,,,,
player,201212230htx,min,PeteAd01,rush_yds,86,,,,,
player,201212230htx,min,PeteAd01,rush_td,0,,,,,
player,201212230htx,min,PeteAd01,rush_long,21,,,,,
player,201212230htx,min,PeteAd01,targets,2,,,,,
player,201212230htx,min,PeteAd01,rec,1,,,,,
player,201212230htx,min,PeteAd01,rec_yds,4,,,,,
player,201212230htx,min,PeteAd01,rec_td,0,,,,,
player,201212230htx,min,PeteAd01,rec_long,4,,,,,
player,201212230htx,min,PeteAd01,fumbles,0,,,,,
player,201212230htx,min,PeteAd01,fumbles_lost,0,,,,,
player,201212230htx,min,GerhTo00,pass_cmp,0,,,,,
player,201212230htx,min,GerhTo00,pass_att,0,,,,,
player,201212230htx,min,GerhTo00,pass_yds,0,,,,,
player,201212230htx,min,GerhTo00,pass_td,0,,,,,
player,201212230htx,min,GerhTo00,pass_int,0,,,,,
player,201212230htx,min,GerhTo00,pass_sacked,0,,,,,
player,201212230htx,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201212230htx,min,GerhTo00,pass_long,0,,,,,
player,201212230htx,min,GerhTo00,pass_rating,,,,,,
player,201212230htx,min,GerhTo00,rush_att,8,,,,,
