game,2012,14,20121209,201212090tam,phi,"Philadelphia Eagles",23,tam,"Tampa Bay Buccaneers",21
team,201212090tam,phi,First Downs,23,,,,,,
team,201212090tam,tam,First Downs,18,,,,,,
team,201212090tam,phi,Rush-Yds-TDs,16-29-1,,,,,,
team,201212090tam,tam,Rush-Yds-TDs,32-136-1,,,,,,
team,201212090tam,phi,Cmp-Att-Yd-TD-INT,32-51-381-2-0,,,,,,
team,201212090tam,tam,Cmp-Att-Yd-TD-INT,14-34-189-2-0,,,,,,
team,201212090tam,phi,Sacked-Yards,6-43,,,,,,
team,201212090tam,tam,Sacked-Yards,2-11,,,,,,
team,201212090tam,phi,Net Pass Yards,338,,,,,,
team,201212090tam,tam,Net Pass Yards,178,,,,,,
team,201212090tam,phi,Total Yards,367,,,,,,
team,201212090tam,tam,Total Yards,314,,,,,,
team,201212090tam,phi,Fumbles-Lost,1-1,,,,,,
team,201212090tam,tam,Fumbles-Lost,1-0,,,,,,
team,201212090tam,phi,Turnovers,1,,,,,,
team,201212090tam,tam,Turnovers,0,,,,,,
team,201212090tam,phi,Penalties-Yards,2-13,,,,,,
team,201212090tam,tam,Penalties-Yards,8-64,,,,,,
team,201212090tam,phi,Third Down Conv.,7-18,,,,,,
team,201212090tam,tam,Third Down Conv.,6-16,,,,,,
team,201212090tam,phi,Fourth Down Conv.,2-2,,,,,,
team,201212090tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201212090tam,phi,Time of Possession,29:51,,,,,,
team,201212090tam,tam,Time of Possession,30:09,,,,,,
player,201212090tam,phi,FoleNi00,pass_cmp,32,,,,,
player,201212090tam,phi,FoleNi00,pass_att,51,,,,,
player,201212090tam,phi,FoleNi00,pass_yds,381,,,,,
player,201212090tam,phi,FoleNi00,pass_td,2,,,,,
player,201212090tam,phi,FoleNi00,pass_int,0,,,,,
player,201212090tam,phi,FoleNi00,pass_sacked,6,,,,,
player,201212090tam,phi,FoleNi00,pass_sacked_yds,43,,,,,
player,201212090tam,phi,FoleNi00,pass_long,39,,,,,
player,201212090tam,phi,FoleNi00,pass_rating,98.6,,,,,
player,201212090tam,phi,FoleNi00,rush_att,3,,,,,
player,201212090tam,phi,FoleNi00,rush_yds,27,,,,,
player,201212090tam,phi,FoleNi00,rush_td,1,,,,,
player,201212090tam,phi,FoleNi00,rush_long,14,,,,,
player,201212090tam,phi,FoleNi00,targets,0,,,,,
player,201212090tam,phi,FoleNi00,rec,0,,,,,
player,201212090tam,phi,FoleNi00,rec_yds,0,,,,,
player,201212090tam,phi,FoleNi00,rec_td,0,,,,,
player,201212090tam,phi,FoleNi00,rec_long,0,,,,,
player,201212090tam,phi,FoleNi00,fumbles,0,,,,,
player,201212090tam,phi,FoleNi00,fumbles_lost,0,,,,,
player,201212090tam,phi,BrowBr02,pass_cmp,0,,,,,
player,201212090tam,phi,BrowBr02,pass_att,0,,,,,
player,201212090tam,phi,BrowBr02,pass_yds,0,,,,,
player,201212090tam,phi,BrowBr02,pass_td,0,,,,,
player,201212090tam,phi,BrowBr02,pass_int,0,,,,,
player,201212090tam,phi,BrowBr02,pass_sacked,0,,,,,
player,201212090tam,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201212090tam,phi,BrowBr02,pass_long,0,,,,,
player,201212090tam,phi,BrowBr02,pass_rating,,,,,,
player,201212090tam,phi,BrowBr02,rush_att,12,,,,,
player,201212090tam,phi,BrowBr02,rush_yds,6,,,,,
player,201212090tam,phi,BrowBr02,rush_td,0,,,,,
player,201212090tam,phi,BrowBr02,rush_long,11,,,,,
player,201212090tam,phi,BrowBr02,targets,4,,,,,
player,201212090tam,phi,BrowBr02,rec,2,,,,,
player,201212090tam,phi,BrowBr02,rec_yds,6,,,,,
player,201212090tam,phi,BrowBr02,rec_td,0,,,,,
player,201212090tam,phi,BrowBr02,rec_long,4,,,,,
player,201212090tam,phi,BrowBr02,fumbles,0,,,,,
player,201212090tam,phi,BrowBr02,fumbles_lost,0,,,,,
player,201212090tam,phi,AvanJa00,pass_cmp,0,,,,,
player,201212090tam,phi,AvanJa00,pass_att,0,,,,,
player,201212090tam,phi,AvanJa00,pass_yds,0,,,,,
player,201212090tam,phi,AvanJa00,pass_td,0,,,,,
player,201212090tam,phi,AvanJa00,pass_int,0,,,,,
player,201212090tam,phi,AvanJa00,pass_sacked,0,,,,,
player,201212090tam,phi,AvanJa00,pass_sacked_yds,0,,,,,
player,201212090tam,phi,AvanJa00,pass_long,0,,,,,
player,201212090tam,phi,AvanJa00,pass_rating,,,,,,
player,201212090tam,phi,AvanJa00,rush_att,0,,,,,
player,201212090tam,phi,AvanJa00,rush_yds,0,,,,,
player,201212090tam,phi,AvanJa00,rush_td,0,,,,,
player,201212090tam,phi,AvanJa00,rush_long,0,,,,,
player,201212090tam,phi,AvanJa00,targets,12,,,,,
player,201212090tam,phi,AvanJa00,rec,7,,,,,
player,201212090tam,phi,AvanJa00,rec_yds,133,,,,,
player,201212090tam,phi,AvanJa00,rec_td,0,,,,,
player,201212090tam,phi,AvanJa00,rec_long,39,,,,,
player,201212090tam,phi,AvanJa00,fumbles,0,,,,,
player,201212090tam,phi,AvanJa00,fumbles_lost,0,,,,,
player,201212090tam,phi,MaclJe00,pass_cmp,0,,,,,
player,201212090tam,phi,MaclJe00,pass_att,0,,,,,
player,201212090tam,phi,MaclJe00,pass_yds,0,,,,,
player,201212090tam,phi,MaclJe00,pass_td,0,,,,,
player,201212090tam,phi,MaclJe00,pass_int,0,,,,,
player,201212090tam,phi,MaclJe00,pass_sacked,0,,,,,
player,201212090tam,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201212090tam,phi,MaclJe00,pass_long,0,,,,,
player,201212090tam,phi,MaclJe00,pass_rating,,,,,,
player,201212090tam,phi,MaclJe00,rush_att,0,,,,,
player,201212090tam,phi,MaclJe00,rush_yds,0,,,,,
player,201212090tam,phi,MaclJe00,rush_td,0,,,,,
player,201212090tam,phi,MaclJe00,rush_long,0,,,,,
player,201212090tam,phi,MaclJe00,targets,13,,,,,
player,201212090tam,phi,MaclJe00,rec,9,,,,,
player,201212090tam,phi,MaclJe00,rec_yds,104,,,,,
player,201212090tam,phi,MaclJe00,rec_td,1,,,,,
player,201212090tam,phi,MaclJe00,rec_long,24,,,,,
player,201212090tam,phi,MaclJe00,fumbles,0,,,,,
player,201212090tam,phi,MaclJe00,fumbles_lost,0,,,,,
player,201212090tam,phi,HarbCl00,pass_cmp,0,,,,,
player,201212090tam,phi,HarbCl00,pass_att,0,,,,,
player,201212090tam,phi,HarbCl00,pass_yds,0,,,,,
player,201212090tam,phi,HarbCl00,pass_td,0,,,,,
player,201212090tam,phi,HarbCl00,pass_int,0,,,,,
player,201212090tam,phi,HarbCl00,pass_sacked,0,,,,,
player,201212090tam,phi,HarbCl00,pass_sacked_yds,0,,,,,
player,201212090tam,phi,HarbCl00,pass_long,0,,,,,
player,201212090tam,phi,HarbCl00,pass_rating,,,,,,
player,201212090tam,phi,HarbCl00,rush_att,0,,,,,
player,201212090tam,phi,HarbCl00,rush_yds,0,,,,,
player,201212090tam,phi,HarbCl00,rush_td,0,,,,,
player,201212090tam,phi,HarbCl00,rush_long,0,,,,,
player,201212090tam,phi,HarbCl00,targets,6,,,,,
player,201212090tam,phi,HarbCl00,rec,6,,,,,
player,201212090tam,phi,HarbCl00,rec_yds,52,,,,,
player,201212090tam,phi,HarbCl00,rec_td,1,,,,,
player,201212090tam,phi,HarbCl00,rec_long,11,,,,,
player,201212090tam,phi,HarbCl00,fumbles,0,,,,,
player,201212090tam,phi,HarbCl00,fumbles_lost,0,,,,,
player,201212090tam,phi,CoopRi00,pass_cmp,0,,,,,
player,201212090tam,phi,CoopRi00,pass_att,0,,,,,
player,201212090tam,phi,CoopRi00,pass_yds,0,,,,,
player,201212090tam,phi,CoopRi00,pass_td,0,,,,,
player,201212090tam,phi,CoopRi00,pass_int,0,,,,,
player,201212090tam,phi,CoopRi00,pass_sacked,0,,,,,
player,201212090tam,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201212090tam,phi,CoopRi00,pass_long,0,,,,,
player,201212090tam,phi,CoopRi00,pass_rating,,,,,,
player,201212090tam,phi,CoopRi00,rush_att,0,,,,,
player,201212090tam,phi,CoopRi00,rush_yds,0,,,,,
player,201212090tam,phi,CoopRi00,rush_td,0,,,,,
player,201212090tam,phi,CoopRi00,rush_long,0,,,,,
player,201212090tam,phi,CoopRi00,targets,9,,,,,
player,201212090tam,phi,CoopRi00,rec,4,,,,,
player,201212090tam,phi,CoopRi00,rec_yds,37,,,,,
player,201212090tam,phi,CoopRi00,rec_td,0,,,,,
player,201212090tam,phi,CoopRi00,rec_long,16,,,,,
player,201212090tam,phi,CoopRi00,fumbles,0,,,,,
player,201212090tam,phi,CoopRi00,fumbles_lost,0,,,,,
player,201212090tam,phi,JohnDa04,pass_cmp,0,,,,,
player,201212090tam,phi,JohnDa04,pass_att,0,,,,,
player,201212090tam,phi,JohnDa04,pass_yds,0,,,,,
player,201212090tam,phi,JohnDa04,pass_td,0,,,,,
player,201212090tam,phi,JohnDa04,pass_int,0,,,,,
player,201212090tam,phi,JohnDa04,pass_sacked,0,,,,,
player,201212090tam,phi,JohnDa04,pass_sacked_yds,0,,,,,
player,201212090tam,phi,JohnDa04,pass_long,0,,,,,
player,201212090tam,phi,JohnDa04,pass_rating,,,,,,
player,201212090tam,phi,JohnDa04,rush_att,0,,,,,
player,201212090tam,phi,JohnDa04,rush_yds,0,,,,,
player,201212090tam,phi,JohnDa04,rush_td,0,,,,,
player,201212090tam,phi,JohnDa04,rush_long,0,,,,,
player,201212090tam,phi,JohnDa04,targets,2,,,,,
player,201212090tam,phi,JohnDa04,rec,2,,,,,
player,201212090tam,phi,JohnDa04,rec_yds,20,,,,,
player,201212090tam,phi,JohnDa04,rec_td,0,,,,,
player,201212090tam,phi,JohnDa04,rec_long,14,,,,,
player,201212090tam,phi,JohnDa04,fumbles,1,,,,,
player,201212090tam,phi,JohnDa04,fumbles_lost,1,,,,,
player,201212090tam,phi,CeleBr00,pass_cmp,0,,,,,
player,201212090tam,phi,CeleBr00,pass_att,0,,,,,
player,201212090tam,phi,CeleBr00,pass_yds,0,,,,,
player,201212090tam,phi,CeleBr00,pass_td,0,,,,,
player,201212090tam,phi,CeleBr00,pass_int,0,,,,,
player,201212090tam,phi,CeleBr00,pass_sacked,0,,,,,
player,201212090tam,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201212090tam,phi,CeleBr00,pass_long,0,,,,,
player,201212090tam,phi,CeleBr00,pass_rating,,,,,,
player,201212090tam,phi,CeleBr00,rush_att,0,,,,,
player,201212090tam,phi,CeleBr00,rush_yds,0,,,,,
player,201212090tam,phi,CeleBr00,rush_td,0,,,,,
player,201212090tam,phi,CeleBr00,rush_long,0,,,,,
player,201212090tam,phi,CeleBr00,targets,1,,,,,
player,201212090tam,phi,CeleBr00,rec,1,,,,,
player,201212090tam,phi,CeleBr00,rec_yds,1,,,,,
player,201212090tam,phi,CeleBr00,rec_td,0,,,,,
player,201212090tam,phi,CeleBr00,rec_long,1,,,,,
player,201212090tam,phi,CeleBr00,fumbles,0,,,,,
player,201212090tam,phi,CeleBr00,fumbles_lost,0,,,,,
player,201212090tam,phi,McNuMa00,pass_cmp,0,,,,,
player,201212090tam,phi,McNuMa00,pass_att,0,,,,,
player,201212090tam,phi,McNuMa00,pass_yds,0,,,,,
player,201212090tam,phi,McNuMa00,pass_td,0,,,,,
player,201212090tam,phi,McNuMa00,pass_int,0,,,,,
player,201212090tam,phi,McNuMa00,pass_sacked,0,,,,,
player,201212090tam,phi,McNuMa00,pass_sacked_yds,0,,,,,
player,201212090tam,phi,McNuMa00,pass_long,0,,,,,
player,201212090tam,phi,McNuMa00,pass_rating,,,,,,
player,201212090tam,phi,McNuMa00,rush_att,0,,,,,
player,201212090tam,phi,McNuMa00,rush_yds,0,,,,,
player,201212090tam,phi,McNuMa00,rush_td,0,,,,,
player,201212090tam,phi,McNuMa00,rush_long,0,,,,,
player,201212090tam,phi,McNuMa00,targets,2,,,,,
player,201212090tam,phi,McNuMa00,rec,0,,,,,
player,201212090tam,phi,McNuMa00,rec_yds,0,,,,,
player,201212090tam,phi,McNuMa00,rec_td,0,,,,,
