game,2012,13,20121202,201212020rai,cle,"Cleveland Browns",20,rai,"Oakland Raiders",17
team,201212020rai,cle,First Downs,23,,,,,,
team,201212020rai,rai,First Downs,25,,,,,,
team,201212020rai,cle,Rush-Yds-TDs,30-122-1,,,,,,
team,201212020rai,rai,Rush-Yds-TDs,17-85-0,,,,,,
team,201212020rai,cle,Cmp-Att-Yd-TD-INT,25-36-364-1-2,,,,,,
team,201212020rai,rai,Cmp-Att-Yd-TD-INT,34-54-351-2-1,,,,,,
team,201212020rai,cle,Sacked-Yards,1-11,,,,,,
team,201212020rai,rai,Sacked-Yards,1-7,,,,,,
team,201212020rai,cle,Net Pass Yards,353,,,,,,
team,201212020rai,rai,Net Pass Yards,344,,,,,,
team,201212020rai,cle,Total Yards,475,,,,,,
team,201212020rai,rai,Total Yards,429,,,,,,
team,201212020rai,cle,Fumbles-Lost,0-0,,,,,,
team,201212020rai,rai,Fumbles-Lost,1-0,,,,,,
team,201212020rai,cle,Turnovers,2,,,,,,
team,201212020rai,rai,Turnovers,1,,,,,,
team,201212020rai,cle,Penalties-Yards,2-25,,,,,,
team,201212020rai,rai,Penalties-Yards,9-65,,,,,,
team,201212020rai,cle,Third Down Conv.,3-11,,,,,,
team,201212020rai,rai,Third Down Conv.,9-16,,,,,,
team,201212020rai,cle,Fourth Down Conv.,2-2,,,,,,
team,201212020rai,rai,Fourth Down Conv.,1-1,,,,,,
team,201212020rai,cle,Time of Possession,32:30,,,,,,
team,201212020rai,rai,Time of Possession,27:30,,,,,,
player,201212020rai,cle,WeedBr00,pass_cmp,25,,,,,
player,201212020rai,cle,WeedBr00,pass_att,36,,,,,
player,201212020rai,cle,WeedBr00,pass_yds,364,,,,,
player,201212020rai,cle,WeedBr00,pass_td,1,,,,,
player,201212020rai,cle,WeedBr00,pass_int,2,,,,,
player,201212020rai,cle,WeedBr00,pass_sacked,1,,,,,
player,201212020rai,cle,WeedBr00,pass_sacked_yds,11,,,,,
player,201212020rai,cle,WeedBr00,pass_long,54,,,,,
player,201212020rai,cle,WeedBr00,pass_rating,88.2,,,,,
player,201212020rai,cle,WeedBr00,rush_att,5,,,,,
player,201212020rai,cle,WeedBr00,rush_yds,11,,,,,
player,201212020rai,cle,WeedBr00,rush_td,0,,,,,
player,201212020rai,cle,WeedBr00,rush_long,7,,,,,
player,201212020rai,cle,WeedBr00,targets,0,,,,,
player,201212020rai,cle,WeedBr00,rec,0,,,,,
player,201212020rai,cle,WeedBr00,rec_yds,0,,,,,
player,201212020rai,cle,WeedBr00,rec_td,0,,,,,
player,201212020rai,cle,WeedBr00,rec_long,0,,,,,
player,201212020rai,cle,WeedBr00,fumbles,0,,,,,
player,201212020rai,cle,WeedBr00,fumbles_lost,0,,,,,
player,201212020rai,cle,RichTr00,pass_cmp,0,,,,,
player,201212020rai,cle,RichTr00,pass_att,0,,,,,
player,201212020rai,cle,RichTr00,pass_yds,0,,,,,
player,201212020rai,cle,RichTr00,pass_td,0,,,,,
player,201212020rai,cle,RichTr00,pass_int,0,,,,,
player,201212020rai,cle,RichTr00,pass_sacked,0,,,,,
player,201212020rai,cle,RichTr00,pass_sacked_yds,0,,,,,
player,201212020rai,cle,RichTr00,pass_long,0,,,,,
player,201212020rai,cle,RichTr00,pass_rating,,,,,,
player,201212020rai,cle,RichTr00,rush_att,20,,,,,
player,201212020rai,cle,RichTr00,rush_yds,72,,,,,
player,201212020rai,cle,RichTr00,rush_td,1,,,,,
player,201212020rai,cle,RichTr00,rush_long,9,,,,,
player,201212020rai,cle,RichTr00,targets,5,,,,,
player,201212020rai,cle,RichTr00,rec,3,,,,,
player,201212020rai,cle,RichTr00,rec_yds,23,,,,,
player,201212020rai,cle,RichTr00,rec_td,0,,,,,
player,201212020rai,cle,RichTr00,rec_long,21,,,,,
player,201212020rai,cle,RichTr00,fumbles,0,,,,,
player,201212020rai,cle,RichTr00,fumbles_lost,0,,,,,
player,201212020rai,cle,HardMo00,pass_cmp,0,,,,,
player,201212020rai,cle,HardMo00,pass_att,0,,,,,
player,201212020rai,cle,HardMo00,pass_yds,0,,,,,
player,201212020rai,cle,HardMo00,pass_td,0,,,,,
player,201212020rai,cle,HardMo00,pass_int,0,,,,,
player,201212020rai,cle,HardMo00,pass_sacked,0,,,,,
player,201212020rai,cle,HardMo00,pass_sacked_yds,0,,,,,
player,201212020rai,cle,HardMo00,pass_long,0,,,,,
player,201212020rai,cle,HardMo00,pass_rating,,,,,,
player,201212020rai,cle,HardMo00,rush_att,5,,,,,
player,201212020rai,cle,HardMo00,rush_yds,39,,,,,
