game,2012,12,20121125,201211250tam,atl,"Atlanta Falcons",24,tam,"Tampa Bay Buccaneers",23
player,201211250tam,atl,JoneJu02,fumbles_lost,0,,,,,
player,201211250tam,atl,GonzTo00,pass_cmp,0,,,,,
player,201211250tam,atl,GonzTo00,pass_att,0,,,,,
player,201211250tam,atl,GonzTo00,pass_yds,0,,,,,
player,201211250tam,atl,GonzTo00,pass_td,0,,,,,
player,201211250tam,atl,GonzTo00,pass_int,0,,,,,
player,201211250tam,atl,GonzTo00,pass_sacked,0,,,,,
player,201211250tam,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201211250tam,atl,GonzTo00,pass_long,0,,,,,
player,201211250tam,atl,GonzTo00,pass_rating,,,,,,
player,201211250tam,atl,GonzTo00,rush_att,0,,,,,
player,201211250tam,atl,GonzTo00,rush_yds,0,,,,,
player,201211250tam,atl,GonzTo00,rush_td,0,,,,,
player,201211250tam,atl,GonzTo00,rush_long,0,,,,,
player,201211250tam,atl,GonzTo00,targets,5,,,,,
player,201211250tam,atl,GonzTo00,rec,5,,,,,
player,201211250tam,atl,GonzTo00,rec_yds,62,,,,,
player,201211250tam,atl,GonzTo00,rec_td,0,,,,,
player,201211250tam,atl,GonzTo00,rec_long,20,,,,,
player,201211250tam,atl,GonzTo00,fumbles,0,,,,,
player,201211250tam,atl,GonzTo00,fumbles_lost,0,,,,,
player,201211250tam,atl,WhitRo00,pass_cmp,0,,,,,
player,201211250tam,atl,WhitRo00,pass_att,0,,,,,
player,201211250tam,atl,WhitRo00,pass_yds,0,,,,,
player,201211250tam,atl,WhitRo00,pass_td,0,,,,,
player,201211250tam,atl,WhitRo00,pass_int,0,,,,,
player,201211250tam,atl,WhitRo00,pass_sacked,0,,,,,
player,201211250tam,atl,WhitRo00,pass_sacked_yds,0,,,,,
player,201211250tam,atl,WhitRo00,pass_long,0,,,,,
player,201211250tam,atl,WhitRo00,pass_rating,,,,,,
player,201211250tam,atl,WhitRo00,rush_att,0,,,,,
player,201211250tam,atl,WhitRo00,rush_yds,0,,,,,
player,201211250tam,atl,WhitRo00,rush_td,0,,,,,
player,201211250tam,atl,WhitRo00,rush_long,0,,,,,
player,201211250tam,atl,WhitRo00,targets,7,,,,,
player,201211250tam,atl,WhitRo00,rec,5,,,,,
player,201211250tam,atl,WhitRo00,rec_yds,57,,,,,
player,201211250tam,atl,WhitRo00,rec_td,0,,,,,
player,201211250tam,atl,WhitRo00,rec_long,29,,,,,
player,201211250tam,atl,WhitRo00,fumbles,0,,,,,
player,201211250tam,atl,WhitRo00,fumbles_lost,0,,,,,
player,201211250tam,atl,SnelJa00,pass_cmp,0,,,,,
player,201211250tam,atl,SnelJa00,pass_att,0,,,,,
player,201211250tam,atl,SnelJa00,pass_yds,0,,,,,
player,201211250tam,atl,SnelJa00,pass_td,0,,,,,
player,201211250tam,atl,SnelJa00,pass_int,0,,,,,
player,201211250tam,atl,SnelJa00,pass_sacked,0,,,,,
player,201211250tam,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201211250tam,atl,SnelJa00,pass_long,0,,,,,
player,201211250tam,atl,SnelJa00,pass_rating,,,,,,
player,201211250tam,atl,SnelJa00,rush_att,0,,,,,
player,201211250tam,atl,SnelJa00,rush_yds,0,,,,,
player,201211250tam,atl,SnelJa00,rush_td,0,,,,,
player,201211250tam,atl,SnelJa00,rush_long,0,,,,,
player,201211250tam,atl,SnelJa00,targets,3,,,,,
player,201211250tam,atl,SnelJa00,rec,3,,,,,
player,201211250tam,atl,SnelJa00,rec_yds,33,,,,,
player,201211250tam,atl,SnelJa00,rec_td,0,,,,,
player,201211250tam,atl,SnelJa00,rec_long,14,,,,,
player,201211250tam,atl,SnelJa00,fumbles,0,,,,,
player,201211250tam,atl,SnelJa00,fumbles_lost,0,,,,,
player,201211250tam,atl,DougHa00,pass_cmp,0,,,,,
player,201211250tam,atl,DougHa00,pass_att,0,,,,,
player,201211250tam,atl,DougHa00,pass_yds,0,,,,,
player,201211250tam,atl,DougHa00,pass_td,0,,,,,
