game,2012,15,20121216,201212160htx,clt,"Indianapolis Colts",17,htx,"Houston Texans",29
team,201212160htx,clt,First Downs,19,,,,,,
team,201212160htx,htx,First Downs,23,,,,,,
team,201212160htx,clt,Rush-Yds-TDs,25-124-0,,,,,,
team,201212160htx,htx,Rush-Yds-TDs,32-178-0,,,,,,
team,201212160htx,clt,Cmp-Att-Yd-TD-INT,13-27-186-2-0,,,,,,
team,201212160htx,htx,Cmp-Att-Yd-TD-INT,23-31-261-1-0,,,,,,
team,201212160htx,clt,Sacked-Yards,5-38,,,,,,
team,201212160htx,htx,Sacked-Yards,3-22,,,,,,
team,201212160htx,clt,Net Pass Yards,148,,,,,,
team,201212160htx,htx,Net Pass Yards,239,,,,,,
team,201212160htx,clt,Total Yards,272,,,,,,
team,201212160htx,htx,Total Yards,417,,,,,,
team,201212160htx,clt,Fumbles-Lost,1-1,,,,,,
team,201212160htx,htx,Fumbles-Lost,0-0,,,,,,
team,201212160htx,clt,Turnovers,1,,,,,,
team,201212160htx,htx,Turnovers,0,,,,,,
team,201212160htx,clt,Penalties-Yards,8-79,,,,,,
team,201212160htx,htx,Penalties-Yards,9-69,,,,,,
team,201212160htx,clt,Third Down Conv.,1-8,,,,,,
team,201212160htx,htx,Third Down Conv.,5-13,,,,,,
team,201212160htx,clt,Fourth Down Conv.,0-0,,,,,,
team,201212160htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201212160htx,clt,Time of Possession,26:54,,,,,,
team,201212160htx,htx,Time of Possession,33:06,,,,,,
player,201212160htx,clt,LuckAn00,pass_cmp,13,,,,,
player,201212160htx,clt,LuckAn00,pass_att,27,,,,,
player,201212160htx,clt,LuckAn00,pass_yds,186,,,,,
player,201212160htx,clt,LuckAn00,pass_td,2,,,,,
player,201212160htx,clt,LuckAn00,pass_int,0,,,,,
player,201212160htx,clt,LuckAn00,pass_sacked,5,,,,,
player,201212160htx,clt,LuckAn00,pass_sacked_yds,38,,,,,
player,201212160htx,clt,LuckAn00,pass_long,61,,,,,
player,201212160htx,clt,LuckAn00,pass_rating,95.6,,,,,
player,201212160htx,clt,LuckAn00,rush_att,2,,,,,
player,201212160htx,clt,LuckAn00,rush_yds,10,,,,,
player,201212160htx,clt,LuckAn00,rush_td,0,,,,,
player,201212160htx,clt,LuckAn00,rush_long,7,,,,,
player,201212160htx,clt,LuckAn00,targets,0,,,,,
player,201212160htx,clt,LuckAn00,rec,0,,,,,
player,201212160htx,clt,LuckAn00,rec_yds,0,,,,,
player,201212160htx,clt,LuckAn00,rec_td,0,,,,,
player,201212160htx,clt,LuckAn00,rec_long,0,,,,,
player,201212160htx,clt,LuckAn00,fumbles,0,,,,,
player,201212160htx,clt,LuckAn00,fumbles_lost,0,,,,,
player,201212160htx,clt,BallVi00,pass_cmp,0,,,,,
player,201212160htx,clt,BallVi00,pass_att,0,,,,,
player,201212160htx,clt,BallVi00,pass_yds,0,,,,,
player,201212160htx,clt,BallVi00,pass_td,0,,,,,
player,201212160htx,clt,BallVi00,pass_int,0,,,,,
player,201212160htx,clt,BallVi00,pass_sacked,0,,,,,
player,201212160htx,clt,BallVi00,pass_sacked_yds,0,,,,,
player,201212160htx,clt,BallVi00,pass_long,0,,,,,
player,201212160htx,clt,BallVi00,pass_rating,,,,,,
player,201212160htx,clt,BallVi00,rush_att,18,,,,,
player,201212160htx,clt,BallVi00,rush_yds,105,,,,,
player,201212160htx,clt,BallVi00,rush_td,0,,,,,
player,201212160htx,clt,BallVi00,rush_long,23,,,,,
player,201212160htx,clt,BallVi00,targets,2,,,,,
player,201212160htx,clt,BallVi00,rec,0,,,,,
player,201212160htx,clt,BallVi00,rec_yds,0,,,,,
player,201212160htx,clt,BallVi00,rec_td,0,,,,,
player,201212160htx,clt,BallVi00,rec_long,0,,,,,
player,201212160htx,clt,BallVi00,fumbles,0,,,,,
player,201212160htx,clt,BallVi00,fumbles_lost,0,,,,,
player,201212160htx,clt,MoorMe00,pass_cmp,0,,,,,
player,201212160htx,clt,MoorMe00,pass_att,0,,,,,
player,201212160htx,clt,MoorMe00,pass_yds,0,,,,,
player,201212160htx,clt,MoorMe00,pass_td,0,,,,,
player,201212160htx,clt,MoorMe00,pass_int,0,,,,,
player,201212160htx,clt,MoorMe00,pass_sacked,0,,,,,
player,201212160htx,clt,MoorMe00,pass_sacked_yds,0,,,,,
player,201212160htx,clt,MoorMe00,pass_long,0,,,,,
player,201212160htx,clt,MoorMe00,pass_rating,,,,,,
player,201212160htx,clt,MoorMe00,rush_att,4,,,,,
player,201212160htx,clt,MoorMe00,rush_yds,6,,,,,
player,201212160htx,clt,MoorMe00,rush_td,0,,,,,
player,201212160htx,clt,MoorMe00,rush_long,6,,,,,
player,201212160htx,clt,MoorMe00,targets,0,,,,,
player,201212160htx,clt,MoorMe00,rec,0,,,,,
player,201212160htx,clt,MoorMe00,rec_yds,0,,,,,
player,201212160htx,clt,MoorMe00,rec_td,0,,,,,
player,201212160htx,clt,MoorMe00,rec_long,0,,,,,
player,201212160htx,clt,MoorMe00,fumbles,1,,,,,
player,201212160htx,clt,MoorMe00,fumbles_lost,1,,,,,
player,201212160htx,clt,AlleDw00,pass_cmp,0,,,,,
player,201212160htx,clt,AlleDw00,pass_att,0,,,,,
player,201212160htx,clt,AlleDw00,pass_yds,0,,,,,
player,201212160htx,clt,AlleDw00,pass_td,0,,,,,
player,201212160htx,clt,AlleDw00,pass_int,0,,,,,
player,201212160htx,clt,AlleDw00,pass_sacked,0,,,,,
player,201212160htx,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201212160htx,clt,AlleDw00,pass_long,0,,,,,
player,201212160htx,clt,AlleDw00,pass_rating,,,,,,
player,201212160htx,clt,AlleDw00,rush_att,1,,,,,
player,201212160htx,clt,AlleDw00,rush_yds,3,,,,,
player,201212160htx,clt,AlleDw00,rush_td,0,,,,,
