game,2012,2,20120913,201209130gnb,chi,"Chicago Bears",10,gnb,"Green Bay Packers",23
team,201209130gnb,chi,First Downs,11,,,,,,
team,201209130gnb,gnb,First Downs,19,,,,,,
team,201209130gnb,chi,Rush-Yds-TDs,23-94-0,,,,,,
team,201209130gnb,gnb,Rush-Yds-TDs,28-106-0,,,,,,
team,201209130gnb,chi,Cmp-Att-Yd-TD-INT,11-27-126-1-4,,,,,,
team,201209130gnb,gnb,Cmp-Att-Yd-TD-INT,23-33-246-2-1,,,,,,
team,201209130gnb,chi,Sacked-Yards,7-52,,,,,,
team,201209130gnb,gnb,Sacked-Yards,5-31,,,,,,
team,201209130gnb,chi,Net Pass Yards,74,,,,,,
team,201209130gnb,gnb,Net Pass Yards,215,,,,,,
team,201209130gnb,chi,Total Yards,168,,,,,,
team,201209130gnb,gnb,Total Yards,321,,,,,,
team,201209130gnb,chi,Fumbles-Lost,0-0,,,,,,
team,201209130gnb,gnb,Fumbles-Lost,2-1,,,,,,
team,201209130gnb,chi,Turnovers,4,,,,,,
team,201209130gnb,gnb,Turnovers,2,,,,,,
team,201209130gnb,chi,Penalties-Yards,8-65,,,,,,
team,201209130gnb,gnb,Penalties-Yards,4-54,,,,,,
team,201209130gnb,chi,Third Down Conv.,5-15,,,,,,
team,201209130gnb,gnb,Third Down Conv.,4-14,,,,,,
team,201209130gnb,chi,Fourth Down Conv.,1-2,,,,,,
team,201209130gnb,gnb,Fourth Down Conv.,1-1,,,,,,
team,201209130gnb,chi,Time of Possession,27:49,,,,,,
team,201209130gnb,gnb,Time of Possession,32:11,,,,,,
player,201209130gnb,chi,CutlJa00,pass_cmp,11,,,,,
player,201209130gnb,chi,CutlJa00,pass_att,27,,,,,
player,201209130gnb,chi,CutlJa00,pass_yds,126,,,,,
player,201209130gnb,chi,CutlJa00,pass_td,1,,,,,
player,201209130gnb,chi,CutlJa00,pass_int,4,,,,,
player,201209130gnb,chi,CutlJa00,pass_sacked,7,,,,,
player,201209130gnb,chi,CutlJa00,pass_sacked_yds,52,,,,,
player,201209130gnb,chi,CutlJa00,pass_long,22,,,,,
player,201209130gnb,chi,CutlJa00,pass_rating,28.2,,,,,
player,201209130gnb,chi,CutlJa00,rush_att,1,,,,,
player,201209130gnb,chi,CutlJa00,rush_yds,12,,,,,
player,201209130gnb,chi,CutlJa00,rush_td,0,,,,,
player,201209130gnb,chi,CutlJa00,rush_long,12,,,,,
player,201209130gnb,chi,CutlJa00,targets,0,,,,,
player,201209130gnb,chi,CutlJa00,rec,0,,,,,
player,201209130gnb,chi,CutlJa00,rec_yds,0,,,,,
player,201209130gnb,chi,CutlJa00,rec_td,0,,,,,
player,201209130gnb,chi,CutlJa00,rec_long,0,,,,,
player,201209130gnb,chi,CutlJa00,fumbles,0,,,,,
player,201209130gnb,chi,CutlJa00,fumbles_lost,0,,,,,
player,201209130gnb,chi,BushMi00,pass_cmp,0,,,,,
player,201209130gnb,chi,BushMi00,pass_att,0,,,,,
player,201209130gnb,chi,BushMi00,pass_yds,0,,,,,
player,201209130gnb,chi,BushMi00,pass_td,0,,,,,
player,201209130gnb,chi,BushMi00,pass_int,0,,,,,
player,201209130gnb,chi,BushMi00,pass_sacked,0,,,,,
player,201209130gnb,chi,BushMi00,pass_sacked_yds,0,,,,,
player,201209130gnb,chi,BushMi00,pass_long,0,,,,,
player,201209130gnb,chi,BushMi00,pass_rating,,,,,,
player,201209130gnb,chi,BushMi00,rush_att,14,,,,,
player,201209130gnb,chi,BushMi00,rush_yds,54,,,,,
player,201209130gnb,chi,BushMi00,rush_td,0,,,,,
player,201209130gnb,chi,BushMi00,rush_long,8,,,,,
player,201209130gnb,chi,BushMi00,targets,0,,,,,
player,201209130gnb,chi,BushMi00,rec,0,,,,,
player,201209130gnb,chi,BushMi00,rec_yds,0,,,,,
player,201209130gnb,chi,BushMi00,rec_td,0,,,,,
player,201209130gnb,chi,BushMi00,rec_long,0,,,,,
player,201209130gnb,chi,BushMi00,fumbles,0,,,,,
player,201209130gnb,chi,BushMi00,fumbles_lost,0,,,,,
player,201209130gnb,chi,FortMa00,pass_cmp,0,,,,,
player,201209130gnb,chi,FortMa00,pass_att,0,,,,,
player,201209130gnb,chi,FortMa00,pass_yds,0,,,,,
player,201209130gnb,chi,FortMa00,pass_td,0,,,,,
player,201209130gnb,chi,FortMa00,pass_int,0,,,,,
player,201209130gnb,chi,FortMa00,pass_sacked,0,,,,,
player,201209130gnb,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201209130gnb,chi,FortMa00,pass_long,0,,,,,
player,201209130gnb,chi,FortMa00,pass_rating,,,,,,
player,201209130gnb,chi,FortMa00,rush_att,7,,,,,
player,201209130gnb,chi,FortMa00,rush_yds,31,,,,,
player,201209130gnb,chi,FortMa00,rush_td,0,,,,,
player,201209130gnb,chi,FortMa00,rush_long,8,,,,,
player,201209130gnb,chi,FortMa00,targets,5,,,,,
player,201209130gnb,chi,FortMa00,rec,4,,,,,
player,201209130gnb,chi,FortMa00,rec_yds,49,,,,,
player,201209130gnb,chi,FortMa00,rec_td,0,,,,,
player,201209130gnb,chi,FortMa00,rec_long,22,,,,,
player,201209130gnb,chi,FortMa00,fumbles,0,,,,,
player,201209130gnb,chi,FortMa00,fumbles_lost,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_cmp,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_att,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_yds,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_td,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_int,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_sacked,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_sacked_yds,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_long,0,,,,,
player,201209130gnb,chi,MarsBr00,pass_rating,,,,,,
player,201209130gnb,chi,MarsBr00,rush_att,0,,,,,
player,201209130gnb,chi,MarsBr00,rush_yds,0,,,,,
player,201209130gnb,chi,MarsBr00,rush_td,0,,,,,
player,201209130gnb,chi,MarsBr00,rush_long,0,,,,,
player,201209130gnb,chi,MarsBr00,targets,5,,,,,
player,201209130gnb,chi,MarsBr00,rec,2,,,,,
player,201209130gnb,chi,MarsBr00,rec_yds,24,,,,,
player,201209130gnb,chi,MarsBr00,rec_td,0,,,,,
player,201209130gnb,chi,MarsBr00,rec_long,14,,,,,
player,201209130gnb,chi,MarsBr00,fumbles,0,,,,,
player,201209130gnb,chi,MarsBr00,fumbles_lost,0,,,,,
player,201209130gnb,chi,DaviKe01,pass_cmp,0,,,,,
player,201209130gnb,chi,DaviKe01,pass_att,0,,,,,
player,201209130gnb,chi,DaviKe01,pass_yds,0,,,,,
player,201209130gnb,chi,DaviKe01,pass_td,0,,,,,
player,201209130gnb,chi,DaviKe01,pass_int,0,,,,,
player,201209130gnb,chi,DaviKe01,pass_sacked,0,,,,,
