game,2012,9,20121104,201211040sea,min,"Minnesota Vikings",20,sea,"Seattle Seahawks",30
team,201211040sea,min,First Downs,16,,,,,,
team,201211040sea,sea,First Downs,28,,,,,,
team,201211040sea,min,Rush-Yds-TDs,27-243-2,,,,,,
team,201211040sea,sea,Rush-Yds-TDs,45-195-1,,,,,,
team,201211040sea,min,Cmp-Att-Yd-TD-INT,11-22-63-0-1,,,,,,
team,201211040sea,sea,Cmp-Att-Yd-TD-INT,17-25-198-3-0,,,,,,
team,201211040sea,min,Sacked-Yards,4-19,,,,,,
team,201211040sea,sea,Sacked-Yards,1-8,,,,,,
team,201211040sea,min,Net Pass Yards,44,,,,,,
team,201211040sea,sea,Net Pass Yards,190,,,,,,
team,201211040sea,min,Total Yards,287,,,,,,
team,201211040sea,sea,Total Yards,385,,,,,,
team,201211040sea,min,Fumbles-Lost,1-1,,,,,,
team,201211040sea,sea,Fumbles-Lost,1-0,,,,,,
team,201211040sea,min,Turnovers,2,,,,,,
team,201211040sea,sea,Turnovers,0,,,,,,
team,201211040sea,min,Penalties-Yards,6-33,,,,,,
team,201211040sea,sea,Penalties-Yards,4-49,,,,,,
team,201211040sea,min,Third Down Conv.,3-10,,,,,,
team,201211040sea,sea,Third Down Conv.,4-12,,,,,,
team,201211040sea,min,Fourth Down Conv.,0-0,,,,,,
team,201211040sea,sea,Fourth Down Conv.,3-3,,,,,,
team,201211040sea,min,Time of Possession,24:00,,,,,,
team,201211040sea,sea,Time of Possession,36:00,,,,,,
player,201211040sea,min,PondCh00,pass_cmp,11,,,,,
player,201211040sea,min,PondCh00,pass_att,22,,,,,
player,201211040sea,min,PondCh00,pass_yds,63,,,,,
player,201211040sea,min,PondCh00,pass_td,0,,,,,
player,201211040sea,min,PondCh00,pass_int,1,,,,,
player,201211040sea,min,PondCh00,pass_sacked,4,,,,,
player,201211040sea,min,PondCh00,pass_sacked_yds,19,,,,,
player,201211040sea,min,PondCh00,pass_long,14,,,,,
player,201211040sea,min,PondCh00,pass_rating,37.3,,,,,
player,201211040sea,min,PondCh00,rush_att,5,,,,,
player,201211040sea,min,PondCh00,rush_yds,23,,,,,
player,201211040sea,min,PondCh00,rush_td,0,,,,,
player,201211040sea,min,PondCh00,rush_long,8,,,,,
player,201211040sea,min,PondCh00,targets,0,,,,,
player,201211040sea,min,PondCh00,rec,0,,,,,
player,201211040sea,min,PondCh00,rec_yds,0,,,,,
player,201211040sea,min,PondCh00,rec_td,0,,,,,
player,201211040sea,min,PondCh00,rec_long,0,,,,,
player,201211040sea,min,PondCh00,fumbles,0,,,,,
player,201211040sea,min,PondCh00,fumbles_lost,0,,,,,
player,201211040sea,min,PeteAd01,pass_cmp,0,,,,,
player,201211040sea,min,PeteAd01,pass_att,0,,,,,
player,201211040sea,min,PeteAd01,pass_yds,0,,,,,
player,201211040sea,min,PeteAd01,pass_td,0,,,,,
player,201211040sea,min,PeteAd01,pass_int,0,,,,,
player,201211040sea,min,PeteAd01,pass_sacked,0,,,,,
player,201211040sea,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201211040sea,min,PeteAd01,pass_long,0,,,,,
player,201211040sea,min,PeteAd01,pass_rating,,,,,,
player,201211040sea,min,PeteAd01,rush_att,17,,,,,
player,201211040sea,min,PeteAd01,rush_yds,182,,,,,
player,201211040sea,min,PeteAd01,rush_td,2,,,,,
player,201211040sea,min,PeteAd01,rush_long,74,,,,,
player,201211040sea,min,PeteAd01,targets,4,,,,,
player,201211040sea,min,PeteAd01,rec,3,,,,,
player,201211040sea,min,PeteAd01,rec_yds,11,,,,,
player,201211040sea,min,PeteAd01,rec_td,0,,,,,
player,201211040sea,min,PeteAd01,rec_long,5,,,,,
player,201211040sea,min,PeteAd01,fumbles,0,,,,,
player,201211040sea,min,PeteAd01,fumbles_lost,0,,,,,
player,201211040sea,min,HarvPe00,pass_cmp,0,,,,,
player,201211040sea,min,HarvPe00,pass_att,0,,,,,
player,201211040sea,min,HarvPe00,pass_yds,0,,,,,
player,201211040sea,min,HarvPe00,pass_td,0,,,,,
player,201211040sea,min,HarvPe00,pass_int,0,,,,,
player,201211040sea,min,HarvPe00,pass_sacked,0,,,,,
player,201211040sea,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201211040sea,min,HarvPe00,pass_long,0,,,,,
player,201211040sea,min,HarvPe00,pass_rating,,,,,,
player,201211040sea,min,HarvPe00,rush_att,4,,,,,
player,201211040sea,min,HarvPe00,rush_yds,24,,,,,
player,201211040sea,min,HarvPe00,rush_td,0,,,,,
player,201211040sea,min,HarvPe00,rush_long,15,,,,,
player,201211040sea,min,HarvPe00,targets,6,,,,,
player,201211040sea,min,HarvPe00,rec,2,,,,,
player,201211040sea,min,HarvPe00,rec_yds,10,,,,,
player,201211040sea,min,HarvPe00,rec_td,0,,,,,
player,201211040sea,min,HarvPe00,rec_long,9,,,,,
player,201211040sea,min,HarvPe00,fumbles,1,,,,,
player,201211040sea,min,HarvPe00,fumbles_lost,1,,,,,
player,201211040sea,min,GerhTo00,pass_cmp,0,,,,,
player,201211040sea,min,GerhTo00,pass_att,0,,,,,
player,201211040sea,min,GerhTo00,pass_yds,0,,,,,
player,201211040sea,min,GerhTo00,pass_td,0,,,,,
player,201211040sea,min,GerhTo00,pass_int,0,,,,,
player,201211040sea,min,GerhTo00,pass_sacked,0,,,,,
player,201211040sea,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201211040sea,min,GerhTo00,pass_long,0,,,,,
player,201211040sea,min,GerhTo00,pass_rating,,,,,,
player,201211040sea,min,GerhTo00,rush_att,1,,,,,
player,201211040sea,min,GerhTo00,rush_yds,14,,,,,
player,201211040sea,min,GerhTo00,rush_td,0,,,,,
player,201211040sea,min,GerhTo00,rush_long,14,,,,,
player,201211040sea,min,GerhTo00,targets,2,,,,,
player,201211040sea,min,GerhTo00,rec,1,,,,,
player,201211040sea,min,GerhTo00,rec_yds,3,,,,,
player,201211040sea,min,GerhTo00,rec_td,0,,,,,
player,201211040sea,min,GerhTo00,rec_long,3,,,,,
player,201211040sea,min,GerhTo00,fumbles,0,,,,,
player,201211040sea,min,GerhTo00,fumbles_lost,0,,,,,
player,201211040sea,min,SimpJe00,pass_cmp,0,,,,,
player,201211040sea,min,SimpJe00,pass_att,0,,,,,
player,201211040sea,min,SimpJe00,pass_yds,0,,,,,
player,201211040sea,min,SimpJe00,pass_td,0,,,,,
player,201211040sea,min,SimpJe00,pass_int,0,,,,,
player,201211040sea,min,SimpJe00,pass_sacked,0,,,,,
player,201211040sea,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201211040sea,min,SimpJe00,pass_long,0,,,,,
player,201211040sea,min,SimpJe00,pass_rating,,,,,,
player,201211040sea,min,SimpJe00,rush_att,0,,,,,
player,201211040sea,min,SimpJe00,rush_yds,0,,,,,
player,201211040sea,min,SimpJe00,rush_td,0,,,,,
player,201211040sea,min,SimpJe00,rush_long,0,,,,,
player,201211040sea,min,SimpJe00,targets,2,,,,,
player,201211040sea,min,SimpJe00,rec,1,,,,,
player,201211040sea,min,SimpJe00,rec_yds,14,,,,,
player,201211040sea,min,SimpJe00,rec_td,0,,,,,
player,201211040sea,min,SimpJe00,rec_long,14,,,,,
player,201211040sea,min,SimpJe00,fumbles,0,,,,,
player,201211040sea,min,SimpJe00,fumbles_lost,0,,,,,
player,201211040sea,min,ReisAl00,pass_cmp,0,,,,,
player,201211040sea,min,ReisAl00,pass_att,0,,,,,
player,201211040sea,min,ReisAl00,pass_yds,0,,,,,
player,201211040sea,min,ReisAl00,pass_td,0,,,,,
player,201211040sea,min,ReisAl00,pass_int,0,,,,,
player,201211040sea,min,ReisAl00,pass_sacked,0,,,,,
player,201211040sea,min,ReisAl00,pass_sacked_yds,0,,,,,
player,201211040sea,min,ReisAl00,pass_long,0,,,,,
player,201211040sea,min,ReisAl00,pass_rating,,,,,,
