game,2012,4,20120930,201209300crd,mia,"Miami Dolphins",21,crd,"Arizona Cardinals",24
team,201209300crd,mia,First Downs,21,,,,,,
team,201209300crd,crd,First Downs,19,,,,,,
team,201209300crd,mia,Rush-Yds-TDs,29-86-1,,,,,,
team,201209300crd,crd,Rush-Yds-TDs,15-28-0,,,,,,
team,201209300crd,mia,Cmp-Att-Yd-TD-INT,26-41-431-1-2,,,,,,
team,201209300crd,crd,Cmp-Att-Yd-TD-INT,29-48-324-3-2,,,,,,
team,201209300crd,mia,Sacked-Yards,4-37,,,,,,
team,201209300crd,crd,Sacked-Yards,8-55,,,,,,
team,201209300crd,mia,Net Pass Yards,394,,,,,,
team,201209300crd,crd,Net Pass Yards,269,,,,,,
team,201209300crd,mia,Total Yards,480,,,,,,
team,201209300crd,crd,Total Yards,297,,,,,,
team,201209300crd,mia,Fumbles-Lost,2-2,,,,,,
team,201209300crd,crd,Fumbles-Lost,4-0,,,,,,
team,201209300crd,mia,Turnovers,4,,,,,,
team,201209300crd,crd,Turnovers,2,,,,,,
team,201209300crd,mia,Penalties-Yards,4-40,,,,,,
team,201209300crd,crd,Penalties-Yards,6-62,,,,,,
team,201209300crd,mia,Third Down Conv.,6-16,,,,,,
team,201209300crd,crd,Third Down Conv.,4-16,,,,,,
team,201209300crd,mia,Fourth Down Conv.,1-1,,,,,,
team,201209300crd,crd,Fourth Down Conv.,2-2,,,,,,
team,201209300crd,mia,Time of Possession,35:00,,,,,,
team,201209300crd,crd,Time of Possession,31:31,,,,,,
player,201209300crd,mia,TannRy00,pass_cmp,26,,,,,
player,201209300crd,mia,TannRy00,pass_att,41,,,,,
player,201209300crd,mia,TannRy00,pass_yds,431,,,,,
player,201209300crd,mia,TannRy00,pass_td,1,,,,,
player,201209300crd,mia,TannRy00,pass_int,2,,,,,
player,201209300crd,mia,TannRy00,pass_sacked,4,,,,,
player,201209300crd,mia,TannRy00,pass_sacked_yds,37,,,,,
player,201209300crd,mia,TannRy00,pass_long,80,,,,,
player,201209300crd,mia,TannRy00,pass_rating,86.5,,,,,
player,201209300crd,mia,TannRy00,rush_att,1,,,,,
player,201209300crd,mia,TannRy00,rush_yds,0,,,,,
player,201209300crd,mia,TannRy00,rush_td,0,,,,,
player,201209300crd,mia,TannRy00,rush_long,0,,,,,
player,201209300crd,mia,TannRy00,targets,0,,,,,
player,201209300crd,mia,TannRy00,rec,0,,,,,
player,201209300crd,mia,TannRy00,rec_yds,0,,,,,
player,201209300crd,mia,TannRy00,rec_td,0,,,,,
player,201209300crd,mia,TannRy00,rec_long,0,,,,,
