game,2012,8,20121028,201210280det,sea,"Seattle Seahawks",24,det,"Detroit Lions",28
team,201210280det,sea,First Downs,21,,,,,,
team,201210280det,det,First Downs,26,,,,,,
team,201210280det,sea,Rush-Yds-TDs,19-133-1,,,,,,
team,201210280det,det,Rush-Yds-TDs,22-84-1,,,,,,
team,201210280det,sea,Cmp-Att-Yd-TD-INT,25-35-236-2-1,,,,,,
team,201210280det,det,Cmp-Att-Yd-TD-INT,34-49-352-3-1,,,,,,
team,201210280det,sea,Sacked-Yards,0-0,,,,,,
team,201210280det,det,Sacked-Yards,2-21,,,,,,
team,201210280det,sea,Net Pass Yards,236,,,,,,
team,201210280det,det,Net Pass Yards,331,,,,,,
team,201210280det,sea,Total Yards,369,,,,,,
team,201210280det,det,Total Yards,415,,,,,,
team,201210280det,sea,Fumbles-Lost,1-1,,,,,,
team,201210280det,det,Fumbles-Lost,0-0,,,,,,
team,201210280det,sea,Turnovers,2,,,,,,
team,201210280det,det,Turnovers,1,,,,,,
team,201210280det,sea,Penalties-Yards,2-10,,,,,,
team,201210280det,det,Penalties-Yards,5-61,,,,,,
team,201210280det,sea,Third Down Conv.,3-9,,,,,,
team,201210280det,det,Third Down Conv.,12-16,,,,,,
team,201210280det,sea,Fourth Down Conv.,1-1,,,,,,
team,201210280det,det,Fourth Down Conv.,0-0,,,,,,
team,201210280det,sea,Time of Possession,25:17,,,,,,
team,201210280det,det,Time of Possession,34:43,,,,,,
player,201210280det,sea,WilsRu00,pass_cmp,25,,,,,
player,201210280det,sea,WilsRu00,pass_att,35,,,,,
player,201210280det,sea,WilsRu00,pass_yds,236,,,,,
player,201210280det,sea,WilsRu00,pass_td,2,,,,,
player,201210280det,sea,WilsRu00,pass_int,1,,,,,
player,201210280det,sea,WilsRu00,pass_sacked,0,,,,,
player,201210280det,sea,WilsRu00,pass_sacked_yds,0,,,,,
player,201210280det,sea,WilsRu00,pass_long,19,,,,,
player,201210280det,sea,WilsRu00,pass_rating,96.8,,,,,
player,201210280det,sea,WilsRu00,rush_att,1,,,,,
player,201210280det,sea,WilsRu00,rush_yds,9,,,,,
player,201210280det,sea,WilsRu00,rush_td,0,,,,,
player,201210280det,sea,WilsRu00,rush_long,9,,,,,
player,201210280det,sea,WilsRu00,targets,0,,,,,
player,201210280det,sea,WilsRu00,rec,0,,,,,
player,201210280det,sea,WilsRu00,rec_yds,0,,,,,
player,201210280det,sea,WilsRu00,rec_td,0,,,,,
player,201210280det,sea,WilsRu00,rec_long,0,,,,,
player,201210280det,sea,WilsRu00,fumbles,0,,,,,
player,201210280det,sea,WilsRu00,fumbles_lost,0,,,,,
player,201210280det,sea,LyncMa00,pass_cmp,0,,,,,
player,201210280det,sea,LyncMa00,pass_att,0,,,,,
player,201210280det,sea,LyncMa00,pass_yds,0,,,,,
player,201210280det,sea,LyncMa00,pass_td,0,,,,,
player,201210280det,sea,LyncMa00,pass_int,0,,,,,
player,201210280det,sea,LyncMa00,pass_sacked,0,,,,,
player,201210280det,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201210280det,sea,LyncMa00,pass_long,0,,,,,
player,201210280det,sea,LyncMa00,pass_rating,,,,,,
player,201210280det,sea,LyncMa00,rush_att,12,,,,,
player,201210280det,sea,LyncMa00,rush_yds,105,,,,,
player,201210280det,sea,LyncMa00,rush_td,1,,,,,
player,201210280det,sea,LyncMa00,rush_long,77,,,,,
player,201210280det,sea,LyncMa00,targets,3,,,,,
player,201210280det,sea,LyncMa00,rec,1,,,,,
player,201210280det,sea,LyncMa00,rec_yds,1,,,,,
player,201210280det,sea,LyncMa00,rec_td,0,,,,,
player,201210280det,sea,LyncMa00,rec_long,1,,,,,
player,201210280det,sea,LyncMa00,fumbles,0,,,,,
