game,2012,9,20121104,201211040cle,rav,"Baltimore Ravens",25,cle,"Cleveland Browns",15
team,201211040cle,rav,First Downs,18,,,,,,
team,201211040cle,cle,First Downs,17,,,,,,
team,201211040cle,rav,Rush-Yds-TDs,37-137-2,,,,,,
team,201211040cle,cle,Rush-Yds-TDs,27-116-0,,,,,,
team,201211040cle,rav,Cmp-Att-Yd-TD-INT,15-24-153-1-0,,,,,,
team,201211040cle,cle,Cmp-Att-Yd-TD-INT,20-37-176-0-2,,,,,,
team,201211040cle,rav,Sacked-Yards,1-8,,,,,,
team,201211040cle,cle,Sacked-Yards,1-2,,,,,,
team,201211040cle,rav,Net Pass Yards,145,,,,,,
team,201211040cle,cle,Net Pass Yards,174,,,,,,
team,201211040cle,rav,Total Yards,282,,,,,,
team,201211040cle,cle,Total Yards,290,,,,,,
team,201211040cle,rav,Fumbles-Lost,0-0,,,,,,
team,201211040cle,cle,Fumbles-Lost,1-0,,,,,,
team,201211040cle,rav,Turnovers,0,,,,,,
team,201211040cle,cle,Turnovers,2,,,,,,
team,201211040cle,rav,Penalties-Yards,9-82,,,,,,
team,201211040cle,cle,Penalties-Yards,4-31,,,,,,
team,201211040cle,rav,Third Down Conv.,5-14,,,,,,
team,201211040cle,cle,Third Down Conv.,5-16,,,,,,
team,201211040cle,rav,Fourth Down Conv.,1-1,,,,,,
team,201211040cle,cle,Fourth Down Conv.,0-1,,,,,,
team,201211040cle,rav,Time of Possession,31:32,,,,,,
team,201211040cle,cle,Time of Possession,28:28,,,,,,
player,201211040cle,rav,FlacJo00,pass_cmp,15,,,,,
player,201211040cle,rav,FlacJo00,pass_att,24,,,,,
player,201211040cle,rav,FlacJo00,pass_yds,153,,,,,
player,201211040cle,rav,FlacJo00,pass_td,1,,,,,
player,201211040cle,rav,FlacJo00,pass_int,0,,,,,
player,201211040cle,rav,FlacJo00,pass_sacked,1,,,,,
player,201211040cle,rav,FlacJo00,pass_sacked_yds,8,,,,,
player,201211040cle,rav,FlacJo00,pass_long,27,,,,,
player,201211040cle,rav,FlacJo00,pass_rating,94.6,,,,,
player,201211040cle,rav,FlacJo00,rush_att,2,,,,,
player,201211040cle,rav,FlacJo00,rush_yds,1,,,,,
player,201211040cle,rav,FlacJo00,rush_td,0,,,,,
player,201211040cle,rav,FlacJo00,rush_long,2,,,,,
player,201211040cle,rav,FlacJo00,targets,0,,,,,
player,201211040cle,rav,FlacJo00,rec,0,,,,,
player,201211040cle,rav,FlacJo00,rec_yds,0,,,,,
player,201211040cle,rav,FlacJo00,rec_td,0,,,,,
player,201211040cle,rav,FlacJo00,rec_long,0,,,,,
player,201211040cle,rav,FlacJo00,fumbles,0,,,,,
player,201211040cle,rav,FlacJo00,fumbles_lost,0,,,,,
player,201211040cle,rav,RiceRa00,pass_cmp,0,,,,,
player,201211040cle,rav,RiceRa00,pass_att,0,,,,,
player,201211040cle,rav,RiceRa00,pass_yds,0,,,,,
player,201211040cle,rav,RiceRa00,pass_td,0,,,,,
player,201211040cle,rav,RiceRa00,pass_int,0,,,,,
player,201211040cle,rav,RiceRa00,pass_sacked,0,,,,,
