game,2012,15,20121216,201212160sdg,car,"Carolina Panthers",31,sdg,"San Diego Chargers",7
team,201212160sdg,car,First Downs,29,,,,,,
team,201212160sdg,sdg,First Downs,12,,,,,,
team,201212160sdg,car,Rush-Yds-TDs,39-155-2,,,,,,
team,201212160sdg,sdg,Rush-Yds-TDs,16-70-0,,,,,,
team,201212160sdg,car,Cmp-Att-Yd-TD-INT,19-33-231-2-0,,,,,,
team,201212160sdg,sdg,Cmp-Att-Yd-TD-INT,16-23-121-1-0,,,,,,
team,201212160sdg,car,Sacked-Yards,2-14,,,,,,
team,201212160sdg,sdg,Sacked-Yards,6-27,,,,,,
team,201212160sdg,car,Net Pass Yards,217,,,,,,
team,201212160sdg,sdg,Net Pass Yards,94,,,,,,
team,201212160sdg,car,Total Yards,372,,,,,,
team,201212160sdg,sdg,Total Yards,164,,,,,,
team,201212160sdg,car,Fumbles-Lost,2-1,,,,,,
team,201212160sdg,sdg,Fumbles-Lost,4-2,,,,,,
team,201212160sdg,car,Turnovers,1,,,,,,
team,201212160sdg,sdg,Turnovers,2,,,,,,
team,201212160sdg,car,Penalties-Yards,6-48,,,,,,
team,201212160sdg,sdg,Penalties-Yards,9-70,,,,,,
team,201212160sdg,car,Third Down Conv.,7-14,,,,,,
team,201212160sdg,sdg,Third Down Conv.,3-9,,,,,,
team,201212160sdg,car,Fourth Down Conv.,1-1,,,,,,
team,201212160sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201212160sdg,car,Time of Possession,37:32,,,,,,
team,201212160sdg,sdg,Time of Possession,22:28,,,,,,
player,201212160sdg,car,NewtCa00,pass_cmp,19,,,,,
player,201212160sdg,car,NewtCa00,pass_att,33,,,,,
player,201212160sdg,car,NewtCa00,pass_yds,231,,,,,
player,201212160sdg,car,NewtCa00,pass_td,2,,,,,
player,201212160sdg,car,NewtCa00,pass_int,0,,,,,
player,201212160sdg,car,NewtCa00,pass_sacked,2,,,,,
player,201212160sdg,car,NewtCa00,pass_sacked_yds,14,,,,,
player,201212160sdg,car,NewtCa00,pass_long,45,,,,,
player,201212160sdg,car,NewtCa00,pass_rating,99.4,,,,,
player,201212160sdg,car,NewtCa00,rush_att,4,,,,,
player,201212160sdg,car,NewtCa00,rush_yds,7,,,,,
player,201212160sdg,car,NewtCa00,rush_td,0,,,,,
player,201212160sdg,car,NewtCa00,rush_long,3,,,,,
player,201212160sdg,car,NewtCa00,targets,0,,,,,
player,201212160sdg,car,NewtCa00,rec,0,,,,,
player,201212160sdg,car,NewtCa00,rec_yds,0,,,,,
player,201212160sdg,car,NewtCa00,rec_td,0,,,,,
player,201212160sdg,car,NewtCa00,rec_long,0,,,,,
player,201212160sdg,car,NewtCa00,fumbles,1,,,,,
player,201212160sdg,car,NewtCa00,fumbles_lost,0,,,,,
player,201212160sdg,car,WillDe02,pass_cmp,0,,,,,
player,201212160sdg,car,WillDe02,pass_att,0,,,,,
player,201212160sdg,car,WillDe02,pass_yds,0,,,,,
player,201212160sdg,car,WillDe02,pass_td,0,,,,,
player,201212160sdg,car,WillDe02,pass_int,0,,,,,
player,201212160sdg,car,WillDe02,pass_sacked,0,,,,,
player,201212160sdg,car,WillDe02,pass_sacked_yds,0,,,,,
player,201212160sdg,car,WillDe02,pass_long,0,,,,,
player,201212160sdg,car,WillDe02,pass_rating,,,,,,
player,201212160sdg,car,WillDe02,rush_att,22,,,,,
player,201212160sdg,car,WillDe02,rush_yds,93,,,,,
player,201212160sdg,car,WillDe02,rush_td,0,,,,,
player,201212160sdg,car,WillDe02,rush_long,12,,,,,
player,201212160sdg,car,WillDe02,targets,2,,,,,
player,201212160sdg,car,WillDe02,rec,2,,,,,
player,201212160sdg,car,WillDe02,rec_yds,51,,,,,
player,201212160sdg,car,WillDe02,rec_td,1,,,,,
player,201212160sdg,car,WillDe02,rec_long,45,,,,,
player,201212160sdg,car,WillDe02,fumbles,1,,,,,
player,201212160sdg,car,WillDe02,fumbles_lost,1,,,,,
player,201212160sdg,car,TolbMi00,pass_cmp,0,,,,,
player,201212160sdg,car,TolbMi00,pass_att,0,,,,,
player,201212160sdg,car,TolbMi00,pass_yds,0,,,,,
player,201212160sdg,car,TolbMi00,pass_td,0,,,,,
player,201212160sdg,car,TolbMi00,pass_int,0,,,,,
player,201212160sdg,car,TolbMi00,pass_sacked,0,,,,,
player,201212160sdg,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201212160sdg,car,TolbMi00,pass_long,0,,,,,
player,201212160sdg,car,TolbMi00,pass_rating,,,,,,
player,201212160sdg,car,TolbMi00,rush_att,9,,,,,
player,201212160sdg,car,TolbMi00,rush_yds,40,,,,,
player,201212160sdg,car,TolbMi00,rush_td,2,,,,,
player,201212160sdg,car,TolbMi00,rush_long,13,,,,,
player,201212160sdg,car,TolbMi00,targets,4,,,,,
player,201212160sdg,car,TolbMi00,rec,2,,,,,
player,201212160sdg,car,TolbMi00,rec_yds,24,,,,,
player,201212160sdg,car,TolbMi00,rec_td,0,,,,,
player,201212160sdg,car,TolbMi00,rec_long,13,,,,,
player,201212160sdg,car,TolbMi00,fumbles,0,,,,,
player,201212160sdg,car,TolbMi00,fumbles_lost,0,,,,,
player,201212160sdg,car,SmitSt01,pass_cmp,0,,,,,
player,201212160sdg,car,SmitSt01,pass_att,0,,,,,
player,201212160sdg,car,SmitSt01,pass_yds,0,,,,,
player,201212160sdg,car,SmitSt01,pass_td,0,,,,,
player,201212160sdg,car,SmitSt01,pass_int,0,,,,,
player,201212160sdg,car,SmitSt01,pass_sacked,0,,,,,
player,201212160sdg,car,SmitSt01,pass_sacked_yds,0,,,,,
player,201212160sdg,car,SmitSt01,pass_long,0,,,,,
player,201212160sdg,car,SmitSt01,pass_rating,,,,,,
player,201212160sdg,car,SmitSt01,rush_att,1,,,,,
player,201212160sdg,car,SmitSt01,rush_yds,15,,,,,
player,201212160sdg,car,SmitSt01,rush_td,0,,,,,
player,201212160sdg,car,SmitSt01,rush_long,15,,,,,
player,201212160sdg,car,SmitSt01,targets,9,,,,,
player,201212160sdg,car,SmitSt01,rec,6,,,,,
player,201212160sdg,car,SmitSt01,rec_yds,57,,,,,
player,201212160sdg,car,SmitSt01,rec_td,1,,,,,
player,201212160sdg,car,SmitSt01,rec_long,18,,,,,
player,201212160sdg,car,SmitSt01,fumbles,0,,,,,
player,201212160sdg,car,SmitSt01,fumbles_lost,0,,,,,
player,201212160sdg,car,OlseGr00,pass_cmp,0,,,,,
player,201212160sdg,car,OlseGr00,pass_att,0,,,,,
player,201212160sdg,car,OlseGr00,pass_yds,0,,,,,
player,201212160sdg,car,OlseGr00,pass_td,0,,,,,
player,201212160sdg,car,OlseGr00,pass_int,0,,,,,
player,201212160sdg,car,OlseGr00,pass_sacked,0,,,,,
player,201212160sdg,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201212160sdg,car,OlseGr00,pass_long,0,,,,,
player,201212160sdg,car,OlseGr00,pass_rating,,,,,,
player,201212160sdg,car,OlseGr00,rush_att,0,,,,,
player,201212160sdg,car,OlseGr00,rush_yds,0,,,,,
player,201212160sdg,car,OlseGr00,rush_td,0,,,,,
player,201212160sdg,car,OlseGr00,rush_long,0,,,,,
player,201212160sdg,car,OlseGr00,targets,9,,,,,
player,201212160sdg,car,OlseGr00,rec,5,,,,,
player,201212160sdg,car,OlseGr00,rec_yds,56,,,,,
player,201212160sdg,car,OlseGr00,rec_td,0,,,,,
player,201212160sdg,car,OlseGr00,rec_long,26,,,,,
player,201212160sdg,car,OlseGr00,fumbles,0,,,,,
player,201212160sdg,car,OlseGr00,fumbles_lost,0,,,,,
player,201212160sdg,car,BarnGa01,pass_cmp,0,,,,,
player,201212160sdg,car,BarnGa01,pass_att,0,,,,,
player,201212160sdg,car,BarnGa01,pass_yds,0,,,,,
player,201212160sdg,car,BarnGa01,pass_td,0,,,,,
player,201212160sdg,car,BarnGa01,pass_int,0,,,,,
player,201212160sdg,car,BarnGa01,pass_sacked,0,,,,,
player,201212160sdg,car,BarnGa01,pass_sacked_yds,0,,,,,
player,201212160sdg,car,BarnGa01,pass_long,0,,,,,
player,201212160sdg,car,BarnGa01,pass_rating,,,,,,
player,201212160sdg,car,BarnGa01,rush_att,0,,,,,
player,201212160sdg,car,BarnGa01,rush_yds,0,,,,,
player,201212160sdg,car,BarnGa01,rush_td,0,,,,,
player,201212160sdg,car,BarnGa01,rush_long,0,,,,,
player,201212160sdg,car,BarnGa01,targets,1,,,,,
player,201212160sdg,car,BarnGa01,rec,1,,,,,
player,201212160sdg,car,BarnGa01,rec_yds,20,,,,,
player,201212160sdg,car,BarnGa01,rec_td,0,,,,,
player,201212160sdg,car,BarnGa01,rec_long,20,,,,,
player,201212160sdg,car,BarnGa01,fumbles,0,,,,,
player,201212160sdg,car,BarnGa01,fumbles_lost,0,,,,,
player,201212160sdg,car,MurpLo00,pass_cmp,0,,,,,
player,201212160sdg,car,MurpLo00,pass_att,0,,,,,
player,201212160sdg,car,MurpLo00,pass_yds,0,,,,,
player,201212160sdg,car,MurpLo00,pass_td,0,,,,,
player,201212160sdg,car,MurpLo00,pass_int,0,,,,,
player,201212160sdg,car,MurpLo00,pass_sacked,0,,,,,
player,201212160sdg,car,MurpLo00,pass_sacked_yds,0,,,,,
player,201212160sdg,car,MurpLo00,pass_long,0,,,,,
player,201212160sdg,car,MurpLo00,pass_rating,,,,,,
player,201212160sdg,car,MurpLo00,rush_att,0,,,,,
player,201212160sdg,car,MurpLo00,rush_yds,0,,,,,
player,201212160sdg,car,MurpLo00,rush_td,0,,,,,
player,201212160sdg,car,MurpLo00,rush_long,0,,,,,
player,201212160sdg,car,MurpLo00,targets,6,,,,,
player,201212160sdg,car,MurpLo00,rec,2,,,,,
player,201212160sdg,car,MurpLo00,rec_yds,18,,,,,
player,201212160sdg,car,MurpLo00,rec_td,0,,,,,
player,201212160sdg,car,MurpLo00,rec_long,11,,,,,
player,201212160sdg,car,MurpLo00,fumbles,0,,,,,
player,201212160sdg,car,MurpLo00,fumbles_lost,0,,,,,
player,201212160sdg,car,HartBe00,pass_cmp,0,,,,,
player,201212160sdg,car,HartBe00,pass_att,0,,,,,
player,201212160sdg,car,HartBe00,pass_yds,0,,,,,
player,201212160sdg,car,HartBe00,pass_td,0,,,,,
player,201212160sdg,car,HartBe00,pass_int,0,,,,,
player,201212160sdg,car,HartBe00,pass_sacked,0,,,,,
player,201212160sdg,car,HartBe00,pass_sacked_yds,0,,,,,
player,201212160sdg,car,HartBe00,pass_long,0,,,,,
player,201212160sdg,car,HartBe00,pass_rating,,,,,,
player,201212160sdg,car,HartBe00,rush_att,0,,,,,
player,201212160sdg,car,HartBe00,rush_yds,0,,,,,
player,201212160sdg,car,HartBe00,rush_td,0,,,,,
player,201212160sdg,car,HartBe00,rush_long,0,,,,,
player,201212160sdg,car,HartBe00,targets,1,,,,,
player,201212160sdg,car,HartBe00,rec,1,,,,,
player,201212160sdg,car,HartBe00,rec_yds,5,,,,,
player,201212160sdg,car,HartBe00,rec_td,0,,,,,
player,201212160sdg,car,HartBe00,rec_long,5,,,,,
player,201212160sdg,car,HartBe00,fumbles,0,,,,,
player,201212160sdg,car,HartBe00,fumbles_lost,0,,,,,
player,201212160sdg,car,SmitAr00,pass_cmp,0,,,,,
player,201212160sdg,car,SmitAr00,pass_att,0,,,,,
player,201212160sdg,car,SmitAr00,pass_yds,0,,,,,
player,201212160sdg,car,SmitAr00,pass_td,0,,,,,
player,201212160sdg,car,SmitAr00,pass_int,0,,,,,
