game,2012,3,20120923,201209230oti,det,"Detroit Lions",41,oti,"Tennessee Titans",44
team,201209230oti,det,First Downs,36,,,,,,
team,201209230oti,oti,First Downs,21,,,,,,
team,201209230oti,det,Rush-Yds-TDs,36-141-1,,,,,,
team,201209230oti,oti,Rush-Yds-TDs,19-59-0,,,,,,
team,201209230oti,det,Cmp-Att-Yd-TD-INT,43-55-450-3-0,,,,,,
team,201209230oti,oti,Cmp-Att-Yd-TD-INT,29-42-378-2-0,,,,,,
team,201209230oti,det,Sacked-Yards,1-8,,,,,,
team,201209230oti,oti,Sacked-Yards,0-0,,,,,,
team,201209230oti,det,Net Pass Yards,442,,,,,,
team,201209230oti,oti,Net Pass Yards,378,,,,,,
team,201209230oti,det,Total Yards,583,,,,,,
team,201209230oti,oti,Total Yards,437,,,,,,
team,201209230oti,det,Fumbles-Lost,1-1,,,,,,
team,201209230oti,oti,Fumbles-Lost,2-2,,,,,,
team,201209230oti,det,Turnovers,1,,,,,,
team,201209230oti,oti,Turnovers,2,,,,,,
team,201209230oti,det,Penalties-Yards,10-91,,,,,,
team,201209230oti,oti,Penalties-Yards,6-32,,,,,,
team,201209230oti,det,Third Down Conv.,3-12,,,,,,
team,201209230oti,oti,Third Down Conv.,5-12,,,,,,
team,201209230oti,det,Fourth Down Conv.,0-1,,,,,,
team,201209230oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201209230oti,det,Time of Possession,40:36,,,,,,
team,201209230oti,oti,Time of Possession,27:49,,,,,,
player,201209230oti,det,StafMa00,pass_cmp,33,,,,,
player,201209230oti,det,StafMa00,pass_att,42,,,,,
player,201209230oti,det,StafMa00,pass_yds,278,,,,,
player,201209230oti,det,StafMa00,pass_td,1,,,,,
player,201209230oti,det,StafMa00,pass_int,0,,,,,
player,201209230oti,det,StafMa00,pass_sacked,1,,,,,
player,201209230oti,det,StafMa00,pass_sacked_yds,8,,,,,
player,201209230oti,det,StafMa00,pass_long,28,,,,,
player,201209230oti,det,StafMa00,pass_rating,102.2,,,,,
player,201209230oti,det,StafMa00,rush_att,2,,,,,
player,201209230oti,det,StafMa00,rush_yds,12,,,,,
player,201209230oti,det,StafMa00,rush_td,0,,,,,
player,201209230oti,det,StafMa00,rush_long,7,,,,,
player,201209230oti,det,StafMa00,targets,0,,,,,
player,201209230oti,det,StafMa00,rec,0,,,,,
player,201209230oti,det,StafMa00,rec_yds,0,,,,,
player,201209230oti,det,StafMa00,rec_td,0,,,,,
player,201209230oti,det,StafMa00,rec_long,0,,,,,
player,201209230oti,det,StafMa00,fumbles,0,,,,,
