game,2012,6,20121014,201210140atl,rai,"Oakland Raiders",20,atl,"Atlanta Falcons",23
player,201210140atl,rai,HeywDa00,fumbles_lost,0,,,,,
player,201210140atl,rai,MoorDe02,pass_cmp,0,,,,,
player,201210140atl,rai,MoorDe02,pass_att,0,,,,,
player,201210140atl,rai,MoorDe02,pass_yds,0,,,,,
player,201210140atl,rai,MoorDe02,pass_td,0,,,,,
player,201210140atl,rai,MoorDe02,pass_int,0,,,,,
player,201210140atl,rai,MoorDe02,pass_sacked,,,,,,
player,201210140atl,rai,MoorDe02,pass_sacked_yds,0,,,,,
player,201210140atl,rai,MoorDe02,pass_long,0,,,,,
player,201210140atl,rai,MoorDe02,pass_rating,,,,,,
player,201210140atl,rai,MoorDe02,rush_att,0,,,,,
player,201210140atl,rai,MoorDe02,rush_yds,0,,,,,
player,201210140atl,rai,MoorDe02,rush_td,0,,,,,
player,201210140atl,rai,MoorDe02,rush_long,0,,,,,
player,201210140atl,rai,MoorDe02,targets,9,,,,,
player,201210140atl,rai,MoorDe02,rec,5,,,,,
player,201210140atl,rai,MoorDe02,rec_yds,104,,,,,
player,201210140atl,rai,MoorDe02,rec_td,1,,,,,
player,201210140atl,rai,MoorDe02,rec_long,49,,,,,
player,201210140atl,rai,MoorDe02,fumbles,0,,,,,
player,201210140atl,rai,MoorDe02,fumbles_lost,0,,,,,
player,201210140atl,rai,HagaDe00,pass_cmp,0,,,,,
player,201210140atl,rai,HagaDe00,pass_att,0,,,,,
player,201210140atl,rai,HagaDe00,pass_yds,0,,,,,
player,201210140atl,rai,HagaDe00,pass_td,0,,,,,
player,201210140atl,rai,HagaDe00,pass_int,0,,,,,
player,201210140atl,rai,HagaDe00,pass_sacked,,,,,,
player,201210140atl,rai,HagaDe00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,HagaDe00,pass_long,0,,,,,
player,201210140atl,rai,HagaDe00,pass_rating,,,,,,
player,201210140atl,rai,HagaDe00,rush_att,0,,,,,
player,201210140atl,rai,HagaDe00,rush_yds,0,,,,,
player,201210140atl,rai,HagaDe00,rush_td,0,,,,,
player,201210140atl,rai,HagaDe00,rush_long,0,,,,,
player,201210140atl,rai,HagaDe00,targets,4,,,,,
player,201210140atl,rai,HagaDe00,rec,4,,,,,
player,201210140atl,rai,HagaDe00,rec_yds,85,,,,,
player,201210140atl,rai,HagaDe00,rec_td,0,,,,,
player,201210140atl,rai,HagaDe00,rec_long,38,,,,,
player,201210140atl,rai,HagaDe00,fumbles,0,,,,,
player,201210140atl,rai,HagaDe00,fumbles_lost,0,,,,,
player,201210140atl,rai,MyerBr00,pass_cmp,0,,,,,
player,201210140atl,rai,MyerBr00,pass_att,0,,,,,
player,201210140atl,rai,MyerBr00,pass_yds,0,,,,,
player,201210140atl,rai,MyerBr00,pass_td,0,,,,,
player,201210140atl,rai,MyerBr00,pass_int,0,,,,,
player,201210140atl,rai,MyerBr00,pass_sacked,,,,,,
player,201210140atl,rai,MyerBr00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,MyerBr00,pass_long,0,,,,,
player,201210140atl,rai,MyerBr00,pass_rating,,,,,,
player,201210140atl,rai,MyerBr00,rush_att,0,,,,,
player,201210140atl,rai,MyerBr00,rush_yds,0,,,,,
player,201210140atl,rai,MyerBr00,rush_td,0,,,,,
player,201210140atl,rai,MyerBr00,rush_long,0,,,,,
player,201210140atl,rai,MyerBr00,targets,7,,,,,
player,201210140atl,rai,MyerBr00,rec,5,,,,,
player,201210140atl,rai,MyerBr00,rec_yds,62,,,,,
player,201210140atl,rai,MyerBr00,rec_td,0,,,,,
player,201210140atl,rai,MyerBr00,rec_long,18,,,,,
player,201210140atl,rai,MyerBr00,fumbles,0,,,,,
player,201210140atl,rai,MyerBr00,fumbles_lost,0,,,,,
player,201210140atl,rai,StreRo00,pass_cmp,0,,,,,
player,201210140atl,rai,StreRo00,pass_att,0,,,,,
player,201210140atl,rai,StreRo00,pass_yds,0,,,,,
player,201210140atl,rai,StreRo00,pass_td,0,,,,,
player,201210140atl,rai,StreRo00,pass_int,0,,,,,
player,201210140atl,rai,StreRo00,pass_sacked,,,,,,
player,201210140atl,rai,StreRo00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,StreRo00,pass_long,0,,,,,
player,201210140atl,rai,StreRo00,pass_rating,,,,,,
player,201210140atl,rai,StreRo00,rush_att,0,,,,,
player,201210140atl,rai,StreRo00,rush_yds,0,,,,,
player,201210140atl,rai,StreRo00,rush_td,0,,,,,
player,201210140atl,rai,StreRo00,rush_long,0,,,,,
player,201210140atl,rai,StreRo00,targets,3,,,,,
player,201210140atl,rai,StreRo00,rec,3,,,,,
player,201210140atl,rai,StreRo00,rec_yds,24,,,,,
player,201210140atl,rai,StreRo00,rec_td,0,,,,,
player,201210140atl,rai,StreRo00,rec_long,14,,,,,
player,201210140atl,rai,StreRo00,fumbles,0,,,,,
player,201210140atl,rai,StreRo00,fumbles_lost,0,,,,,
player,201210140atl,rai,AusbDa00,pass_cmp,0,,,,,
player,201210140atl,rai,AusbDa00,pass_att,0,,,,,
player,201210140atl,rai,AusbDa00,pass_yds,0,,,,,
player,201210140atl,rai,AusbDa00,pass_td,0,,,,,
player,201210140atl,rai,AusbDa00,pass_int,0,,,,,
player,201210140atl,rai,AusbDa00,pass_sacked,,,,,,
player,201210140atl,rai,AusbDa00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,AusbDa00,pass_long,0,,,,,
player,201210140atl,rai,AusbDa00,pass_rating,,,,,,
player,201210140atl,rai,AusbDa00,rush_att,0,,,,,
player,201210140atl,rai,AusbDa00,rush_yds,0,,,,,
player,201210140atl,rai,AusbDa00,rush_td,0,,,,,
player,201210140atl,rai,AusbDa00,rush_long,0,,,,,
player,201210140atl,rai,AusbDa00,targets,2,,,,,
player,201210140atl,rai,AusbDa00,rec,1,,,,,
player,201210140atl,rai,AusbDa00,rec_yds,12,,,,,
player,201210140atl,rai,AusbDa00,rec_td,0,,,,,
player,201210140atl,rai,AusbDa00,rec_long,12,,,,,
player,201210140atl,rai,AusbDa00,fumbles,0,,,,,
player,201210140atl,rai,AusbDa00,fumbles_lost,0,,,,,
player,201210140atl,rai,ReecMa00,pass_cmp,0,,,,,
player,201210140atl,rai,ReecMa00,pass_att,0,,,,,
player,201210140atl,rai,ReecMa00,pass_yds,0,,,,,
player,201210140atl,rai,ReecMa00,pass_td,0,,,,,
player,201210140atl,rai,ReecMa00,pass_int,0,,,,,
player,201210140atl,rai,ReecMa00,pass_sacked,,,,,,
player,201210140atl,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201210140atl,rai,ReecMa00,pass_long,0,,,,,
player,201210140atl,rai,ReecMa00,pass_rating,,,,,,
player,201210140atl,rai,ReecMa00,rush_att,0,,,,,
player,201210140atl,rai,ReecMa00,rush_yds,0,,,,,
player,201210140atl,rai,ReecMa00,rush_td,0,,,,,
player,201210140atl,rai,ReecMa00,rush_long,0,,,,,
player,201210140atl,rai,ReecMa00,targets,1,,,,,
player,201210140atl,rai,ReecMa00,rec,1,,,,,
player,201210140atl,rai,ReecMa00,rec_yds,1,,,,,
player,201210140atl,rai,ReecMa00,rec_td,0,,,,,
player,201210140atl,rai,ReecMa00,rec_long,1,,,,,
player,201210140atl,rai,ReecMa00,fumbles,0,,,,,
player,201210140atl,rai,ReecMa00,fumbles_lost,0,,,,,
player,201210140atl,atl,RyanMa00,pass_cmp,24,,,,,
player,201210140atl,atl,RyanMa00,pass_att,37,,,,,
player,201210140atl,atl,RyanMa00,pass_yds,249,,,,,
player,201210140atl,atl,RyanMa00,pass_td,1,,,,,
player,201210140atl,atl,RyanMa00,pass_int,3,,,,,
player,201210140atl,atl,RyanMa00,pass_sacked,1,,,,,
player,201210140atl,atl,RyanMa00,pass_sacked_yds,8,,,,,
player,201210140atl,atl,RyanMa00,pass_long,26,,,,,
player,201210140atl,atl,RyanMa00,pass_rating,59.4,,,,,
player,201210140atl,atl,RyanMa00,rush_att,1,,,,,
player,201210140atl,atl,RyanMa00,rush_yds,15,,,,,
player,201210140atl,atl,RyanMa00,rush_td,0,,,,,
player,201210140atl,atl,RyanMa00,rush_long,15,,,,,
player,201210140atl,atl,RyanMa00,targets,0,,,,,
player,201210140atl,atl,RyanMa00,rec,0,,,,,
player,201210140atl,atl,RyanMa00,rec_yds,0,,,,,
player,201210140atl,atl,RyanMa00,rec_td,0,,,,,
player,201210140atl,atl,RyanMa00,rec_long,0,,,,,
