game,2012,5,20121007,201210070kan,rav,"Baltimore Ravens",9,kan,"Kansas City Chiefs",6
team,201210070kan,rav,First Downs,15,,,,,,
team,201210070kan,kan,First Downs,19,,,,,,
team,201210070kan,rav,Rush-Yds-TDs,24-133-0,,,,,,
team,201210070kan,kan,Rush-Yds-TDs,51-214-0,,,,,,
team,201210070kan,rav,Cmp-Att-Yd-TD-INT,13-27-187-0-1,,,,,,
team,201210070kan,kan,Cmp-Att-Yd-TD-INT,11-17-124-0-2,,,,,,
team,201210070kan,rav,Sacked-Yards,4-22,,,,,,
team,201210070kan,kan,Sacked-Yards,0-0,,,,,,
team,201210070kan,rav,Net Pass Yards,165,,,,,,
team,201210070kan,kan,Net Pass Yards,124,,,,,,
team,201210070kan,rav,Total Yards,298,,,,,,
team,201210070kan,kan,Total Yards,338,,,,,,
team,201210070kan,rav,Fumbles-Lost,1-1,,,,,,
team,201210070kan,kan,Fumbles-Lost,3-2,,,,,,
team,201210070kan,rav,Turnovers,2,,,,,,
team,201210070kan,kan,Turnovers,4,,,,,,
team,201210070kan,rav,Penalties-Yards,5-33,,,,,,
team,201210070kan,kan,Penalties-Yards,8-60,,,,,,
team,201210070kan,rav,Third Down Conv.,3-11,,,,,,
team,201210070kan,kan,Third Down Conv.,6-13,,,,,,
team,201210070kan,rav,Fourth Down Conv.,0-0,,,,,,
team,201210070kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201210070kan,rav,Time of Possession,25:50,,,,,,
team,201210070kan,kan,Time of Possession,34:10,,,,,,
player,201210070kan,rav,FlacJo00,pass_cmp,13,,,,,
player,201210070kan,rav,FlacJo00,pass_att,27,,,,,
player,201210070kan,rav,FlacJo00,pass_yds,187,,,,,
player,201210070kan,rav,FlacJo00,pass_td,0,,,,,
player,201210070kan,rav,FlacJo00,pass_int,1,,,,,
player,201210070kan,rav,FlacJo00,pass_sacked,4,,,,,
player,201210070kan,rav,FlacJo00,pass_sacked_yds,22,,,,,
player,201210070kan,rav,FlacJo00,pass_long,43,,,,,
player,201210070kan,rav,FlacJo00,pass_rating,55.6,,,,,
player,201210070kan,rav,FlacJo00,rush_att,3,,,,,
player,201210070kan,rav,FlacJo00,rush_yds,14,,,,,
player,201210070kan,rav,FlacJo00,rush_td,0,,,,,
player,201210070kan,rav,FlacJo00,rush_long,16,,,,,
player,201210070kan,rav,FlacJo00,targets,0,,,,,
player,201210070kan,rav,FlacJo00,rec,0,,,,,
player,201210070kan,rav,FlacJo00,rec_yds,0,,,,,
player,201210070kan,rav,FlacJo00,rec_td,0,,,,,
player,201210070kan,rav,FlacJo00,rec_long,0,,,,,
player,201210070kan,rav,FlacJo00,fumbles,0,,,,,
player,201210070kan,rav,FlacJo00,fumbles_lost,0,,,,,
player,201210070kan,rav,RiceRa00,pass_cmp,0,,,,,
player,201210070kan,rav,RiceRa00,pass_att,0,,,,,
player,201210070kan,rav,RiceRa00,pass_yds,0,,,,,
player,201210070kan,rav,RiceRa00,pass_td,0,,,,,
player,201210070kan,rav,RiceRa00,pass_int,0,,,,,
player,201210070kan,rav,RiceRa00,pass_sacked,0,,,,,
player,201210070kan,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201210070kan,rav,RiceRa00,pass_long,0,,,,,
player,201210070kan,rav,RiceRa00,pass_rating,,,,,,
player,201210070kan,rav,RiceRa00,rush_att,17,,,,,
player,201210070kan,rav,RiceRa00,rush_yds,102,,,,,
