game,2012,15,20121216,201212160ram,min,"Minnesota Vikings",36,ram,"St. Louis Rams",22
player,201212160ram,min,RudoKy00,pass_td,0,,,,,
player,201212160ram,min,RudoKy00,pass_int,0,,,,,
player,201212160ram,min,RudoKy00,pass_sacked,0,,,,,
player,201212160ram,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201212160ram,min,RudoKy00,pass_long,0,,,,,
player,201212160ram,min,RudoKy00,pass_rating,,,,,,
player,201212160ram,min,RudoKy00,rush_att,0,,,,,
player,201212160ram,min,RudoKy00,rush_yds,0,,,,,
player,201212160ram,min,RudoKy00,rush_td,0,,,,,
player,201212160ram,min,RudoKy00,rush_long,0,,,,,
player,201212160ram,min,RudoKy00,targets,4,,,,,
player,201212160ram,min,RudoKy00,rec,3,,,,,
player,201212160ram,min,RudoKy00,rec_yds,22,,,,,
player,201212160ram,min,RudoKy00,rec_td,0,,,,,
player,201212160ram,min,RudoKy00,rec_long,14,,,,,
player,201212160ram,min,RudoKy00,fumbles,0,,,,,
player,201212160ram,min,RudoKy00,fumbles_lost,0,,,,,
player,201212160ram,min,CarlJo00,pass_cmp,0,,,,,
player,201212160ram,min,CarlJo00,pass_att,0,,,,,
player,201212160ram,min,CarlJo00,pass_yds,0,,,,,
player,201212160ram,min,CarlJo00,pass_td,0,,,,,
player,201212160ram,min,CarlJo00,pass_int,0,,,,,
player,201212160ram,min,CarlJo00,pass_sacked,0,,,,,
player,201212160ram,min,CarlJo00,pass_sacked_yds,0,,,,,
player,201212160ram,min,CarlJo00,pass_long,0,,,,,
player,201212160ram,min,CarlJo00,pass_rating,,,,,,
player,201212160ram,min,CarlJo00,rush_att,0,,,,,
player,201212160ram,min,CarlJo00,rush_yds,0,,,,,
player,201212160ram,min,CarlJo00,rush_td,0,,,,,
player,201212160ram,min,CarlJo00,rush_long,0,,,,,
player,201212160ram,min,CarlJo00,targets,3,,,,,
player,201212160ram,min,CarlJo00,rec,3,,,,,
player,201212160ram,min,CarlJo00,rec_yds,17,,,,,
player,201212160ram,min,CarlJo00,rec_td,0,,,,,
player,201212160ram,min,CarlJo00,rec_long,14,,,,,
player,201212160ram,min,CarlJo00,fumbles,0,,,,,
player,201212160ram,min,CarlJo00,fumbles_lost,0,,,,,
player,201212160ram,min,WrigJa02,pass_cmp,0,,,,,
player,201212160ram,min,WrigJa02,pass_att,0,,,,,
player,201212160ram,min,WrigJa02,pass_yds,0,,,,,
player,201212160ram,min,WrigJa02,pass_td,0,,,,,
player,201212160ram,min,WrigJa02,pass_int,0,,,,,
player,201212160ram,min,WrigJa02,pass_sacked,0,,,,,
player,201212160ram,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201212160ram,min,WrigJa02,pass_long,0,,,,,
player,201212160ram,min,WrigJa02,pass_rating,,,,,,
player,201212160ram,min,WrigJa02,rush_att,0,,,,,
player,201212160ram,min,WrigJa02,rush_yds,0,,,,,
player,201212160ram,min,WrigJa02,rush_td,0,,,,,
player,201212160ram,min,WrigJa02,rush_long,0,,,,,
player,201212160ram,min,WrigJa02,targets,2,,,,,
player,201212160ram,min,WrigJa02,rec,1,,,,,
player,201212160ram,min,WrigJa02,rec_yds,11,,,,,
player,201212160ram,min,WrigJa02,rec_td,0,,,,,
player,201212160ram,min,WrigJa02,rec_long,11,,,,,
player,201212160ram,min,WrigJa02,fumbles,0,,,,,
player,201212160ram,min,WrigJa02,fumbles_lost,0,,,,,
player,201212160ram,min,JenkMi00,pass_cmp,0,,,,,
player,201212160ram,min,JenkMi00,pass_att,0,,,,,
player,201212160ram,min,JenkMi00,pass_yds,0,,,,,
player,201212160ram,min,JenkMi00,pass_td,0,,,,,
player,201212160ram,min,JenkMi00,pass_int,0,,,,,
player,201212160ram,min,JenkMi00,pass_sacked,0,,,,,
player,201212160ram,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201212160ram,min,JenkMi00,pass_long,0,,,,,
player,201212160ram,min,JenkMi00,pass_rating,,,,,,
player,201212160ram,min,JenkMi00,rush_att,0,,,,,
player,201212160ram,min,JenkMi00,rush_yds,0,,,,,
player,201212160ram,min,JenkMi00,rush_td,0,,,,,
player,201212160ram,min,JenkMi00,rush_long,0,,,,,
player,201212160ram,min,JenkMi00,targets,2,,,,,
player,201212160ram,min,JenkMi00,rec,1,,,,,
player,201212160ram,min,JenkMi00,rec_yds,11,,,,,
player,201212160ram,min,JenkMi00,rec_td,0,,,,,
player,201212160ram,min,JenkMi00,rec_long,11,,,,,
player,201212160ram,min,JenkMi00,fumbles,0,,,,,
player,201212160ram,min,JenkMi00,fumbles_lost,0,,,,,
player,201212160ram,min,GerhTo00,pass_cmp,0,,,,,
player,201212160ram,min,GerhTo00,pass_att,0,,,,,
player,201212160ram,min,GerhTo00,pass_yds,0,,,,,
player,201212160ram,min,GerhTo00,pass_td,0,,,,,
player,201212160ram,min,GerhTo00,pass_int,0,,,,,
player,201212160ram,min,GerhTo00,pass_sacked,0,,,,,
player,201212160ram,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201212160ram,min,GerhTo00,pass_long,0,,,,,
player,201212160ram,min,GerhTo00,pass_rating,,,,,,
player,201212160ram,min,GerhTo00,rush_att,5,,,,,
player,201212160ram,min,GerhTo00,rush_yds,-5,,,,,
player,201212160ram,min,GerhTo00,rush_td,0,,,,,
player,201212160ram,min,GerhTo00,rush_long,2,,,,,
