game,2012,16,20121223,201212230den,cle,"Cleveland Browns",12,den,"Denver Broncos",34
team,201212230den,cle,First Downs,20,,,,,,
team,201212230den,den,First Downs,29,,,,,,
team,201212230den,cle,Rush-Yds-TDs,18-91-0,,,,,,
team,201212230den,den,Rush-Yds-TDs,32-118-1,,,,,,
team,201212230den,cle,Cmp-Att-Yd-TD-INT,21-36-183-1-0,,,,,,
team,201212230den,den,Cmp-Att-Yd-TD-INT,30-43-339-3-1,,,,,,
team,201212230den,cle,Sacked-Yards,6-41,,,,,,
team,201212230den,den,Sacked-Yards,0-0,,,,,,
team,201212230den,cle,Net Pass Yards,142,,,,,,
team,201212230den,den,Net Pass Yards,339,,,,,,
team,201212230den,cle,Total Yards,233,,,,,,
team,201212230den,den,Total Yards,457,,,,,,
team,201212230den,cle,Fumbles-Lost,1-1,,,,,,
team,201212230den,den,Fumbles-Lost,2-0,,,,,,
team,201212230den,cle,Turnovers,1,,,,,,
team,201212230den,den,Turnovers,1,,,,,,
team,201212230den,cle,Penalties-Yards,10-69,,,,,,
team,201212230den,den,Penalties-Yards,11-84,,,,,,
team,201212230den,cle,Third Down Conv.,3-12,,,,,,
team,201212230den,den,Third Down Conv.,9-15,,,,,,
team,201212230den,cle,Fourth Down Conv.,1-3,,,,,,
team,201212230den,den,Fourth Down Conv.,0-0,,,,,,
team,201212230den,cle,Time of Possession,26:20,,,,,,
team,201212230den,den,Time of Possession,33:40,,,,,,
player,201212230den,cle,WeedBr00,pass_cmp,12,,,,,
player,201212230den,cle,WeedBr00,pass_att,19,,,,,
player,201212230den,cle,WeedBr00,pass_yds,104,,,,,
player,201212230den,cle,WeedBr00,pass_td,0,,,,,
player,201212230den,cle,WeedBr00,pass_int,0,,,,,
player,201212230den,cle,WeedBr00,pass_sacked,2,,,,,
player,201212230den,cle,WeedBr00,pass_sacked_yds,16,,,,,
player,201212230den,cle,WeedBr00,pass_long,21,,,,,
player,201212230den,cle,WeedBr00,pass_rating,77.5,,,,,
player,201212230den,cle,WeedBr00,rush_att,3,,,,,
player,201212230den,cle,WeedBr00,rush_yds,4,,,,,
player,201212230den,cle,WeedBr00,rush_td,0,,,,,
player,201212230den,cle,WeedBr00,rush_long,3,,,,,
player,201212230den,cle,WeedBr00,targets,0,,,,,
player,201212230den,cle,WeedBr00,rec,0,,,,,
player,201212230den,cle,WeedBr00,rec_yds,0,,,,,
player,201212230den,cle,WeedBr00,rec_td,0,,,,,
player,201212230den,cle,WeedBr00,rec_long,0,,,,,
player,201212230den,cle,WeedBr00,fumbles,0,,,,,
player,201212230den,cle,WeedBr00,fumbles_lost,0,,,,,
player,201212230den,cle,McCoCo00,pass_cmp,9,,,,,
player,201212230den,cle,McCoCo00,pass_att,17,,,,,
player,201212230den,cle,McCoCo00,pass_yds,79,,,,,
player,201212230den,cle,McCoCo00,pass_td,1,,,,,
player,201212230den,cle,McCoCo00,pass_int,0,,,,,
player,201212230den,cle,McCoCo00,pass_sacked,4,,,,,
player,201212230den,cle,McCoCo00,pass_sacked_yds,25,,,,,
player,201212230den,cle,McCoCo00,pass_long,21,,,,,
player,201212230den,cle,McCoCo00,pass_rating,85.2,,,,,
player,201212230den,cle,McCoCo00,rush_att,2,,,,,
player,201212230den,cle,McCoCo00,rush_yds,17,,,,,
player,201212230den,cle,McCoCo00,rush_td,0,,,,,
player,201212230den,cle,McCoCo00,rush_long,15,,,,,
player,201212230den,cle,McCoCo00,targets,0,,,,,
player,201212230den,cle,McCoCo00,rec,0,,,,,
player,201212230den,cle,McCoCo00,rec_yds,0,,,,,
player,201212230den,cle,McCoCo00,rec_td,0,,,,,
player,201212230den,cle,McCoCo00,rec_long,0,,,,,
player,201212230den,cle,McCoCo00,fumbles,0,,,,,
player,201212230den,cle,McCoCo00,fumbles_lost,0,,,,,
player,201212230den,cle,RichTr00,pass_cmp,0,,,,,
player,201212230den,cle,RichTr00,pass_att,0,,,,,
player,201212230den,cle,RichTr00,pass_yds,0,,,,,
player,201212230den,cle,RichTr00,pass_td,0,,,,,
player,201212230den,cle,RichTr00,pass_int,0,,,,,
player,201212230den,cle,RichTr00,pass_sacked,0,,,,,
player,201212230den,cle,RichTr00,pass_sacked_yds,0,,,,,
player,201212230den,cle,RichTr00,pass_long,0,,,,,
player,201212230den,cle,RichTr00,pass_rating,,,,,,
player,201212230den,cle,RichTr00,rush_att,9,,,,,
player,201212230den,cle,RichTr00,rush_yds,53,,,,,
player,201212230den,cle,RichTr00,rush_td,0,,,,,
player,201212230den,cle,RichTr00,rush_long,14,,,,,
player,201212230den,cle,RichTr00,targets,4,,,,,
player,201212230den,cle,RichTr00,rec,3,,,,,
player,201212230den,cle,RichTr00,rec_yds,15,,,,,
player,201212230den,cle,RichTr00,rec_td,0,,,,,
player,201212230den,cle,RichTr00,rec_long,6,,,,,
player,201212230den,cle,RichTr00,fumbles,0,,,,,
player,201212230den,cle,RichTr00,fumbles_lost,0,,,,,
player,201212230den,cle,HardMo00,pass_cmp,0,,,,,
player,201212230den,cle,HardMo00,pass_att,0,,,,,
player,201212230den,cle,HardMo00,pass_yds,0,,,,,
player,201212230den,cle,HardMo00,pass_td,0,,,,,
player,201212230den,cle,HardMo00,pass_int,0,,,,,
player,201212230den,cle,HardMo00,pass_sacked,0,,,,,
player,201212230den,cle,HardMo00,pass_sacked_yds,0,,,,,
player,201212230den,cle,HardMo00,pass_long,0,,,,,
player,201212230den,cle,HardMo00,pass_rating,,,,,,
player,201212230den,cle,HardMo00,rush_att,3,,,,,
player,201212230den,cle,HardMo00,rush_yds,14,,,,,
player,201212230den,cle,HardMo00,rush_td,0,,,,,
player,201212230den,cle,HardMo00,rush_long,6,,,,,
player,201212230den,cle,HardMo00,targets,1,,,,,
player,201212230den,cle,HardMo00,rec,1,,,,,
player,201212230den,cle,HardMo00,rec_yds,7,,,,,
player,201212230den,cle,HardMo00,rec_td,0,,,,,
player,201212230den,cle,HardMo00,rec_long,7,,,,,
player,201212230den,cle,HardMo00,fumbles,0,,,,,
player,201212230den,cle,HardMo00,fumbles_lost,0,,,,,
player,201212230den,cle,CribJo01,pass_cmp,0,,,,,
player,201212230den,cle,CribJo01,pass_att,0,,,,,
player,201212230den,cle,CribJo01,pass_yds,0,,,,,
player,201212230den,cle,CribJo01,pass_td,0,,,,,
