game,2012,14,20121209,201212090cle,kan,"Kansas City Chiefs",7,cle,"Cleveland Browns",30
team,201212090cle,kan,First Downs,12,,,,,,
team,201212090cle,cle,First Downs,20,,,,,,
team,201212090cle,kan,Rush-Yds-TDs,26-180-1,,,,,,
team,201212090cle,cle,Rush-Yds-TDs,35-154-2,,,,,,
team,201212090cle,kan,Cmp-Att-Yd-TD-INT,10-21-159-0-1,,,,,,
team,201212090cle,cle,Cmp-Att-Yd-TD-INT,17-30-217-0-0,,,,,,
team,201212090cle,kan,Sacked-Yards,5-29,,,,,,
team,201212090cle,cle,Sacked-Yards,3-19,,,,,,
team,201212090cle,kan,Net Pass Yards,130,,,,,,
team,201212090cle,cle,Net Pass Yards,198,,,,,,
team,201212090cle,kan,Total Yards,310,,,,,,
team,201212090cle,cle,Total Yards,352,,,,,,
team,201212090cle,kan,Fumbles-Lost,1-0,,,,,,
team,201212090cle,cle,Fumbles-Lost,2-0,,,,,,
team,201212090cle,kan,Turnovers,1,,,,,,
team,201212090cle,cle,Turnovers,0,,,,,,
team,201212090cle,kan,Penalties-Yards,5-35,,,,,,
team,201212090cle,cle,Penalties-Yards,7-55,,,,,,
team,201212090cle,kan,Third Down Conv.,1-11,,,,,,
team,201212090cle,cle,Third Down Conv.,5-15,,,,,,
team,201212090cle,kan,Fourth Down Conv.,0-1,,,,,,
team,201212090cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201212090cle,kan,Time of Possession,26:31,,,,,,
team,201212090cle,cle,Time of Possession,33:29,,,,,,
player,201212090cle,kan,QuinBr00,pass_cmp,10,,,,,
player,201212090cle,kan,QuinBr00,pass_att,21,,,,,
player,201212090cle,kan,QuinBr00,pass_yds,159,,,,,
player,201212090cle,kan,QuinBr00,pass_td,0,,,,,
player,201212090cle,kan,QuinBr00,pass_int,1,,,,,
player,201212090cle,kan,QuinBr00,pass_sacked,5,,,,,
player,201212090cle,kan,QuinBr00,pass_sacked_yds,29,,,,,
player,201212090cle,kan,QuinBr00,pass_long,47,,,,,
player,201212090cle,kan,QuinBr00,pass_rating,53.5,,,,,
player,201212090cle,kan,QuinBr00,rush_att,1,,,,,
player,201212090cle,kan,QuinBr00,rush_yds,4,,,,,
player,201212090cle,kan,QuinBr00,rush_td,0,,,,,
player,201212090cle,kan,QuinBr00,rush_long,4,,,,,
player,201212090cle,kan,QuinBr00,targets,0,,,,,
player,201212090cle,kan,QuinBr00,rec,0,,,,,
player,201212090cle,kan,QuinBr00,rec_yds,0,,,,,
player,201212090cle,kan,QuinBr00,rec_td,0,,,,,
player,201212090cle,kan,QuinBr00,rec_long,0,,,,,
player,201212090cle,kan,QuinBr00,fumbles,0,,,,,
player,201212090cle,kan,QuinBr00,fumbles_lost,0,,,,,
player,201212090cle,kan,CharJa00,pass_cmp,0,,,,,
player,201212090cle,kan,CharJa00,pass_att,0,,,,,
player,201212090cle,kan,CharJa00,pass_yds,0,,,,,
player,201212090cle,kan,CharJa00,pass_td,0,,,,,
player,201212090cle,kan,CharJa00,pass_int,0,,,,,
player,201212090cle,kan,CharJa00,pass_sacked,0,,,,,
player,201212090cle,kan,CharJa00,pass_sacked_yds,0,,,,,
