game,2012,1,20120909,201209090chi,clt,"Indianapolis Colts",21,chi,"Chicago Bears",41
team,201209090chi,clt,First Downs,22,,,,,,
team,201209090chi,chi,First Downs,26,,,,,,
team,201209090chi,clt,Rush-Yds-TDs,15-63-1,,,,,,
team,201209090chi,chi,Rush-Yds-TDs,33-114-3,,,,,,
team,201209090chi,clt,Cmp-Att-Yd-TD-INT,23-45-309-1-3,,,,,,
team,201209090chi,chi,Cmp-Att-Yd-TD-INT,21-35-333-2-1,,,,,,
team,201209090chi,clt,Sacked-Yards,3-16,,,,,,
team,201209090chi,chi,Sacked-Yards,2-19,,,,,,
team,201209090chi,clt,Net Pass Yards,293,,,,,,
team,201209090chi,chi,Net Pass Yards,314,,,,,,
team,201209090chi,clt,Total Yards,356,,,,,,
team,201209090chi,chi,Total Yards,428,,,,,,
team,201209090chi,clt,Fumbles-Lost,2-2,,,,,,
team,201209090chi,chi,Fumbles-Lost,0-0,,,,,,
team,201209090chi,clt,Turnovers,5,,,,,,
team,201209090chi,chi,Turnovers,1,,,,,,
team,201209090chi,clt,Penalties-Yards,3-19,,,,,,
team,201209090chi,chi,Penalties-Yards,7-48,,,,,,
team,201209090chi,clt,Third Down Conv.,2-10,,,,,,
team,201209090chi,chi,Third Down Conv.,4-12,,,,,,
team,201209090chi,clt,Fourth Down Conv.,2-2,,,,,,
team,201209090chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201209090chi,clt,Time of Possession,24:32,,,,,,
team,201209090chi,chi,Time of Possession,35:28,,,,,,
player,201209090chi,clt,LuckAn00,pass_cmp,23,,,,,
player,201209090chi,clt,LuckAn00,pass_att,45,,,,,
player,201209090chi,clt,LuckAn00,pass_yds,309,,,,,
player,201209090chi,clt,LuckAn00,pass_td,1,,,,,
player,201209090chi,clt,LuckAn00,pass_int,3,,,,,
player,201209090chi,clt,LuckAn00,pass_sacked,3,,,,,
player,201209090chi,clt,LuckAn00,pass_sacked_yds,16,,,,,
player,201209090chi,clt,LuckAn00,pass_long,26,,,,,
player,201209090chi,clt,LuckAn00,pass_rating,52.9,,,,,
player,201209090chi,clt,LuckAn00,rush_att,2,,,,,
player,201209090chi,clt,LuckAn00,rush_yds,9,,,,,
player,201209090chi,clt,LuckAn00,rush_td,0,,,,,
player,201209090chi,clt,LuckAn00,rush_long,6,,,,,
player,201209090chi,clt,LuckAn00,targets,0,,,,,
player,201209090chi,clt,LuckAn00,rec,0,,,,,
player,201209090chi,clt,LuckAn00,rec_yds,0,,,,,
player,201209090chi,clt,LuckAn00,rec_td,0,,,,,
player,201209090chi,clt,LuckAn00,rec_long,0,,,,,
player,201209090chi,clt,LuckAn00,fumbles,1,,,,,
player,201209090chi,clt,LuckAn00,fumbles_lost,1,,,,,
player,201209090chi,clt,BrowDo00,pass_cmp,0,,,,,
player,201209090chi,clt,BrowDo00,pass_att,0,,,,,
player,201209090chi,clt,BrowDo00,pass_yds,0,,,,,
player,201209090chi,clt,BrowDo00,pass_td,0,,,,,
player,201209090chi,clt,BrowDo00,pass_int,0,,,,,
player,201209090chi,clt,BrowDo00,pass_sacked,0,,,,,
player,201209090chi,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201209090chi,clt,BrowDo00,pass_long,0,,,,,
player,201209090chi,clt,BrowDo00,pass_rating,,,,,,
