game,2012,7,20121021,201210210ram,gnb,"Green Bay Packers",30,ram,"St. Louis Rams",20
team,201210210ram,gnb,First Downs,22,,,,,,
team,201210210ram,ram,First Downs,19,,,,,,
team,201210210ram,gnb,Rush-Yds-TDs,26-70-0,,,,,,
team,201210210ram,ram,Rush-Yds-TDs,22-108-1,,,,,,
team,201210210ram,gnb,Cmp-Att-Yd-TD-INT,30-37-342-3-0,,,,,,
team,201210210ram,ram,Cmp-Att-Yd-TD-INT,21-34-255-1-1,,,,,,
team,201210210ram,gnb,Sacked-Yards,3-10,,,,,,
team,201210210ram,ram,Sacked-Yards,3-9,,,,,,
team,201210210ram,gnb,Net Pass Yards,332,,,,,,
team,201210210ram,ram,Net Pass Yards,246,,,,,,
team,201210210ram,gnb,Total Yards,402,,,,,,
team,201210210ram,ram,Total Yards,354,,,,,,
team,201210210ram,gnb,Fumbles-Lost,0-0,,,,,,
team,201210210ram,ram,Fumbles-Lost,1-0,,,,,,
team,201210210ram,gnb,Turnovers,0,,,,,,
team,201210210ram,ram,Turnovers,1,,,,,,
team,201210210ram,gnb,Penalties-Yards,3-30,,,,,,
team,201210210ram,ram,Penalties-Yards,6-30,,,,,,
team,201210210ram,gnb,Third Down Conv.,9-15,,,,,,
team,201210210ram,ram,Third Down Conv.,4-11,,,,,,
team,201210210ram,gnb,Fourth Down Conv.,0-0,,,,,,
team,201210210ram,ram,Fourth Down Conv.,1-3,,,,,,
team,201210210ram,gnb,Time of Possession,32:58,,,,,,
team,201210210ram,ram,Time of Possession,27:02,,,,,,
player,201210210ram,gnb,RodgAa00,pass_cmp,30,,,,,
player,201210210ram,gnb,RodgAa00,pass_att,37,,,,,
player,201210210ram,gnb,RodgAa00,pass_yds,342,,,,,
player,201210210ram,gnb,RodgAa00,pass_td,3,,,,,
player,201210210ram,gnb,RodgAa00,pass_int,0,,,,,
player,201210210ram,gnb,RodgAa00,pass_sacked,3,,,,,
player,201210210ram,gnb,RodgAa00,pass_sacked_yds,10,,,,,
player,201210210ram,gnb,RodgAa00,pass_long,52,,,,,
player,201210210ram,gnb,RodgAa00,pass_rating,132.2,,,,,
player,201210210ram,gnb,RodgAa00,rush_att,2,,,,,
player,201210210ram,gnb,RodgAa00,rush_yds,0,,,,,
