game,2012,3,20120923,201209230den,htx,"Houston Texans",31,den,"Denver Broncos",25
team,201209230den,htx,First Downs,23,,,,,,
team,201209230den,den,First Downs,24,,,,,,
team,201209230den,htx,Rush-Yds-TDs,34-152-0,,,,,,
team,201209230den,den,Rush-Yds-TDs,21-59-0,,,,,,
team,201209230den,htx,Cmp-Att-Yd-TD-INT,17-30-290-4-1,,,,,,
team,201209230den,den,Cmp-Att-Yd-TD-INT,26-52-330-2-0,,,,,,
team,201209230den,htx,Sacked-Yards,1-6,,,,,,
team,201209230den,den,Sacked-Yards,3-14,,,,,,
team,201209230den,htx,Net Pass Yards,284,,,,,,
team,201209230den,den,Net Pass Yards,316,,,,,,
team,201209230den,htx,Total Yards,436,,,,,,
team,201209230den,den,Total Yards,375,,,,,,
team,201209230den,htx,Fumbles-Lost,1-1,,,,,,
team,201209230den,den,Fumbles-Lost,1-1,,,,,,
team,201209230den,htx,Turnovers,2,,,,,,
team,201209230den,den,Turnovers,1,,,,,,
team,201209230den,htx,Penalties-Yards,9-69,,,,,,
team,201209230den,den,Penalties-Yards,7-75,,,,,,
team,201209230den,htx,Third Down Conv.,7-14,,,,,,
team,201209230den,den,Third Down Conv.,6-17,,,,,,
team,201209230den,htx,Fourth Down Conv.,0-0,,,,,,
team,201209230den,den,Fourth Down Conv.,0-0,,,,,,
team,201209230den,htx,Time of Possession,31:40,,,,,,
team,201209230den,den,Time of Possession,28:20,,,,,,
player,201209230den,htx,SchaMa00,pass_cmp,17,,,,,
player,201209230den,htx,SchaMa00,pass_att,30,,,,,
player,201209230den,htx,SchaMa00,pass_yds,290,,,,,
player,201209230den,htx,SchaMa00,pass_td,4,,,,,
player,201209230den,htx,SchaMa00,pass_int,1,,,,,
player,201209230den,htx,SchaMa00,pass_sacked,1,,,,,
player,201209230den,htx,SchaMa00,pass_sacked_yds,6,,,,,
player,201209230den,htx,SchaMa00,pass_long,60,,,,,
player,201209230den,htx,SchaMa00,pass_rating,115.3,,,,,
player,201209230den,htx,SchaMa00,rush_att,0,,,,,
player,201209230den,htx,SchaMa00,rush_yds,0,,,,,
player,201209230den,htx,SchaMa00,rush_td,0,,,,,
player,201209230den,htx,SchaMa00,rush_long,0,,,,,
player,201209230den,htx,SchaMa00,targets,0,,,,,
player,201209230den,htx,SchaMa00,rec,0,,,,,
player,201209230den,htx,SchaMa00,rec_yds,0,,,,,
player,201209230den,htx,SchaMa00,rec_td,0,,,,,
player,201209230den,htx,SchaMa00,rec_long,0,,,,,
player,201209230den,htx,SchaMa00,fumbles,0,,,,,
player,201209230den,htx,SchaMa00,fumbles_lost,0,,,,,
player,201209230den,htx,FostAr00,pass_cmp,0,,,,,
player,201209230den,htx,FostAr00,pass_att,0,,,,,
player,201209230den,htx,FostAr00,pass_yds,0,,,,,
player,201209230den,htx,FostAr00,pass_td,0,,,,,
player,201209230den,htx,FostAr00,pass_int,0,,,,,
player,201209230den,htx,FostAr00,pass_sacked,0,,,,,
player,201209230den,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201209230den,htx,FostAr00,pass_long,0,,,,,
player,201209230den,htx,FostAr00,pass_rating,,,,,,
player,201209230den,htx,FostAr00,rush_att,25,,,,,
player,201209230den,htx,FostAr00,rush_yds,105,,,,,
player,201209230den,htx,FostAr00,rush_td,0,,,,,
player,201209230den,htx,FostAr00,rush_long,22,,,,,
player,201209230den,htx,FostAr00,targets,1,,,,,
player,201209230den,htx,FostAr00,rec,1,,,,,
player,201209230den,htx,FostAr00,rec_yds,3,,,,,
player,201209230den,htx,FostAr00,rec_td,1,,,,,
player,201209230den,htx,FostAr00,rec_long,3,,,,,
player,201209230den,htx,FostAr00,fumbles,0,,,,,
player,201209230den,htx,FostAr00,fumbles_lost,0,,,,,
player,201209230den,htx,TateBe00,pass_cmp,0,,,,,
player,201209230den,htx,TateBe00,pass_att,0,,,,,
player,201209230den,htx,TateBe00,pass_yds,0,,,,,
player,201209230den,htx,TateBe00,pass_td,0,,,,,
player,201209230den,htx,TateBe00,pass_int,0,,,,,
player,201209230den,htx,TateBe00,pass_sacked,0,,,,,
player,201209230den,htx,TateBe00,pass_sacked_yds,0,,,,,
player,201209230den,htx,TateBe00,pass_long,0,,,,,
player,201209230den,htx,TateBe00,pass_rating,,,,,,
player,201209230den,htx,TateBe00,rush_att,8,,,,,
player,201209230den,htx,TateBe00,rush_yds,26,,,,,
player,201209230den,htx,TateBe00,rush_td,0,,,,,
player,201209230den,htx,TateBe00,rush_long,9,,,,,
player,201209230den,htx,TateBe00,targets,0,,,,,
player,201209230den,htx,TateBe00,rec,0,,,,,
player,201209230den,htx,TateBe00,rec_yds,0,,,,,
player,201209230den,htx,TateBe00,rec_td,0,,,,,
player,201209230den,htx,TateBe00,rec_long,0,,,,,
player,201209230den,htx,TateBe00,fumbles,1,,,,,
player,201209230den,htx,TateBe00,fumbles_lost,1,,,,,
player,201209230den,htx,MartKe01,pass_cmp,0,,,,,
player,201209230den,htx,MartKe01,pass_att,0,,,,,
player,201209230den,htx,MartKe01,pass_yds,0,,,,,
player,201209230den,htx,MartKe01,pass_td,0,,,,,
player,201209230den,htx,MartKe01,pass_int,0,,,,,
player,201209230den,htx,MartKe01,pass_sacked,0,,,,,
player,201209230den,htx,MartKe01,pass_sacked_yds,0,,,,,
player,201209230den,htx,MartKe01,pass_long,0,,,,,
player,201209230den,htx,MartKe01,pass_rating,,,,,,
player,201209230den,htx,MartKe01,rush_att,1,,,,,
player,201209230den,htx,MartKe01,rush_yds,21,,,,,
player,201209230den,htx,MartKe01,rush_td,0,,,,,
player,201209230den,htx,MartKe01,rush_long,21,,,,,
player,201209230den,htx,MartKe01,targets,4,,,,,
player,201209230den,htx,MartKe01,rec,2,,,,,
player,201209230den,htx,MartKe01,rec_yds,20,,,,,
player,201209230den,htx,MartKe01,rec_td,0,,,,,
player,201209230den,htx,MartKe01,rec_long,18,,,,,
player,201209230den,htx,MartKe01,fumbles,0,,,,,
player,201209230den,htx,MartKe01,fumbles_lost,0,,,,,
player,201209230den,htx,WaltKe00,pass_cmp,0,,,,,
player,201209230den,htx,WaltKe00,pass_att,0,,,,,
player,201209230den,htx,WaltKe00,pass_yds,0,,,,,
player,201209230den,htx,WaltKe00,pass_td,0,,,,,
player,201209230den,htx,WaltKe00,pass_int,0,,,,,
player,201209230den,htx,WaltKe00,pass_sacked,0,,,,,
player,201209230den,htx,WaltKe00,pass_sacked_yds,0,,,,,
player,201209230den,htx,WaltKe00,pass_long,0,,,,,
player,201209230den,htx,WaltKe00,pass_rating,,,,,,
player,201209230den,htx,WaltKe00,rush_att,0,,,,,
player,201209230den,htx,WaltKe00,rush_yds,0,,,,,
player,201209230den,htx,WaltKe00,rush_td,0,,,,,
player,201209230den,htx,WaltKe00,rush_long,0,,,,,
player,201209230den,htx,WaltKe00,targets,6,,,,,
player,201209230den,htx,WaltKe00,rec,3,,,,,
player,201209230den,htx,WaltKe00,rec_yds,73,,,,,
player,201209230den,htx,WaltKe00,rec_td,1,,,,,
player,201209230den,htx,WaltKe00,rec_long,52,,,,,
player,201209230den,htx,WaltKe00,fumbles,0,,,,,
player,201209230den,htx,WaltKe00,fumbles_lost,0,,,,,
player,201209230den,htx,JohnAn02,pass_cmp,0,,,,,
player,201209230den,htx,JohnAn02,pass_att,0,,,,,
player,201209230den,htx,JohnAn02,pass_yds,0,,,,,
player,201209230den,htx,JohnAn02,pass_td,0,,,,,
player,201209230den,htx,JohnAn02,pass_int,0,,,,,
player,201209230den,htx,JohnAn02,pass_sacked,0,,,,,
player,201209230den,htx,JohnAn02,pass_sacked_yds,0,,,,,
player,201209230den,htx,JohnAn02,pass_long,0,,,,,
player,201209230den,htx,JohnAn02,pass_rating,,,,,,
player,201209230den,htx,JohnAn02,rush_att,0,,,,,
