game,2012,15,20121216,201212160nwe,sfo,"San Francisco 49ers",41,nwe,"New England Patriots",34
team,201212160nwe,sfo,First Downs,19,,,,,,
team,201212160nwe,nwe,First Downs,32,,,,,,
team,201212160nwe,sfo,Rush-Yds-TDs,39-180-0,,,,,,
team,201212160nwe,nwe,Rush-Yds-TDs,24-95-3,,,,,,
team,201212160nwe,sfo,Cmp-Att-Yd-TD-INT,14-25-221-4-1,,,,,,
team,201212160nwe,nwe,Cmp-Att-Yd-TD-INT,36-65-443-1-2,,,,,,
team,201212160nwe,sfo,Sacked-Yards,1-13,,,,,,
team,201212160nwe,nwe,Sacked-Yards,3-18,,,,,,
team,201212160nwe,sfo,Net Pass Yards,208,,,,,,
team,201212160nwe,nwe,Net Pass Yards,425,,,,,,
team,201212160nwe,sfo,Total Yards,388,,,,,,
team,201212160nwe,nwe,Total Yards,520,,,,,,
team,201212160nwe,sfo,Fumbles-Lost,6-1,,,,,,
team,201212160nwe,nwe,Fumbles-Lost,2-2,,,,,,
team,201212160nwe,sfo,Turnovers,2,,,,,,
team,201212160nwe,nwe,Turnovers,4,,,,,,
team,201212160nwe,sfo,Penalties-Yards,6-88,,,,,,
team,201212160nwe,nwe,Penalties-Yards,8-73,,,,,,
team,201212160nwe,sfo,Third Down Conv.,5-14,,,,,,
team,201212160nwe,nwe,Third Down Conv.,2-15,,,,,,
team,201212160nwe,sfo,Fourth Down Conv.,1-2,,,,,,
team,201212160nwe,nwe,Fourth Down Conv.,5-6,,,,,,
team,201212160nwe,sfo,Time of Possession,30:13,,,,,,
team,201212160nwe,nwe,Time of Possession,29:47,,,,,,
player,201212160nwe,sfo,KaepCo00,pass_cmp,14,,,,,
player,201212160nwe,sfo,KaepCo00,pass_att,25,,,,,
player,201212160nwe,sfo,KaepCo00,pass_yds,221,,,,,
player,201212160nwe,sfo,KaepCo00,pass_td,4,,,,,
player,201212160nwe,sfo,KaepCo00,pass_int,1,,,,,
player,201212160nwe,sfo,KaepCo00,pass_sacked,1,,,,,
player,201212160nwe,sfo,KaepCo00,pass_sacked_yds,13,,,,,
player,201212160nwe,sfo,KaepCo00,pass_long,38,,,,,
player,201212160nwe,sfo,KaepCo00,pass_rating,108.5,,,,,
player,201212160nwe,sfo,KaepCo00,rush_att,7,,,,,
player,201212160nwe,sfo,KaepCo00,rush_yds,28,,,,,
player,201212160nwe,sfo,KaepCo00,rush_td,0,,,,,
player,201212160nwe,sfo,KaepCo00,rush_long,19,,,,,
player,201212160nwe,sfo,KaepCo00,targets,0,,,,,
player,201212160nwe,sfo,KaepCo00,rec,0,,,,,
player,201212160nwe,sfo,KaepCo00,rec_yds,0,,,,,
player,201212160nwe,sfo,KaepCo00,rec_td,0,,,,,
player,201212160nwe,sfo,KaepCo00,rec_long,0,,,,,
player,201212160nwe,sfo,KaepCo00,fumbles,4,,,,,
player,201212160nwe,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_cmp,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_att,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_yds,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_td,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_int,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_sacked,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_long,0,,,,,
player,201212160nwe,sfo,GoreFr00,pass_rating,,,,,,
player,201212160nwe,sfo,GoreFr00,rush_att,21,,,,,
player,201212160nwe,sfo,GoreFr00,rush_yds,83,,,,,
player,201212160nwe,sfo,GoreFr00,rush_td,0,,,,,
player,201212160nwe,sfo,GoreFr00,rush_long,15,,,,,
player,201212160nwe,sfo,GoreFr00,targets,2,,,,,
player,201212160nwe,sfo,GoreFr00,rec,2,,,,,
player,201212160nwe,sfo,GoreFr00,rec_yds,34,,,,,
player,201212160nwe,sfo,GoreFr00,rec_td,0,,,,,
player,201212160nwe,sfo,GoreFr00,rec_long,26,,,,,
player,201212160nwe,sfo,GoreFr00,fumbles,0,,,,,
player,201212160nwe,sfo,GoreFr00,fumbles_lost,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_cmp,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_att,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_yds,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_td,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_int,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_sacked,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_long,0,,,,,
player,201212160nwe,sfo,JameLa00,pass_rating,,,,,,
player,201212160nwe,sfo,JameLa00,rush_att,8,,,,,
player,201212160nwe,sfo,JameLa00,rush_yds,31,,,,,
player,201212160nwe,sfo,JameLa00,rush_td,0,,,,,
player,201212160nwe,sfo,JameLa00,rush_long,17,,,,,
player,201212160nwe,sfo,JameLa00,targets,2,,,,,
player,201212160nwe,sfo,JameLa00,rec,0,,,,,
player,201212160nwe,sfo,JameLa00,rec_yds,0,,,,,
player,201212160nwe,sfo,JameLa00,rec_td,0,,,,,
player,201212160nwe,sfo,JameLa00,rec_long,0,,,,,
player,201212160nwe,sfo,JameLa00,fumbles,0,,,,,
player,201212160nwe,sfo,JameLa00,fumbles_lost,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_cmp,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_att,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_yds,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_td,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_int,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_sacked,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_long,0,,,,,
player,201212160nwe,sfo,GoldDa99,pass_rating,,,,,,
player,201212160nwe,sfo,GoldDa99,rush_att,1,,,,,
player,201212160nwe,sfo,GoldDa99,rush_yds,31,,,,,
player,201212160nwe,sfo,GoldDa99,rush_td,0,,,,,
player,201212160nwe,sfo,GoldDa99,rush_long,31,,,,,
player,201212160nwe,sfo,GoldDa99,targets,0,,,,,
player,201212160nwe,sfo,GoldDa99,rec,0,,,,,
player,201212160nwe,sfo,GoldDa99,rec_yds,0,,,,,
player,201212160nwe,sfo,GoldDa99,rec_td,0,,,,,
player,201212160nwe,sfo,GoldDa99,rec_long,0,,,,,
player,201212160nwe,sfo,GoldDa99,fumbles,0,,,,,
player,201212160nwe,sfo,GoldDa99,fumbles_lost,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_cmp,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_att,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_yds,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_td,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_int,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_sacked,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_long,0,,,,,
player,201212160nwe,sfo,DixoAn00,pass_rating,,,,,,
player,201212160nwe,sfo,DixoAn00,rush_att,2,,,,,
player,201212160nwe,sfo,DixoAn00,rush_yds,7,,,,,
player,201212160nwe,sfo,DixoAn00,rush_td,0,,,,,
player,201212160nwe,sfo,DixoAn00,rush_long,5,,,,,
player,201212160nwe,sfo,DixoAn00,targets,0,,,,,
player,201212160nwe,sfo,DixoAn00,rec,0,,,,,
player,201212160nwe,sfo,DixoAn00,rec_yds,0,,,,,
player,201212160nwe,sfo,DixoAn00,rec_td,0,,,,,
player,201212160nwe,sfo,DixoAn00,rec_long,0,,,,,
player,201212160nwe,sfo,DixoAn00,fumbles,0,,,,,
player,201212160nwe,sfo,DixoAn00,fumbles_lost,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_cmp,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_att,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_yds,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_td,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_int,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_sacked,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_long,0,,,,,
player,201212160nwe,sfo,CrabMi00,pass_rating,,,,,,
player,201212160nwe,sfo,CrabMi00,rush_att,0,,,,,
player,201212160nwe,sfo,CrabMi00,rush_yds,0,,,,,
player,201212160nwe,sfo,CrabMi00,rush_td,0,,,,,
player,201212160nwe,sfo,CrabMi00,rush_long,0,,,,,
player,201212160nwe,sfo,CrabMi00,targets,12,,,,,
player,201212160nwe,sfo,CrabMi00,rec,7,,,,,
player,201212160nwe,sfo,CrabMi00,rec_yds,107,,,,,
player,201212160nwe,sfo,CrabMi00,rec_td,2,,,,,
player,201212160nwe,sfo,CrabMi00,rec_long,38,,,,,
player,201212160nwe,sfo,CrabMi00,fumbles,0,,,,,
player,201212160nwe,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_cmp,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_att,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_yds,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_td,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_int,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_sacked,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_sacked_yds,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_long,0,,,,,
player,201212160nwe,sfo,MossRa00,pass_rating,,,,,,
player,201212160nwe,sfo,MossRa00,rush_att,0,,,,,
player,201212160nwe,sfo,MossRa00,rush_yds,0,,,,,
player,201212160nwe,sfo,MossRa00,rush_td,0,,,,,
