game,2012,4,20120930,201209300det,min,"Minnesota Vikings",20,det,"Detroit Lions",13
team,201209300det,min,First Downs,15,,,,,,
team,201209300det,det,First Downs,23,,,,,,
team,201209300det,min,Rush-Yds-TDs,28-127-0,,,,,,
team,201209300det,det,Rush-Yds-TDs,20-55-1,,,,,,
team,201209300det,min,Cmp-Att-Yd-TD-INT,16-26-111-0-0,,,,,,
team,201209300det,det,Cmp-Att-Yd-TD-INT,30-51-319-0-0,,,,,,
team,201209300det,min,Sacked-Yards,2-11,,,,,,
team,201209300det,det,Sacked-Yards,5-33,,,,,,
team,201209300det,min,Net Pass Yards,100,,,,,,
team,201209300det,det,Net Pass Yards,286,,,,,,
team,201209300det,min,Total Yards,227,,,,,,
team,201209300det,det,Total Yards,341,,,,,,
team,201209300det,min,Fumbles-Lost,0-0,,,,,,
team,201209300det,det,Fumbles-Lost,1-1,,,,,,
team,201209300det,min,Turnovers,0,,,,,,
team,201209300det,det,Turnovers,1,,,,,,
team,201209300det,min,Penalties-Yards,5-87,,,,,,
team,201209300det,det,Penalties-Yards,5-72,,,,,,
team,201209300det,min,Third Down Conv.,3-12,,,,,,
team,201209300det,det,Third Down Conv.,6-16,,,,,,
team,201209300det,min,Fourth Down Conv.,0-0,,,,,,
team,201209300det,det,Fourth Down Conv.,1-3,,,,,,
team,201209300det,min,Time of Possession,29:18,,,,,,
team,201209300det,det,Time of Possession,30:42,,,,,,
player,201209300det,min,PondCh00,pass_cmp,16,,,,,
player,201209300det,min,PondCh00,pass_att,26,,,,,
player,201209300det,min,PondCh00,pass_yds,111,,,,,
player,201209300det,min,PondCh00,pass_td,0,,,,,
player,201209300det,min,PondCh00,pass_int,0,,,,,
player,201209300det,min,PondCh00,pass_sacked,2,,,,,
player,201209300det,min,PondCh00,pass_sacked_yds,11,,,,,
player,201209300det,min,PondCh00,pass_long,27,,,,,
player,201209300det,min,PondCh00,pass_rating,71.2,,,,,
player,201209300det,min,PondCh00,rush_att,1,,,,,
player,201209300det,min,PondCh00,rush_yds,5,,,,,
player,201209300det,min,PondCh00,rush_td,0,,,,,
player,201209300det,min,PondCh00,rush_long,5,,,,,
player,201209300det,min,PondCh00,targets,0,,,,,
player,201209300det,min,PondCh00,rec,0,,,,,
player,201209300det,min,PondCh00,rec_yds,0,,,,,
player,201209300det,min,PondCh00,rec_td,0,,,,,
player,201209300det,min,PondCh00,rec_long,0,,,,,
player,201209300det,min,PondCh00,fumbles,0,,,,,
player,201209300det,min,PondCh00,fumbles_lost,0,,,,,
player,201209300det,min,PeteAd01,pass_cmp,0,,,,,
player,201209300det,min,PeteAd01,pass_att,0,,,,,
player,201209300det,min,PeteAd01,pass_yds,0,,,,,
player,201209300det,min,PeteAd01,pass_td,0,,,,,
player,201209300det,min,PeteAd01,pass_int,0,,,,,
player,201209300det,min,PeteAd01,pass_sacked,0,,,,,
player,201209300det,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201209300det,min,PeteAd01,pass_long,0,,,,,
player,201209300det,min,PeteAd01,pass_rating,,,,,,
player,201209300det,min,PeteAd01,rush_att,21,,,,,
player,201209300det,min,PeteAd01,rush_yds,102,,,,,
player,201209300det,min,PeteAd01,rush_td,0,,,,,
player,201209300det,min,PeteAd01,rush_long,18,,,,,
player,201209300det,min,PeteAd01,targets,4,,,,,
player,201209300det,min,PeteAd01,rec,4,,,,,
player,201209300det,min,PeteAd01,rec_yds,20,,,,,
player,201209300det,min,PeteAd01,rec_td,0,,,,,
player,201209300det,min,PeteAd01,rec_long,9,,,,,
player,201209300det,min,PeteAd01,fumbles,0,,,,,
player,201209300det,min,PeteAd01,fumbles_lost,0,,,,,
player,201209300det,min,HarvPe00,pass_cmp,0,,,,,
player,201209300det,min,HarvPe00,pass_att,0,,,,,
player,201209300det,min,HarvPe00,pass_yds,0,,,,,
player,201209300det,min,HarvPe00,pass_td,0,,,,,
player,201209300det,min,HarvPe00,pass_int,0,,,,,
player,201209300det,min,HarvPe00,pass_sacked,0,,,,,
player,201209300det,min,HarvPe00,pass_sacked_yds,0,,,,,
player,201209300det,min,HarvPe00,pass_long,0,,,,,
player,201209300det,min,HarvPe00,pass_rating,,,,,,
player,201209300det,min,HarvPe00,rush_att,3,,,,,
player,201209300det,min,HarvPe00,rush_yds,12,,,,,
player,201209300det,min,HarvPe00,rush_td,0,,,,,
player,201209300det,min,HarvPe00,rush_long,14,,,,,
player,201209300det,min,HarvPe00,targets,6,,,,,
player,201209300det,min,HarvPe00,rec,3,,,,,
player,201209300det,min,HarvPe00,rec_yds,22,,,,,
player,201209300det,min,HarvPe00,rec_td,0,,,,,
player,201209300det,min,HarvPe00,rec_long,17,,,,,
player,201209300det,min,HarvPe00,fumbles,0,,,,,
player,201209300det,min,HarvPe00,fumbles_lost,0,,,,,
player,201209300det,min,GerhTo00,pass_cmp,0,,,,,
player,201209300det,min,GerhTo00,pass_att,0,,,,,
player,201209300det,min,GerhTo00,pass_yds,0,,,,,
player,201209300det,min,GerhTo00,pass_td,0,,,,,
player,201209300det,min,GerhTo00,pass_int,0,,,,,
player,201209300det,min,GerhTo00,pass_sacked,0,,,,,
player,201209300det,min,GerhTo00,pass_sacked_yds,0,,,,,
player,201209300det,min,GerhTo00,pass_long,0,,,,,
player,201209300det,min,GerhTo00,pass_rating,,,,,,
player,201209300det,min,GerhTo00,rush_att,3,,,,,
player,201209300det,min,GerhTo00,rush_yds,8,,,,,
player,201209300det,min,GerhTo00,rush_td,0,,,,,
player,201209300det,min,GerhTo00,rush_long,4,,,,,
player,201209300det,min,GerhTo00,targets,1,,,,,
player,201209300det,min,GerhTo00,rec,1,,,,,
player,201209300det,min,GerhTo00,rec_yds,8,,,,,
player,201209300det,min,GerhTo00,rec_td,0,,,,,
player,201209300det,min,GerhTo00,rec_long,8,,,,,
player,201209300det,min,GerhTo00,fumbles,0,,,,,
player,201209300det,min,GerhTo00,fumbles_lost,0,,,,,
player,201209300det,min,SimpJe00,pass_cmp,0,,,,,
player,201209300det,min,SimpJe00,pass_att,0,,,,,
player,201209300det,min,SimpJe00,pass_yds,0,,,,,
player,201209300det,min,SimpJe00,pass_td,0,,,,,
player,201209300det,min,SimpJe00,pass_int,0,,,,,
player,201209300det,min,SimpJe00,pass_sacked,0,,,,,
player,201209300det,min,SimpJe00,pass_sacked_yds,0,,,,,
player,201209300det,min,SimpJe00,pass_long,0,,,,,
player,201209300det,min,SimpJe00,pass_rating,,,,,,
player,201209300det,min,SimpJe00,rush_att,0,,,,,
player,201209300det,min,SimpJe00,rush_yds,0,,,,,
player,201209300det,min,SimpJe00,rush_td,0,,,,,
player,201209300det,min,SimpJe00,rush_long,0,,,,,
player,201209300det,min,SimpJe00,targets,5,,,,,
player,201209300det,min,SimpJe00,rec,4,,,,,
player,201209300det,min,SimpJe00,rec_yds,50,,,,,
player,201209300det,min,SimpJe00,rec_td,0,,,,,
player,201209300det,min,SimpJe00,rec_long,27,,,,,
player,201209300det,min,SimpJe00,fumbles,0,,,,,
player,201209300det,min,SimpJe00,fumbles_lost,0,,,,,
player,201209300det,min,RudoKy00,pass_cmp,0,,,,,
player,201209300det,min,RudoKy00,pass_att,0,,,,,
player,201209300det,min,RudoKy00,pass_yds,0,,,,,
player,201209300det,min,RudoKy00,pass_td,0,,,,,
player,201209300det,min,RudoKy00,pass_int,0,,,,,
player,201209300det,min,RudoKy00,pass_sacked,0,,,,,
player,201209300det,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201209300det,min,RudoKy00,pass_long,0,,,,,
player,201209300det,min,RudoKy00,pass_rating,,,,,,
player,201209300det,min,RudoKy00,rush_att,0,,,,,
player,201209300det,min,RudoKy00,rush_yds,0,,,,,
player,201209300det,min,RudoKy00,rush_td,0,,,,,
player,201209300det,min,RudoKy00,rush_long,0,,,,,
player,201209300det,min,RudoKy00,targets,5,,,,,
player,201209300det,min,RudoKy00,rec,2,,,,,
player,201209300det,min,RudoKy00,rec_yds,8,,,,,
player,201209300det,min,RudoKy00,rec_td,0,,,,,
player,201209300det,min,RudoKy00,rec_long,7,,,,,
player,201209300det,min,RudoKy00,fumbles,0,,,,,
player,201209300det,min,RudoKy00,fumbles_lost,0,,,,,
player,201209300det,min,JenkMi00,pass_cmp,0,,,,,
player,201209300det,min,JenkMi00,pass_att,0,,,,,
player,201209300det,min,JenkMi00,pass_yds,0,,,,,
player,201209300det,min,JenkMi00,pass_td,0,,,,,
player,201209300det,min,JenkMi00,pass_int,0,,,,,
player,201209300det,min,JenkMi00,pass_sacked,0,,,,,
player,201209300det,min,JenkMi00,pass_sacked_yds,0,,,,,
player,201209300det,min,JenkMi00,pass_long,0,,,,,
player,201209300det,min,JenkMi00,pass_rating,,,,,,
player,201209300det,min,JenkMi00,rush_att,0,,,,,
player,201209300det,min,JenkMi00,rush_yds,0,,,,,
player,201209300det,min,JenkMi00,rush_td,0,,,,,
player,201209300det,min,JenkMi00,rush_long,0,,,,,
player,201209300det,min,JenkMi00,targets,4,,,,,
player,201209300det,min,JenkMi00,rec,1,,,,,
player,201209300det,min,JenkMi00,rec_yds,4,,,,,
player,201209300det,min,JenkMi00,rec_td,0,,,,,
player,201209300det,min,JenkMi00,rec_long,4,,,,,
player,201209300det,min,JenkMi00,fumbles,0,,,,,
player,201209300det,min,JenkMi00,fumbles_lost,0,,,,,
player,201209300det,min,CarlJo00,pass_cmp,0,,,,,
player,201209300det,min,CarlJo00,pass_att,0,,,,,
player,201209300det,min,CarlJo00,pass_yds,0,,,,,
player,201209300det,min,CarlJo00,pass_td,0,,,,,
player,201209300det,min,CarlJo00,pass_int,0,,,,,
player,201209300det,min,CarlJo00,pass_sacked,0,,,,,
player,201209300det,min,CarlJo00,pass_sacked_yds,0,,,,,
player,201209300det,min,CarlJo00,pass_long,0,,,,,
player,201209300det,min,CarlJo00,pass_rating,,,,,,
player,201209300det,min,CarlJo00,rush_att,0,,,,,
player,201209300det,min,CarlJo00,rush_yds,0,,,,,
player,201209300det,min,CarlJo00,rush_td,0,,,,,
player,201209300det,min,CarlJo00,rush_long,0,,,,,
player,201209300det,min,CarlJo00,targets,1,,,,,
player,201209300det,min,CarlJo00,rec,1,,,,,
player,201209300det,min,CarlJo00,rec_yds,-1,,,,,
player,201209300det,min,CarlJo00,rec_td,0,,,,,
player,201209300det,min,CarlJo00,rec_long,-1,,,,,
player,201209300det,min,CarlJo00,fumbles,0,,,,,
player,201209300det,min,CarlJo00,fumbles_lost,0,,,,,
player,201209300det,det,StafMa00,pass_cmp,30,,,,,
player,201209300det,det,StafMa00,pass_att,51,,,,,
player,201209300det,det,StafMa00,pass_yds,319,,,,,
player,201209300det,det,StafMa00,pass_td,0,,,,,
player,201209300det,det,StafMa00,pass_int,0,,,,,
player,201209300det,det,StafMa00,pass_sacked,5,,,,,
player,201209300det,det,StafMa00,pass_sacked_yds,33,,,,,
player,201209300det,det,StafMa00,pass_long,26,,,,,
player,201209300det,det,StafMa00,pass_rating,77.2,,,,,
player,201209300det,det,StafMa00,rush_att,4,,,,,
player,201209300det,det,StafMa00,rush_yds,14,,,,,
player,201209300det,det,StafMa00,rush_td,1,,,,,
player,201209300det,det,StafMa00,rush_long,9,,,,,
player,201209300det,det,StafMa00,targets,0,,,,,
player,201209300det,det,StafMa00,rec,0,,,,,
player,201209300det,det,StafMa00,rec_yds,0,,,,,
player,201209300det,det,StafMa00,rec_td,0,,,,,
player,201209300det,det,StafMa00,rec_long,0,,,,,
player,201209300det,det,StafMa00,fumbles,0,,,,,
player,201209300det,det,StafMa00,fumbles_lost,0,,,,,
player,201209300det,det,LeshMi00,pass_cmp,0,,,,,
player,201209300det,det,LeshMi00,pass_att,0,,,,,
player,201209300det,det,LeshMi00,pass_yds,0,,,,,
player,201209300det,det,LeshMi00,pass_td,0,,,,,
player,201209300det,det,LeshMi00,pass_int,0,,,,,
player,201209300det,det,LeshMi00,pass_sacked,0,,,,,
player,201209300det,det,LeshMi00,pass_sacked_yds,0,,,,,
player,201209300det,det,LeshMi00,pass_long,0,,,,,
player,201209300det,det,LeshMi00,pass_rating,,,,,,
player,201209300det,det,LeshMi00,rush_att,13,,,,,
player,201209300det,det,LeshMi00,rush_yds,26,,,,,
player,201209300det,det,LeshMi00,rush_td,0,,,,,
player,201209300det,det,LeshMi00,rush_long,14,,,,,
player,201209300det,det,LeshMi00,targets,5,,,,,
player,201209300det,det,LeshMi00,rec,4,,,,,
player,201209300det,det,LeshMi00,rec_yds,37,,,,,
player,201209300det,det,LeshMi00,rec_td,0,,,,,
player,201209300det,det,LeshMi00,rec_long,15,,,,,
player,201209300det,det,LeshMi00,fumbles,1,,,,,
player,201209300det,det,LeshMi00,fumbles_lost,1,,,,,
player,201209300det,det,BurlNa00,pass_cmp,0,,,,,
player,201209300det,det,BurlNa00,pass_att,0,,,,,
player,201209300det,det,BurlNa00,pass_yds,0,,,,,
player,201209300det,det,BurlNa00,pass_td,0,,,,,
