game,2012,12,20121125,201211250nyg,gnb,"Green Bay Packers",10,nyg,"New York Giants",38
team,201211250nyg,gnb,First Downs,16,,,,,,
team,201211250nyg,nyg,First Downs,23,,,,,,
team,201211250nyg,gnb,Rush-Yds-TDs,26-116-0,,,,,,
team,201211250nyg,nyg,Rush-Yds-TDs,31-147-2,,,,,,
team,201211250nyg,gnb,Cmp-Att-Yd-TD-INT,15-27-230-1-1,,,,,,
team,201211250nyg,nyg,Cmp-Att-Yd-TD-INT,16-30-249-3-0,,,,,,
team,201211250nyg,gnb,Sacked-Yards,5-29,,,,,,
team,201211250nyg,nyg,Sacked-Yards,1-6,,,,,,
team,201211250nyg,gnb,Net Pass Yards,201,,,,,,
team,201211250nyg,nyg,Net Pass Yards,243,,,,,,
team,201211250nyg,gnb,Total Yards,317,,,,,,
team,201211250nyg,nyg,Total Yards,390,,,,,,
team,201211250nyg,gnb,Fumbles-Lost,1-1,,,,,,
team,201211250nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201211250nyg,gnb,Turnovers,2,,,,,,
team,201211250nyg,nyg,Turnovers,0,,,,,,
team,201211250nyg,gnb,Penalties-Yards,8-49,,,,,,
team,201211250nyg,nyg,Penalties-Yards,4-24,,,,,,
team,201211250nyg,gnb,Third Down Conv.,5-12,,,,,,
team,201211250nyg,nyg,Third Down Conv.,6-12,,,,,,
team,201211250nyg,gnb,Fourth Down Conv.,0-1,,,,,,
team,201211250nyg,nyg,Fourth Down Conv.,1-2,,,,,,
team,201211250nyg,gnb,Time of Possession,28:47,,,,,,
team,201211250nyg,nyg,Time of Possession,31:13,,,,,,
player,201211250nyg,gnb,RodgAa00,pass_cmp,14,,,,,
player,201211250nyg,gnb,RodgAa00,pass_att,25,,,,,
player,201211250nyg,gnb,RodgAa00,pass_yds,219,,,,,
player,201211250nyg,gnb,RodgAa00,pass_td,1,,,,,
player,201211250nyg,gnb,RodgAa00,pass_int,1,,,,,
player,201211250nyg,gnb,RodgAa00,pass_sacked,5,,,,,
player,201211250nyg,gnb,RodgAa00,pass_sacked_yds,29,,,,,
player,201211250nyg,gnb,RodgAa00,pass_long,61,,,,,
player,201211250nyg,gnb,RodgAa00,pass_rating,81.9,,,,,
player,201211250nyg,gnb,RodgAa00,rush_att,3,,,,,
player,201211250nyg,gnb,RodgAa00,rush_yds,22,,,,,
player,201211250nyg,gnb,RodgAa00,rush_td,0,,,,,
