game,2012,3,20120923,201209230nor,kan,"Kansas City Chiefs",27,nor,"New Orleans Saints",24
team,201209230nor,kan,First Downs,27,,,,,,
team,201209230nor,nor,First Downs,14,,,,,,
team,201209230nor,kan,Rush-Yds-TDs,45-273-1,,,,,,
team,201209230nor,nor,Rush-Yds-TDs,19-83-0,,,,,,
team,201209230nor,kan,Cmp-Att-Yd-TD-INT,26-44-248-0-1,,,,,,
team,201209230nor,nor,Cmp-Att-Yd-TD-INT,20-36-240-3-1,,,,,,
team,201209230nor,kan,Sacked-Yards,3-11,,,,,,
team,201209230nor,nor,Sacked-Yards,4-35,,,,,,
team,201209230nor,kan,Net Pass Yards,237,,,,,,
team,201209230nor,nor,Net Pass Yards,205,,,,,,
team,201209230nor,kan,Total Yards,510,,,,,,
team,201209230nor,nor,Total Yards,288,,,,,,
team,201209230nor,kan,Fumbles-Lost,2-2,,,,,,
team,201209230nor,nor,Fumbles-Lost,0-0,,,,,,
team,201209230nor,kan,Turnovers,3,,,,,,
team,201209230nor,nor,Turnovers,1,,,,,,
team,201209230nor,kan,Penalties-Yards,6-40,,,,,,
team,201209230nor,nor,Penalties-Yards,4-45,,,,,,
team,201209230nor,kan,Third Down Conv.,7-18,,,,,,
team,201209230nor,nor,Third Down Conv.,5-13,,,,,,
team,201209230nor,kan,Fourth Down Conv.,2-2,,,,,,
team,201209230nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201209230nor,kan,Time of Possession,42:32,,,,,,
team,201209230nor,nor,Time of Possession,26:01,,,,,,
player,201209230nor,kan,CassMa00,pass_cmp,26,,,,,
player,201209230nor,kan,CassMa00,pass_att,44,,,,,
player,201209230nor,kan,CassMa00,pass_yds,248,,,,,
player,201209230nor,kan,CassMa00,pass_td,0,,,,,
player,201209230nor,kan,CassMa00,pass_int,1,,,,,
player,201209230nor,kan,CassMa00,pass_sacked,3,,,,,
player,201209230nor,kan,CassMa00,pass_sacked_yds,11,,,,,
player,201209230nor,kan,CassMa00,pass_long,20,,,,,
player,201209230nor,kan,CassMa00,pass_rating,65.3,,,,,
player,201209230nor,kan,CassMa00,rush_att,1,,,,,
player,201209230nor,kan,CassMa00,rush_yds,2,,,,,
player,201209230nor,kan,CassMa00,rush_td,0,,,,,
player,201209230nor,kan,CassMa00,rush_long,2,,,,,
player,201209230nor,kan,CassMa00,targets,0,,,,,
player,201209230nor,kan,CassMa00,rec,0,,,,,
player,201209230nor,kan,CassMa00,rec_yds,0,,,,,
player,201209230nor,kan,CassMa00,rec_td,0,,,,,
player,201209230nor,kan,CassMa00,rec_long,0,,,,,
player,201209230nor,kan,CassMa00,fumbles,1,,,,,
player,201209230nor,kan,CassMa00,fumbles_lost,1,,,,,
player,201209230nor,kan,CharJa00,pass_cmp,0,,,,,
player,201209230nor,kan,CharJa00,pass_att,0,,,,,
player,201209230nor,kan,CharJa00,pass_yds,0,,,,,
player,201209230nor,kan,CharJa00,pass_td,0,,,,,
player,201209230nor,kan,CharJa00,pass_int,0,,,,,
player,201209230nor,kan,CharJa00,pass_sacked,0,,,,,
player,201209230nor,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201209230nor,kan,CharJa00,pass_long,0,,,,,
player,201209230nor,kan,CharJa00,pass_rating,,,,,,
player,201209230nor,kan,CharJa00,rush_att,33,,,,,
player,201209230nor,kan,CharJa00,rush_yds,233,,,,,
player,201209230nor,kan,CharJa00,rush_td,1,,,,,
player,201209230nor,kan,CharJa00,rush_long,91,,,,,
player,201209230nor,kan,CharJa00,targets,8,,,,,
player,201209230nor,kan,CharJa00,rec,6,,,,,
player,201209230nor,kan,CharJa00,rec_yds,55,,,,,
player,201209230nor,kan,CharJa00,rec_td,0,,,,,
player,201209230nor,kan,CharJa00,rec_long,19,,,,,
player,201209230nor,kan,CharJa00,fumbles,0,,,,,
player,201209230nor,kan,CharJa00,fumbles_lost,0,,,,,
player,201209230nor,kan,DrauSh00,pass_cmp,0,,,,,
player,201209230nor,kan,DrauSh00,pass_att,0,,,,,
player,201209230nor,kan,DrauSh00,pass_yds,0,,,,,
player,201209230nor,kan,DrauSh00,pass_td,0,,,,,
player,201209230nor,kan,DrauSh00,pass_int,0,,,,,
player,201209230nor,kan,DrauSh00,pass_sacked,0,,,,,
player,201209230nor,kan,DrauSh00,pass_sacked_yds,0,,,,,
player,201209230nor,kan,DrauSh00,pass_long,0,,,,,
player,201209230nor,kan,DrauSh00,pass_rating,,,,,,
player,201209230nor,kan,DrauSh00,rush_att,7,,,,,
player,201209230nor,kan,DrauSh00,rush_yds,22,,,,,
player,201209230nor,kan,DrauSh00,rush_td,0,,,,,
