game,2012,6,20121011,201210110oti,pit,"Pittsburgh Steelers",23,oti,"Tennessee Titans",26
team,201210110oti,pit,First Downs,19,,,,,,
team,201210110oti,oti,First Downs,21,,,,,,
team,201210110oti,pit,Rush-Yds-TDs,22-56-1,,,,,,
team,201210110oti,oti,Rush-Yds-TDs,22-94-1,,,,,,
team,201210110oti,pit,Cmp-Att-Yd-TD-INT,24-40-363-1-1,,,,,,
team,201210110oti,oti,Cmp-Att-Yd-TD-INT,25-44-290-1-1,,,,,,
team,201210110oti,pit,Sacked-Yards,1-7,,,,,,
team,201210110oti,oti,Sacked-Yards,3-25,,,,,,
team,201210110oti,pit,Net Pass Yards,356,,,,,,
team,201210110oti,oti,Net Pass Yards,265,,,,,,
team,201210110oti,pit,Total Yards,412,,,,,,
team,201210110oti,oti,Total Yards,359,,,,,,
team,201210110oti,pit,Fumbles-Lost,0-0,,,,,,
team,201210110oti,oti,Fumbles-Lost,2-0,,,,,,
team,201210110oti,pit,Turnovers,1,,,,,,
team,201210110oti,oti,Turnovers,1,,,,,,
team,201210110oti,pit,Penalties-Yards,4-50,,,,,,
team,201210110oti,oti,Penalties-Yards,5-45,,,,,,
team,201210110oti,pit,Third Down Conv.,7-15,,,,,,
team,201210110oti,oti,Third Down Conv.,9-16,,,,,,
team,201210110oti,pit,Fourth Down Conv.,0-0,,,,,,
team,201210110oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201210110oti,pit,Time of Possession,29:57,,,,,,
team,201210110oti,oti,Time of Possession,30:03,,,,,,
player,201210110oti,pit,RoetBe00,pass_cmp,24,,,,,
player,201210110oti,pit,RoetBe00,pass_att,40,,,,,
player,201210110oti,pit,RoetBe00,pass_yds,363,,,,,
player,201210110oti,pit,RoetBe00,pass_td,1,,,,,
player,201210110oti,pit,RoetBe00,pass_int,1,,,,,
player,201210110oti,pit,RoetBe00,pass_sacked,1,,,,,
player,201210110oti,pit,RoetBe00,pass_sacked_yds,7,,,,,
player,201210110oti,pit,RoetBe00,pass_long,82,,,,,
player,201210110oti,pit,RoetBe00,pass_rating,87.8,,,,,
player,201210110oti,pit,RoetBe00,rush_att,1,,,,,
player,201210110oti,pit,RoetBe00,rush_yds,14,,,,,
player,201210110oti,pit,RoetBe00,rush_td,0,,,,,
player,201210110oti,pit,RoetBe00,rush_long,14,,,,,
player,201210110oti,pit,RoetBe00,targets,0,,,,,
player,201210110oti,pit,RoetBe00,rec,0,,,,,
player,201210110oti,pit,RoetBe00,rec_yds,0,,,,,
player,201210110oti,pit,RoetBe00,rec_td,0,,,,,
