game,2012,3,20120923,201209230min,sfo,"San Francisco 49ers",13,min,"Minnesota Vikings",24
team,201209230min,sfo,First Downs,19,,,,,,
team,201209230min,min,First Downs,25,,,,,,
team,201209230min,sfo,Rush-Yds-TDs,20-89-0,,,,,,
team,201209230min,min,Rush-Yds-TDs,41-146-1,,,,,,
team,201209230min,sfo,Cmp-Att-Yd-TD-INT,24-35-204-1-1,,,,,,
team,201209230min,min,Cmp-Att-Yd-TD-INT,21-35-198-2-0,,,,,,
team,201209230min,sfo,Sacked-Yards,3-13,,,,,,
team,201209230min,min,Sacked-Yards,0-0,,,,,,
team,201209230min,sfo,Net Pass Yards,191,,,,,,
team,201209230min,min,Net Pass Yards,198,,,,,,
team,201209230min,sfo,Total Yards,280,,,,,,
team,201209230min,min,Total Yards,344,,,,,,
team,201209230min,sfo,Fumbles-Lost,2-2,,,,,,
team,201209230min,min,Fumbles-Lost,3-2,,,,,,
team,201209230min,sfo,Turnovers,3,,,,,,
team,201209230min,min,Turnovers,2,,,,,,
team,201209230min,sfo,Penalties-Yards,6-60,,,,,,
team,201209230min,min,Penalties-Yards,1-10,,,,,,
team,201209230min,sfo,Third Down Conv.,4-10,,,,,,
team,201209230min,min,Third Down Conv.,7-14,,,,,,
team,201209230min,sfo,Fourth Down Conv.,0-0,,,,,,
team,201209230min,min,Fourth Down Conv.,1-1,,,,,,
team,201209230min,sfo,Time of Possession,26:32,,,,,,
team,201209230min,min,Time of Possession,33:28,,,,,,
player,201209230min,sfo,SmitAl03,pass_cmp,24,,,,,
player,201209230min,sfo,SmitAl03,pass_att,35,,,,,
player,201209230min,sfo,SmitAl03,pass_yds,204,,,,,
player,201209230min,sfo,SmitAl03,pass_td,1,,,,,
player,201209230min,sfo,SmitAl03,pass_int,1,,,,,
player,201209230min,sfo,SmitAl03,pass_sacked,3,,,,,
player,201209230min,sfo,SmitAl03,pass_sacked_yds,13,,,,,
player,201209230min,sfo,SmitAl03,pass_long,22,,,,,
player,201209230min,sfo,SmitAl03,pass_rating,81.1,,,,,
player,201209230min,sfo,SmitAl03,rush_att,4,,,,,
player,201209230min,sfo,SmitAl03,rush_yds,26,,,,,
player,201209230min,sfo,SmitAl03,rush_td,0,,,,,
player,201209230min,sfo,SmitAl03,rush_long,10,,,,,
player,201209230min,sfo,SmitAl03,targets,0,,,,,
player,201209230min,sfo,SmitAl03,rec,0,,,,,
player,201209230min,sfo,SmitAl03,rec_yds,0,,,,,
player,201209230min,sfo,SmitAl03,rec_td,0,,,,,
player,201209230min,sfo,SmitAl03,rec_long,0,,,,,
player,201209230min,sfo,SmitAl03,fumbles,1,,,,,
player,201209230min,sfo,SmitAl03,fumbles_lost,1,,,,,
player,201209230min,sfo,GoreFr00,pass_cmp,0,,,,,
player,201209230min,sfo,GoreFr00,pass_att,0,,,,,
player,201209230min,sfo,GoreFr00,pass_yds,0,,,,,
player,201209230min,sfo,GoreFr00,pass_td,0,,,,,
player,201209230min,sfo,GoreFr00,pass_int,0,,,,,
player,201209230min,sfo,GoreFr00,pass_sacked,0,,,,,
player,201209230min,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201209230min,sfo,GoreFr00,pass_long,0,,,,,
player,201209230min,sfo,GoreFr00,pass_rating,,,,,,
player,201209230min,sfo,GoreFr00,rush_att,12,,,,,
player,201209230min,sfo,GoreFr00,rush_yds,63,,,,,
player,201209230min,sfo,GoreFr00,rush_td,0,,,,,
player,201209230min,sfo,GoreFr00,rush_long,11,,,,,
player,201209230min,sfo,GoreFr00,targets,2,,,,,
player,201209230min,sfo,GoreFr00,rec,1,,,,,
player,201209230min,sfo,GoreFr00,rec_yds,9,,,,,
player,201209230min,sfo,GoreFr00,rec_td,0,,,,,
player,201209230min,sfo,GoreFr00,rec_long,9,,,,,
player,201209230min,sfo,GoreFr00,fumbles,1,,,,,
player,201209230min,sfo,GoreFr00,fumbles_lost,1,,,,,
player,201209230min,sfo,MannMa01,pass_cmp,0,,,,,
player,201209230min,sfo,MannMa01,pass_att,0,,,,,
player,201209230min,sfo,MannMa01,pass_yds,0,,,,,
player,201209230min,sfo,MannMa01,pass_td,0,,,,,
player,201209230min,sfo,MannMa01,pass_int,0,,,,,
player,201209230min,sfo,MannMa01,pass_sacked,0,,,,,
player,201209230min,sfo,MannMa01,pass_sacked_yds,0,,,,,
player,201209230min,sfo,MannMa01,pass_long,0,,,,,
player,201209230min,sfo,MannMa01,pass_rating,,,,,,
player,201209230min,sfo,MannMa01,rush_att,0,,,,,
player,201209230min,sfo,MannMa01,rush_yds,0,,,,,
