game,2012,3,20120923,201209230rav,nwe,"New England Patriots",30,rav,"Baltimore Ravens",31
team,201209230rav,nwe,First Downs,33,,,,,,
team,201209230rav,rav,First Downs,28,,,,,,
team,201209230rav,nwe,Rush-Yds-TDs,34-77-2,,,,,,
team,201209230rav,rav,Rush-Yds-TDs,26-121-1,,,,,,
team,201209230rav,nwe,Cmp-Att-Yd-TD-INT,28-41-335-1-0,,,,,,
team,201209230rav,rav,Cmp-Att-Yd-TD-INT,28-39-382-3-1,,,,,,
team,201209230rav,nwe,Sacked-Yards,2-16,,,,,,
team,201209230rav,rav,Sacked-Yards,0-0,,,,,,
team,201209230rav,nwe,Net Pass Yards,319,,,,,,
team,201209230rav,rav,Net Pass Yards,382,,,,,,
team,201209230rav,nwe,Total Yards,396,,,,,,
team,201209230rav,rav,Total Yards,503,,,,,,
team,201209230rav,nwe,Fumbles-Lost,1-0,,,,,,
team,201209230rav,rav,Fumbles-Lost,1-0,,,,,,
team,201209230rav,nwe,Turnovers,0,,,,,,
team,201209230rav,rav,Turnovers,1,,,,,,
team,201209230rav,nwe,Penalties-Yards,10-83,,,,,,
team,201209230rav,rav,Penalties-Yards,14-135,,,,,,
team,201209230rav,nwe,Third Down Conv.,7-15,,,,,,
team,201209230rav,rav,Third Down Conv.,4-8,,,,,,
team,201209230rav,nwe,Fourth Down Conv.,0-0,,,,,,
team,201209230rav,rav,Fourth Down Conv.,0-1,,,,,,
team,201209230rav,nwe,Time of Possession,31:03,,,,,,
team,201209230rav,rav,Time of Possession,28:57,,,,,,
player,201209230rav,nwe,BradTo00,pass_cmp,28,,,,,
player,201209230rav,nwe,BradTo00,pass_att,41,,,,,
player,201209230rav,nwe,BradTo00,pass_yds,335,,,,,
player,201209230rav,nwe,BradTo00,pass_td,1,,,,,
player,201209230rav,nwe,BradTo00,pass_int,0,,,,,
player,201209230rav,nwe,BradTo00,pass_sacked,2,,,,,
player,201209230rav,nwe,BradTo00,pass_sacked_yds,16,,,,,
player,201209230rav,nwe,BradTo00,pass_long,59,,,,,
player,201209230rav,nwe,BradTo00,pass_rating,101.2,,,,,
player,201209230rav,nwe,BradTo00,rush_att,2,,,,,
player,201209230rav,nwe,BradTo00,rush_yds,7,,,,,
player,201209230rav,nwe,BradTo00,rush_td,0,,,,,
player,201209230rav,nwe,BradTo00,rush_long,7,,,,,
player,201209230rav,nwe,BradTo00,targets,0,,,,,
player,201209230rav,nwe,BradTo00,rec,0,,,,,
player,201209230rav,nwe,BradTo00,rec_yds,0,,,,,
player,201209230rav,nwe,BradTo00,rec_td,0,,,,,
player,201209230rav,nwe,BradTo00,rec_long,0,,,,,
player,201209230rav,nwe,BradTo00,fumbles,1,,,,,
player,201209230rav,nwe,BradTo00,fumbles_lost,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_cmp,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_att,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_yds,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_td,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_int,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_sacked,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_long,0,,,,,
player,201209230rav,nwe,RidlSt00,pass_rating,,,,,,
player,201209230rav,nwe,RidlSt00,rush_att,13,,,,,
player,201209230rav,nwe,RidlSt00,rush_yds,37,,,,,
player,201209230rav,nwe,RidlSt00,rush_td,0,,,,,
player,201209230rav,nwe,RidlSt00,rush_long,14,,,,,
player,201209230rav,nwe,RidlSt00,targets,1,,,,,
player,201209230rav,nwe,RidlSt00,rec,0,,,,,
player,201209230rav,nwe,RidlSt00,rec_yds,0,,,,,
player,201209230rav,nwe,RidlSt00,rec_td,0,,,,,
player,201209230rav,nwe,RidlSt00,rec_long,0,,,,,
player,201209230rav,nwe,RidlSt00,fumbles,0,,,,,
player,201209230rav,nwe,RidlSt00,fumbles_lost,0,,,,,
player,201209230rav,nwe,WoodDa02,pass_cmp,0,,,,,
player,201209230rav,nwe,WoodDa02,pass_att,0,,,,,
player,201209230rav,nwe,WoodDa02,pass_yds,0,,,,,
player,201209230rav,nwe,WoodDa02,pass_td,0,,,,,
player,201209230rav,nwe,WoodDa02,pass_int,0,,,,,
player,201209230rav,nwe,WoodDa02,pass_sacked,0,,,,,
player,201209230rav,nwe,WoodDa02,pass_sacked_yds,0,,,,,
