game,2012,1,20120909,201209090cle,phi,"Philadelphia Eagles",17,cle,"Cleveland Browns",16
team,201209090cle,phi,First Downs,25,,,,,,
team,201209090cle,cle,First Downs,12,,,,,,
team,201209090cle,phi,Rush-Yds-TDs,30-150-0,,,,,,
team,201209090cle,cle,Rush-Yds-TDs,22-99-0,,,,,,
team,201209090cle,phi,Cmp-Att-Yd-TD-INT,29-56-317-2-4,,,,,,
team,201209090cle,cle,Cmp-Att-Yd-TD-INT,12-35-118-0-4,,,,,,
team,201209090cle,phi,Sacked-Yards,2-11,,,,,,
team,201209090cle,cle,Sacked-Yards,2-7,,,,,,
team,201209090cle,phi,Net Pass Yards,306,,,,,,
team,201209090cle,cle,Net Pass Yards,111,,,,,,
team,201209090cle,phi,Total Yards,456,,,,,,
team,201209090cle,cle,Total Yards,210,,,,,,
team,201209090cle,phi,Fumbles-Lost,3-1,,,,,,
team,201209090cle,cle,Fumbles-Lost,2-0,,,,,,
team,201209090cle,phi,Turnovers,5,,,,,,
team,201209090cle,cle,Turnovers,4,,,,,,
team,201209090cle,phi,Penalties-Yards,12-110,,,,,,
team,201209090cle,cle,Penalties-Yards,3-35,,,,,,
team,201209090cle,phi,Third Down Conv.,8-19,,,,,,
team,201209090cle,cle,Third Down Conv.,2-13,,,,,,
team,201209090cle,phi,Fourth Down Conv.,1-1,,,,,,
team,201209090cle,cle,Fourth Down Conv.,0-0,,,,,,
team,201209090cle,phi,Time of Possession,35:58,,,,,,
team,201209090cle,cle,Time of Possession,24:02,,,,,,
player,201209090cle,phi,VickMi00,pass_cmp,29,,,,,
player,201209090cle,phi,VickMi00,pass_att,56,,,,,
player,201209090cle,phi,VickMi00,pass_yds,317,,,,,
player,201209090cle,phi,VickMi00,pass_td,2,,,,,
player,201209090cle,phi,VickMi00,pass_int,4,,,,,
player,201209090cle,phi,VickMi00,pass_sacked,2,,,,,
player,201209090cle,phi,VickMi00,pass_sacked_yds,11,,,,,
player,201209090cle,phi,VickMi00,pass_long,46,,,,,
player,201209090cle,phi,VickMi00,pass_rating,51.0,,,,,
player,201209090cle,phi,VickMi00,rush_att,7,,,,,
player,201209090cle,phi,VickMi00,rush_yds,32,,,,,
player,201209090cle,phi,VickMi00,rush_td,0,,,,,
player,201209090cle,phi,VickMi00,rush_long,16,,,,,
player,201209090cle,phi,VickMi00,targets,0,,,,,
player,201209090cle,phi,VickMi00,rec,0,,,,,
player,201209090cle,phi,VickMi00,rec_yds,0,,,,,
player,201209090cle,phi,VickMi00,rec_td,0,,,,,
player,201209090cle,phi,VickMi00,rec_long,0,,,,,
player,201209090cle,phi,VickMi00,fumbles,2,,,,,
player,201209090cle,phi,VickMi00,fumbles_lost,0,,,,,
player,201209090cle,phi,McCoLe01,pass_cmp,0,,,,,
