game,2012,4,20120930,201209300kan,sdg,"San Diego Chargers",37,kan,"Kansas City Chiefs",20
team,201209300kan,sdg,First Downs,19,,,,,,
team,201209300kan,kan,First Downs,25,,,,,,
team,201209300kan,sdg,Rush-Yds-TDs,34-104-1,,,,,,
team,201209300kan,kan,Rush-Yds-TDs,22-115-1,,,,,,
team,201209300kan,sdg,Cmp-Att-Yd-TD-INT,18-23-209-2-1,,,,,,
team,201209300kan,kan,Cmp-Att-Yd-TD-INT,24-42-251-2-3,,,,,,
team,201209300kan,sdg,Sacked-Yards,3-20,,,,,,
team,201209300kan,kan,Sacked-Yards,2-17,,,,,,
team,201209300kan,sdg,Net Pass Yards,189,,,,,,
team,201209300kan,kan,Net Pass Yards,234,,,,,,
team,201209300kan,sdg,Total Yards,293,,,,,,
team,201209300kan,kan,Total Yards,349,,,,,,
team,201209300kan,sdg,Fumbles-Lost,2-0,,,,,,
team,201209300kan,kan,Fumbles-Lost,4-3,,,,,,
team,201209300kan,sdg,Turnovers,1,,,,,,
team,201209300kan,kan,Turnovers,6,,,,,,
team,201209300kan,sdg,Penalties-Yards,7-75,,,,,,
team,201209300kan,kan,Penalties-Yards,9-80,,,,,,
team,201209300kan,sdg,Third Down Conv.,3-12,,,,,,
team,201209300kan,kan,Third Down Conv.,4-10,,,,,,
team,201209300kan,sdg,Fourth Down Conv.,0-0,,,,,,
team,201209300kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201209300kan,sdg,Time of Possession,33:52,,,,,,
team,201209300kan,kan,Time of Possession,26:08,,,,,,
player,201209300kan,sdg,RivePh00,pass_cmp,18,,,,,
player,201209300kan,sdg,RivePh00,pass_att,23,,,,,
player,201209300kan,sdg,RivePh00,pass_yds,209,,,,,
player,201209300kan,sdg,RivePh00,pass_td,2,,,,,
player,201209300kan,sdg,RivePh00,pass_int,1,,,,,
player,201209300kan,sdg,RivePh00,pass_sacked,3,,,,,
player,201209300kan,sdg,RivePh00,pass_sacked_yds,20,,,,,
player,201209300kan,sdg,RivePh00,pass_long,33,,,,,
player,201209300kan,sdg,RivePh00,pass_rating,115.4,,,,,
player,201209300kan,sdg,RivePh00,rush_att,3,,,,,
player,201209300kan,sdg,RivePh00,rush_yds,0,,,,,
player,201209300kan,sdg,RivePh00,rush_td,0,,,,,
player,201209300kan,sdg,RivePh00,rush_long,1,,,,,
player,201209300kan,sdg,RivePh00,targets,0,,,,,
player,201209300kan,sdg,RivePh00,rec,0,,,,,
player,201209300kan,sdg,RivePh00,rec_yds,0,,,,,
player,201209300kan,sdg,RivePh00,rec_td,0,,,,,
player,201209300kan,sdg,RivePh00,rec_long,0,,,,,
player,201209300kan,sdg,RivePh00,fumbles,1,,,,,
player,201209300kan,sdg,RivePh00,fumbles_lost,0,,,,,
player,201209300kan,sdg,MathRy00,pass_cmp,0,,,,,
player,201209300kan,sdg,MathRy00,pass_att,0,,,,,
player,201209300kan,sdg,MathRy00,pass_yds,0,,,,,
player,201209300kan,sdg,MathRy00,pass_td,0,,,,,
player,201209300kan,sdg,MathRy00,pass_int,0,,,,,
player,201209300kan,sdg,MathRy00,pass_sacked,0,,,,,
player,201209300kan,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201209300kan,sdg,MathRy00,pass_long,0,,,,,
player,201209300kan,sdg,MathRy00,pass_rating,,,,,,
player,201209300kan,sdg,MathRy00,rush_att,14,,,,,
player,201209300kan,sdg,MathRy00,rush_yds,61,,,,,
player,201209300kan,sdg,MathRy00,rush_td,0,,,,,
player,201209300kan,sdg,MathRy00,rush_long,14,,,,,
player,201209300kan,sdg,MathRy00,targets,2,,,,,
player,201209300kan,sdg,MathRy00,rec,2,,,,,
player,201209300kan,sdg,MathRy00,rec_yds,21,,,,,
player,201209300kan,sdg,MathRy00,rec_td,0,,,,,
player,201209300kan,sdg,MathRy00,rec_long,13,,,,,
player,201209300kan,sdg,MathRy00,fumbles,0,,,,,
player,201209300kan,sdg,MathRy00,fumbles_lost,0,,,,,
player,201209300kan,sdg,BattJa00,pass_cmp,0,,,,,
player,201209300kan,sdg,BattJa00,pass_att,0,,,,,
player,201209300kan,sdg,BattJa00,pass_yds,0,,,,,
player,201209300kan,sdg,BattJa00,pass_td,0,,,,,
player,201209300kan,sdg,BattJa00,pass_int,0,,,,,
player,201209300kan,sdg,BattJa00,pass_sacked,0,,,,,
player,201209300kan,sdg,BattJa00,pass_sacked_yds,0,,,,,
player,201209300kan,sdg,BattJa00,pass_long,0,,,,,
player,201209300kan,sdg,BattJa00,pass_rating,,,,,,
player,201209300kan,sdg,BattJa00,rush_att,15,,,,,
player,201209300kan,sdg,BattJa00,rush_yds,39,,,,,
player,201209300kan,sdg,BattJa00,rush_td,1,,,,,
player,201209300kan,sdg,BattJa00,rush_long,12,,,,,
player,201209300kan,sdg,BattJa00,targets,4,,,,,
player,201209300kan,sdg,BattJa00,rec,4,,,,,
player,201209300kan,sdg,BattJa00,rec_yds,42,,,,,
player,201209300kan,sdg,BattJa00,rec_td,1,,,,,
player,201209300kan,sdg,BattJa00,rec_long,18,,,,,
player,201209300kan,sdg,BattJa00,fumbles,0,,,,,
player,201209300kan,sdg,BattJa00,fumbles_lost,0,,,,,
player,201209300kan,sdg,McClLe00,pass_cmp,0,,,,,
player,201209300kan,sdg,McClLe00,pass_att,0,,,,,
player,201209300kan,sdg,McClLe00,pass_yds,0,,,,,
player,201209300kan,sdg,McClLe00,pass_td,0,,,,,
player,201209300kan,sdg,McClLe00,pass_int,0,,,,,
player,201209300kan,sdg,McClLe00,pass_sacked,0,,,,,
player,201209300kan,sdg,McClLe00,pass_sacked_yds,0,,,,,
player,201209300kan,sdg,McClLe00,pass_long,0,,,,,
player,201209300kan,sdg,McClLe00,pass_rating,,,,,,
player,201209300kan,sdg,McClLe00,rush_att,2,,,,,
player,201209300kan,sdg,McClLe00,rush_yds,4,,,,,
player,201209300kan,sdg,McClLe00,rush_td,0,,,,,
player,201209300kan,sdg,McClLe00,rush_long,4,,,,,
player,201209300kan,sdg,McClLe00,targets,1,,,,,
player,201209300kan,sdg,McClLe00,rec,1,,,,,
player,201209300kan,sdg,McClLe00,rec_yds,-2,,,,,
player,201209300kan,sdg,McClLe00,rec_td,0,,,,,
player,201209300kan,sdg,McClLe00,rec_long,-2,,,,,
player,201209300kan,sdg,McClLe00,fumbles,0,,,,,
player,201209300kan,sdg,McClLe00,fumbles_lost,0,,,,,
player,201209300kan,sdg,GateAn00,pass_cmp,0,,,,,
player,201209300kan,sdg,GateAn00,pass_att,0,,,,,
player,201209300kan,sdg,GateAn00,pass_yds,0,,,,,
player,201209300kan,sdg,GateAn00,pass_td,0,,,,,
