game,2012,10,20121111,201211110rav,rai,"Oakland Raiders",20,rav,"Baltimore Ravens",55
team,201211110rav,rai,First Downs,19,,,,,,
team,201211110rav,rav,First Downs,22,,,,,,
team,201211110rav,rai,Rush-Yds-TDs,24-72-0,,,,,,
team,201211110rav,rav,Rush-Yds-TDs,28-78-3,,,,,,
team,201211110rav,rai,Cmp-Att-Yd-TD-INT,29-46-368-2-1,,,,,,
team,201211110rav,rav,Cmp-Att-Yd-TD-INT,21-34-341-3-1,,,,,,
team,201211110rav,rai,Sacked-Yards,3-18,,,,,,
team,201211110rav,rav,Sacked-Yards,0-0,,,,,,
team,201211110rav,rai,Net Pass Yards,350,,,,,,
team,201211110rav,rav,Net Pass Yards,341,,,,,,
team,201211110rav,rai,Total Yards,422,,,,,,
team,201211110rav,rav,Total Yards,419,,,,,,
team,201211110rav,rai,Fumbles-Lost,2-2,,,,,,
team,201211110rav,rav,Fumbles-Lost,0-0,,,,,,
team,201211110rav,rai,Turnovers,3,,,,,,
team,201211110rav,rav,Turnovers,1,,,,,,
team,201211110rav,rai,Penalties-Yards,10-105,,,,,,
team,201211110rav,rav,Penalties-Yards,4-41,,,,,,
team,201211110rav,rai,Third Down Conv.,8-18,,,,,,
team,201211110rav,rav,Third Down Conv.,5-12,,,,,,
team,201211110rav,rai,Fourth Down Conv.,0-2,,,,,,
team,201211110rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201211110rav,rai,Time of Possession,33:22,,,,,,
team,201211110rav,rav,Time of Possession,26:38,,,,,,
player,201211110rav,rai,PalmCa00,pass_cmp,29,,,,,
player,201211110rav,rai,PalmCa00,pass_att,45,,,,,
player,201211110rav,rai,PalmCa00,pass_yds,368,,,,,
player,201211110rav,rai,PalmCa00,pass_td,2,,,,,
player,201211110rav,rai,PalmCa00,pass_int,1,,,,,
player,201211110rav,rai,PalmCa00,pass_sacked,3,,,,,
player,201211110rav,rai,PalmCa00,pass_sacked_yds,18,,,,,
player,201211110rav,rai,PalmCa00,pass_long,55,,,,,
player,201211110rav,rai,PalmCa00,pass_rating,95.4,,,,,
player,201211110rav,rai,PalmCa00,rush_att,1,,,,,
player,201211110rav,rai,PalmCa00,rush_yds,0,,,,,
player,201211110rav,rai,PalmCa00,rush_td,0,,,,,
player,201211110rav,rai,PalmCa00,rush_long,0,,,,,
player,201211110rav,rai,PalmCa00,targets,0,,,,,
player,201211110rav,rai,PalmCa00,rec,0,,,,,
player,201211110rav,rai,PalmCa00,rec_yds,0,,,,,
player,201211110rav,rai,PalmCa00,rec_td,0,,,,,
player,201211110rav,rai,PalmCa00,rec_long,0,,,,,
player,201211110rav,rai,PalmCa00,fumbles,1,,,,,
player,201211110rav,rai,PalmCa00,fumbles_lost,1,,,,,
player,201211110rav,rai,LeinMa00,pass_cmp,0,,,,,
player,201211110rav,rai,LeinMa00,pass_att,1,,,,,
player,201211110rav,rai,LeinMa00,pass_yds,0,,,,,
player,201211110rav,rai,LeinMa00,pass_td,0,,,,,
player,201211110rav,rai,LeinMa00,pass_int,0,,,,,
player,201211110rav,rai,LeinMa00,pass_sacked,0,,,,,
player,201211110rav,rai,LeinMa00,pass_sacked_yds,0,,,,,
player,201211110rav,rai,LeinMa00,pass_long,0,,,,,
player,201211110rav,rai,LeinMa00,pass_rating,39.6,,,,,
player,201211110rav,rai,LeinMa00,rush_att,0,,,,,
player,201211110rav,rai,LeinMa00,rush_yds,0,,,,,
player,201211110rav,rai,LeinMa00,rush_td,0,,,,,
player,201211110rav,rai,LeinMa00,rush_long,0,,,,,
player,201211110rav,rai,LeinMa00,targets,0,,,,,
player,201211110rav,rai,LeinMa00,rec,0,,,,,
player,201211110rav,rai,LeinMa00,rec_yds,0,,,,,
player,201211110rav,rai,LeinMa00,rec_td,0,,,,,
player,201211110rav,rai,LeinMa00,rec_long,0,,,,,
player,201211110rav,rai,LeinMa00,fumbles,0,,,,,
player,201211110rav,rai,LeinMa00,fumbles_lost,0,,,,,
player,201211110rav,rai,ReecMa00,pass_cmp,0,,,,,
player,201211110rav,rai,ReecMa00,pass_att,0,,,,,
player,201211110rav,rai,ReecMa00,pass_yds,0,,,,,
player,201211110rav,rai,ReecMa00,pass_td,0,,,,,
player,201211110rav,rai,ReecMa00,pass_int,0,,,,,
player,201211110rav,rai,ReecMa00,pass_sacked,,,,,,
player,201211110rav,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201211110rav,rai,ReecMa00,pass_long,0,,,,,
player,201211110rav,rai,ReecMa00,pass_rating,,,,,,
player,201211110rav,rai,ReecMa00,rush_att,13,,,,,
player,201211110rav,rai,ReecMa00,rush_yds,48,,,,,
player,201211110rav,rai,ReecMa00,rush_td,0,,,,,
player,201211110rav,rai,ReecMa00,rush_long,9,,,,,
player,201211110rav,rai,ReecMa00,targets,9,,,,,
player,201211110rav,rai,ReecMa00,rec,7,,,,,
player,201211110rav,rai,ReecMa00,rec_yds,56,,,,,
player,201211110rav,rai,ReecMa00,rec_td,0,,,,,
player,201211110rav,rai,ReecMa00,rec_long,24,,,,,
player,201211110rav,rai,ReecMa00,fumbles,0,,,,,
player,201211110rav,rai,ReecMa00,fumbles_lost,0,,,,,
player,201211110rav,rai,StewJe00,pass_cmp,0,,,,,
player,201211110rav,rai,StewJe00,pass_att,0,,,,,
player,201211110rav,rai,StewJe00,pass_yds,0,,,,,
player,201211110rav,rai,StewJe00,pass_td,0,,,,,
player,201211110rav,rai,StewJe00,pass_int,0,,,,,
player,201211110rav,rai,StewJe00,pass_sacked,,,,,,
player,201211110rav,rai,StewJe00,pass_sacked_yds,0,,,,,
player,201211110rav,rai,StewJe00,pass_long,0,,,,,
player,201211110rav,rai,StewJe00,pass_rating,,,,,,
player,201211110rav,rai,StewJe00,rush_att,7,,,,,
player,201211110rav,rai,StewJe00,rush_yds,22,,,,,
player,201211110rav,rai,StewJe00,rush_td,0,,,,,
player,201211110rav,rai,StewJe00,rush_long,6,,,,,
