game,2012,2,20120916,201209160nyg,tam,"Tampa Bay Buccaneers",34,nyg,"New York Giants",41
team,201209160nyg,tam,First Downs,14,,,,,,
team,201209160nyg,nyg,First Downs,31,,,,,,
team,201209160nyg,tam,Rush-Yds-TDs,22-79-1,,,,,,
team,201209160nyg,nyg,Rush-Yds-TDs,25-94-1,,,,,,
team,201209160nyg,tam,Cmp-Att-Yd-TD-INT,15-28-243-2-2,,,,,,
team,201209160nyg,nyg,Cmp-Att-Yd-TD-INT,31-51-510-3-3,,,,,,
team,201209160nyg,tam,Sacked-Yards,2-15,,,,,,
team,201209160nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201209160nyg,tam,Net Pass Yards,228,,,,,,
team,201209160nyg,nyg,Net Pass Yards,510,,,,,,
team,201209160nyg,tam,Total Yards,307,,,,,,
team,201209160nyg,nyg,Total Yards,604,,,,,,
team,201209160nyg,tam,Fumbles-Lost,1-0,,,,,,
team,201209160nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201209160nyg,tam,Turnovers,2,,,,,,
team,201209160nyg,nyg,Turnovers,3,,,,,,
team,201209160nyg,tam,Penalties-Yards,5-33,,,,,,
team,201209160nyg,nyg,Penalties-Yards,7-53,,,,,,
team,201209160nyg,tam,Third Down Conv.,2-10,,,,,,
team,201209160nyg,nyg,Third Down Conv.,5-13,,,,,,
team,201209160nyg,tam,Fourth Down Conv.,0-0,,,,,,
team,201209160nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201209160nyg,tam,Time of Possession,26:31,,,,,,
team,201209160nyg,nyg,Time of Possession,33:29,,,,,,
player,201209160nyg,tam,FreeJo00,pass_cmp,15,,,,,
player,201209160nyg,tam,FreeJo00,pass_att,28,,,,,
player,201209160nyg,tam,FreeJo00,pass_yds,243,,,,,
player,201209160nyg,tam,FreeJo00,pass_td,2,,,,,
player,201209160nyg,tam,FreeJo00,pass_int,2,,,,,
player,201209160nyg,tam,FreeJo00,pass_sacked,2,,,,,
player,201209160nyg,tam,FreeJo00,pass_sacked_yds,15,,,,,
player,201209160nyg,tam,FreeJo00,pass_long,41,,,,,
player,201209160nyg,tam,FreeJo00,pass_rating,76.9,,,,,
player,201209160nyg,tam,FreeJo00,rush_att,0,,,,,
player,201209160nyg,tam,FreeJo00,rush_yds,0,,,,,
player,201209160nyg,tam,FreeJo00,rush_td,0,,,,,
player,201209160nyg,tam,FreeJo00,rush_long,0,,,,,
player,201209160nyg,tam,FreeJo00,targets,0,,,,,
player,201209160nyg,tam,FreeJo00,rec,0,,,,,
player,201209160nyg,tam,FreeJo00,rec_yds,0,,,,,
player,201209160nyg,tam,FreeJo00,rec_td,0,,,,,
player,201209160nyg,tam,FreeJo00,rec_long,0,,,,,
player,201209160nyg,tam,FreeJo00,fumbles,0,,,,,
player,201209160nyg,tam,FreeJo00,fumbles_lost,0,,,,,
player,201209160nyg,tam,MartDo00,pass_cmp,0,,,,,
player,201209160nyg,tam,MartDo00,pass_att,0,,,,,
player,201209160nyg,tam,MartDo00,pass_yds,0,,,,,
player,201209160nyg,tam,MartDo00,pass_td,0,,,,,
player,201209160nyg,tam,MartDo00,pass_int,0,,,,,
player,201209160nyg,tam,MartDo00,pass_sacked,0,,,,,
player,201209160nyg,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201209160nyg,tam,MartDo00,pass_long,0,,,,,
player,201209160nyg,tam,MartDo00,pass_rating,,,,,,
player,201209160nyg,tam,MartDo00,rush_att,20,,,,,
player,201209160nyg,tam,MartDo00,rush_yds,66,,,,,
player,201209160nyg,tam,MartDo00,rush_td,1,,,,,
player,201209160nyg,tam,MartDo00,rush_long,12,,,,,
player,201209160nyg,tam,MartDo00,targets,3,,,,,
player,201209160nyg,tam,MartDo00,rec,0,,,,,
player,201209160nyg,tam,MartDo00,rec_yds,0,,,,,
player,201209160nyg,tam,MartDo00,rec_td,0,,,,,
player,201209160nyg,tam,MartDo00,rec_long,0,,,,,
player,201209160nyg,tam,MartDo00,fumbles,0,,,,,
player,201209160nyg,tam,MartDo00,fumbles_lost,0,,,,,
player,201209160nyg,tam,ParkPr00,pass_cmp,0,,,,,
player,201209160nyg,tam,ParkPr00,pass_att,0,,,,,
