game,2012,1,20120909,201209090htx,mia,"Miami Dolphins",10,htx,"Houston Texans",30
team,201209090htx,mia,First Downs,15,,,,,,
team,201209090htx,htx,First Downs,19,,,,,,
team,201209090htx,mia,Rush-Yds-TDs,20-76-0,,,,,,
team,201209090htx,htx,Rush-Yds-TDs,35-83-2,,,,,,
team,201209090htx,mia,Cmp-Att-Yd-TD-INT,20-36-219-0-3,,,,,,
team,201209090htx,htx,Cmp-Att-Yd-TD-INT,20-31-266-1-0,,,,,,
team,201209090htx,mia,Sacked-Yards,2-20,,,,,,
team,201209090htx,htx,Sacked-Yards,2-12,,,,,,
team,201209090htx,mia,Net Pass Yards,199,,,,,,
team,201209090htx,htx,Net Pass Yards,254,,,,,,
team,201209090htx,mia,Total Yards,275,,,,,,
team,201209090htx,htx,Total Yards,337,,,,,,
team,201209090htx,mia,Fumbles-Lost,3-1,,,,,,
team,201209090htx,htx,Fumbles-Lost,0-0,,,,,,
team,201209090htx,mia,Turnovers,4,,,,,,
team,201209090htx,htx,Turnovers,0,,,,,,
team,201209090htx,mia,Penalties-Yards,7-78,,,,,,
team,201209090htx,htx,Penalties-Yards,4-35,,,,,,
team,201209090htx,mia,Third Down Conv.,2-10,,,,,,
team,201209090htx,htx,Third Down Conv.,7-17,,,,,,
team,201209090htx,mia,Fourth Down Conv.,0-3,,,,,,
team,201209090htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201209090htx,mia,Time of Possession,25:16,,,,,,
team,201209090htx,htx,Time of Possession,34:44,,,,,,
player,201209090htx,mia,TannRy00,pass_cmp,20,,,,,
player,201209090htx,mia,TannRy00,pass_att,36,,,,,
player,201209090htx,mia,TannRy00,pass_yds,219,,,,,
player,201209090htx,mia,TannRy00,pass_td,0,,,,,
player,201209090htx,mia,TannRy00,pass_int,3,,,,,
player,201209090htx,mia,TannRy00,pass_sacked,2,,,,,
player,201209090htx,mia,TannRy00,pass_sacked_yds,20,,,,,
player,201209090htx,mia,TannRy00,pass_long,34,,,,,
player,201209090htx,mia,TannRy00,pass_rating,39.0,,,,,
player,201209090htx,mia,TannRy00,rush_att,3,,,,,
player,201209090htx,mia,TannRy00,rush_yds,-4,,,,,
player,201209090htx,mia,TannRy00,rush_td,0,,,,,
player,201209090htx,mia,TannRy00,rush_long,0,,,,,
player,201209090htx,mia,TannRy00,targets,0,,,,,
player,201209090htx,mia,TannRy00,rec,0,,,,,
player,201209090htx,mia,TannRy00,rec_yds,0,,,,,
player,201209090htx,mia,TannRy00,rec_td,0,,,,,
player,201209090htx,mia,TannRy00,rec_long,0,,,,,
player,201209090htx,mia,TannRy00,fumbles,1,,,,,
player,201209090htx,mia,TannRy00,fumbles_lost,0,,,,,
player,201209090htx,mia,BushRe00,pass_cmp,0,,,,,
player,201209090htx,mia,BushRe00,pass_att,0,,,,,
player,201209090htx,mia,BushRe00,pass_yds,0,,,,,
player,201209090htx,mia,BushRe00,pass_td,0,,,,,
player,201209090htx,mia,BushRe00,pass_int,0,,,,,
player,201209090htx,mia,BushRe00,pass_sacked,0,,,,,
player,201209090htx,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201209090htx,mia,BushRe00,pass_long,0,,,,,
player,201209090htx,mia,BushRe00,pass_rating,,,,,,
player,201209090htx,mia,BushRe00,rush_att,14,,,,,
player,201209090htx,mia,BushRe00,rush_yds,69,,,,,
player,201209090htx,mia,BushRe00,rush_td,0,,,,,
player,201209090htx,mia,BushRe00,rush_long,13,,,,,
player,201209090htx,mia,BushRe00,targets,6,,,,,
player,201209090htx,mia,BushRe00,rec,6,,,,,
player,201209090htx,mia,BushRe00,rec_yds,46,,,,,
player,201209090htx,mia,BushRe00,rec_td,0,,,,,
player,201209090htx,mia,BushRe00,rec_long,19,,,,,
player,201209090htx,mia,BushRe00,fumbles,1,,,,,
player,201209090htx,mia,BushRe00,fumbles_lost,0,,,,,
player,201209090htx,mia,ThomDa03,pass_cmp,0,,,,,
player,201209090htx,mia,ThomDa03,pass_att,0,,,,,
player,201209090htx,mia,ThomDa03,pass_yds,0,,,,,
player,201209090htx,mia,ThomDa03,pass_td,0,,,,,
player,201209090htx,mia,ThomDa03,pass_int,0,,,,,
player,201209090htx,mia,ThomDa03,pass_sacked,0,,,,,
player,201209090htx,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201209090htx,mia,ThomDa03,pass_long,0,,,,,
player,201209090htx,mia,ThomDa03,pass_rating,,,,,,
player,201209090htx,mia,ThomDa03,rush_att,3,,,,,
player,201209090htx,mia,ThomDa03,rush_yds,11,,,,,
player,201209090htx,mia,ThomDa03,rush_td,0,,,,,
player,201209090htx,mia,ThomDa03,rush_long,8,,,,,
player,201209090htx,mia,ThomDa03,targets,3,,,,,
player,201209090htx,mia,ThomDa03,rec,1,,,,,
player,201209090htx,mia,ThomDa03,rec_yds,32,,,,,
player,201209090htx,mia,ThomDa03,rec_td,0,,,,,
player,201209090htx,mia,ThomDa03,rec_long,32,,,,,
player,201209090htx,mia,ThomDa03,fumbles,1,,,,,
player,201209090htx,mia,ThomDa03,fumbles_lost,1,,,,,
player,201209090htx,mia,HartBr00,pass_cmp,0,,,,,
player,201209090htx,mia,HartBr00,pass_att,0,,,,,
player,201209090htx,mia,HartBr00,pass_yds,0,,,,,
player,201209090htx,mia,HartBr00,pass_td,0,,,,,
player,201209090htx,mia,HartBr00,pass_int,0,,,,,
player,201209090htx,mia,HartBr00,pass_sacked,0,,,,,
player,201209090htx,mia,HartBr00,pass_sacked_yds,0,,,,,
player,201209090htx,mia,HartBr00,pass_long,0,,,,,
player,201209090htx,mia,HartBr00,pass_rating,,,,,,
player,201209090htx,mia,HartBr00,rush_att,0,,,,,
player,201209090htx,mia,HartBr00,rush_yds,0,,,,,
player,201209090htx,mia,HartBr00,rush_td,0,,,,,
player,201209090htx,mia,HartBr00,rush_long,0,,,,,
player,201209090htx,mia,HartBr00,targets,8,,,,,
player,201209090htx,mia,HartBr00,rec,3,,,,,
player,201209090htx,mia,HartBr00,rec_yds,50,,,,,
player,201209090htx,mia,HartBr00,rec_td,0,,,,,
player,201209090htx,mia,HartBr00,rec_long,34,,,,,
player,201209090htx,mia,HartBr00,fumbles,0,,,,,
player,201209090htx,mia,HartBr00,fumbles_lost,0,,,,,
player,201209090htx,mia,BessDa00,pass_cmp,0,,,,,
player,201209090htx,mia,BessDa00,pass_att,0,,,,,
player,201209090htx,mia,BessDa00,pass_yds,0,,,,,
player,201209090htx,mia,BessDa00,pass_td,0,,,,,
player,201209090htx,mia,BessDa00,pass_int,0,,,,,
player,201209090htx,mia,BessDa00,pass_sacked,0,,,,,
player,201209090htx,mia,BessDa00,pass_sacked_yds,0,,,,,
player,201209090htx,mia,BessDa00,pass_long,0,,,,,
player,201209090htx,mia,BessDa00,pass_rating,,,,,,
player,201209090htx,mia,BessDa00,rush_att,0,,,,,
player,201209090htx,mia,BessDa00,rush_yds,0,,,,,
player,201209090htx,mia,BessDa00,rush_td,0,,,,,
player,201209090htx,mia,BessDa00,rush_long,0,,,,,
player,201209090htx,mia,BessDa00,targets,7,,,,,
player,201209090htx,mia,BessDa00,rec,5,,,,,
player,201209090htx,mia,BessDa00,rec_yds,45,,,,,
player,201209090htx,mia,BessDa00,rec_td,0,,,,,
player,201209090htx,mia,BessDa00,rec_long,11,,,,,
player,201209090htx,mia,BessDa00,fumbles,0,,,,,
player,201209090htx,mia,BessDa00,fumbles_lost,0,,,,,
player,201209090htx,mia,LaneJo00,pass_cmp,0,,,,,
player,201209090htx,mia,LaneJo00,pass_att,0,,,,,
player,201209090htx,mia,LaneJo00,pass_yds,0,,,,,
