game,2012,4,20120930,201209300htx,oti,"Tennessee Titans",14,htx,"Houston Texans",38
team,201209300htx,oti,First Downs,17,,,,,,
team,201209300htx,htx,First Downs,16,,,,,,
team,201209300htx,oti,Rush-Yds-TDs,29-158-0,,,,,,
team,201209300htx,htx,Rush-Yds-TDs,31-95-1,,,,,,
team,201209300htx,oti,Cmp-Att-Yd-TD-INT,17-27-193-2-2,,,,,,
team,201209300htx,htx,Cmp-Att-Yd-TD-INT,20-28-202-2-0,,,,,,
team,201209300htx,oti,Sacked-Yards,4-26,,,,,,
team,201209300htx,htx,Sacked-Yards,0-0,,,,,,
team,201209300htx,oti,Net Pass Yards,167,,,,,,
team,201209300htx,htx,Net Pass Yards,202,,,,,,
team,201209300htx,oti,Total Yards,325,,,,,,
team,201209300htx,htx,Total Yards,297,,,,,,
team,201209300htx,oti,Fumbles-Lost,2-1,,,,,,
team,201209300htx,htx,Fumbles-Lost,0-0,,,,,,
team,201209300htx,oti,Turnovers,3,,,,,,
team,201209300htx,htx,Turnovers,0,,,,,,
team,201209300htx,oti,Penalties-Yards,7-73,,,,,,
team,201209300htx,htx,Penalties-Yards,1-3,,,,,,
team,201209300htx,oti,Third Down Conv.,4-12,,,,,,
team,201209300htx,htx,Third Down Conv.,6-14,,,,,,
team,201209300htx,oti,Fourth Down Conv.,1-1,,,,,,
team,201209300htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201209300htx,oti,Time of Possession,27:34,,,,,,
team,201209300htx,htx,Time of Possession,32:26,,,,,,
player,201209300htx,oti,HassMa00,pass_cmp,17,,,,,
player,201209300htx,oti,HassMa00,pass_att,25,,,,,
player,201209300htx,oti,HassMa00,pass_yds,193,,,,,
player,201209300htx,oti,HassMa00,pass_td,2,,,,,
player,201209300htx,oti,HassMa00,pass_int,2,,,,,
player,201209300htx,oti,HassMa00,pass_sacked,3,,,,,
player,201209300htx,oti,HassMa00,pass_sacked_yds,18,,,,,
player,201209300htx,oti,HassMa00,pass_long,25,,,,,
player,201209300htx,oti,HassMa00,pass_rating,84.2,,,,,
player,201209300htx,oti,HassMa00,rush_att,2,,,,,
player,201209300htx,oti,HassMa00,rush_yds,3,,,,,
player,201209300htx,oti,HassMa00,rush_td,0,,,,,
player,201209300htx,oti,HassMa00,rush_long,4,,,,,
player,201209300htx,oti,HassMa00,targets,0,,,,,
player,201209300htx,oti,HassMa00,rec,0,,,,,
player,201209300htx,oti,HassMa00,rec_yds,0,,,,,
player,201209300htx,oti,HassMa00,rec_td,0,,,,,
player,201209300htx,oti,HassMa00,rec_long,0,,,,,
player,201209300htx,oti,HassMa00,fumbles,1,,,,,
player,201209300htx,oti,HassMa00,fumbles_lost,1,,,,,
player,201209300htx,oti,LockJa00,pass_cmp,0,,,,,
player,201209300htx,oti,LockJa00,pass_att,2,,,,,
player,201209300htx,oti,LockJa00,pass_yds,0,,,,,
player,201209300htx,oti,LockJa00,pass_td,0,,,,,
player,201209300htx,oti,LockJa00,pass_int,0,,,,,
player,201209300htx,oti,LockJa00,pass_sacked,1,,,,,
player,201209300htx,oti,LockJa00,pass_sacked_yds,8,,,,,
player,201209300htx,oti,LockJa00,pass_long,0,,,,,
player,201209300htx,oti,LockJa00,pass_rating,39.6,,,,,
player,201209300htx,oti,LockJa00,rush_att,0,,,,,
player,201209300htx,oti,LockJa00,rush_yds,0,,,,,
player,201209300htx,oti,LockJa00,rush_td,0,,,,,
player,201209300htx,oti,LockJa00,rush_long,0,,,,,
player,201209300htx,oti,LockJa00,targets,0,,,,,
player,201209300htx,oti,LockJa00,rec,0,,,,,
player,201209300htx,oti,LockJa00,rec_yds,0,,,,,
player,201209300htx,oti,LockJa00,rec_td,0,,,,,
player,201209300htx,oti,LockJa00,rec_long,0,,,,,
player,201209300htx,oti,LockJa00,fumbles,0,,,,,
player,201209300htx,oti,LockJa00,fumbles_lost,0,,,,,
player,201209300htx,oti,JohnCh04,pass_cmp,0,,,,,
player,201209300htx,oti,JohnCh04,pass_att,0,,,,,
player,201209300htx,oti,JohnCh04,pass_yds,0,,,,,
player,201209300htx,oti,JohnCh04,pass_td,0,,,,,
player,201209300htx,oti,JohnCh04,pass_int,0,,,,,
player,201209300htx,oti,JohnCh04,pass_sacked,0,,,,,
player,201209300htx,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201209300htx,oti,JohnCh04,pass_long,0,,,,,
player,201209300htx,oti,JohnCh04,pass_rating,,,,,,
player,201209300htx,oti,JohnCh04,rush_att,25,,,,,
player,201209300htx,oti,JohnCh04,rush_yds,141,,,,,
player,201209300htx,oti,JohnCh04,rush_td,0,,,,,
player,201209300htx,oti,JohnCh04,rush_long,19,,,,,
player,201209300htx,oti,JohnCh04,targets,2,,,,,
player,201209300htx,oti,JohnCh04,rec,2,,,,,
player,201209300htx,oti,JohnCh04,rec_yds,16,,,,,
player,201209300htx,oti,JohnCh04,rec_td,0,,,,,
player,201209300htx,oti,JohnCh04,rec_long,8,,,,,
player,201209300htx,oti,JohnCh04,fumbles,0,,,,,
player,201209300htx,oti,JohnCh04,fumbles_lost,0,,,,,
player,201209300htx,oti,RingJa00,pass_cmp,0,,,,,
player,201209300htx,oti,RingJa00,pass_att,0,,,,,
player,201209300htx,oti,RingJa00,pass_yds,0,,,,,
player,201209300htx,oti,RingJa00,pass_td,0,,,,,
player,201209300htx,oti,RingJa00,pass_int,0,,,,,
player,201209300htx,oti,RingJa00,pass_sacked,0,,,,,
player,201209300htx,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201209300htx,oti,RingJa00,pass_long,0,,,,,
player,201209300htx,oti,RingJa00,pass_rating,,,,,,
player,201209300htx,oti,RingJa00,rush_att,2,,,,,
player,201209300htx,oti,RingJa00,rush_yds,14,,,,,
player,201209300htx,oti,RingJa00,rush_td,0,,,,,
player,201209300htx,oti,RingJa00,rush_long,9,,,,,
player,201209300htx,oti,RingJa00,targets,0,,,,,
player,201209300htx,oti,RingJa00,rec,0,,,,,
player,201209300htx,oti,RingJa00,rec_yds,0,,,,,
player,201209300htx,oti,RingJa00,rec_td,0,,,,,
player,201209300htx,oti,RingJa00,rec_long,0,,,,,
player,201209300htx,oti,RingJa00,fumbles,0,,,,,
player,201209300htx,oti,RingJa00,fumbles_lost,0,,,,,
player,201209300htx,oti,WrigKe01,pass_cmp,0,,,,,
player,201209300htx,oti,WrigKe01,pass_att,0,,,,,
player,201209300htx,oti,WrigKe01,pass_yds,0,,,,,
player,201209300htx,oti,WrigKe01,pass_td,0,,,,,
player,201209300htx,oti,WrigKe01,pass_int,0,,,,,
player,201209300htx,oti,WrigKe01,pass_sacked,0,,,,,
player,201209300htx,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201209300htx,oti,WrigKe01,pass_long,0,,,,,
player,201209300htx,oti,WrigKe01,pass_rating,,,,,,
player,201209300htx,oti,WrigKe01,rush_att,0,,,,,
player,201209300htx,oti,WrigKe01,rush_yds,0,,,,,
player,201209300htx,oti,WrigKe01,rush_td,0,,,,,
player,201209300htx,oti,WrigKe01,rush_long,0,,,,,
player,201209300htx,oti,WrigKe01,targets,8,,,,,
player,201209300htx,oti,WrigKe01,rec,4,,,,,
player,201209300htx,oti,WrigKe01,rec_yds,46,,,,,
player,201209300htx,oti,WrigKe01,rec_td,1,,,,,
player,201209300htx,oti,WrigKe01,rec_long,20,,,,,
player,201209300htx,oti,WrigKe01,fumbles,0,,,,,
player,201209300htx,oti,WrigKe01,fumbles_lost,0,,,,,
player,201209300htx,oti,WashNa00,pass_cmp,0,,,,,
player,201209300htx,oti,WashNa00,pass_att,0,,,,,
player,201209300htx,oti,WashNa00,pass_yds,0,,,,,
player,201209300htx,oti,WashNa00,pass_td,0,,,,,
player,201209300htx,oti,WashNa00,pass_int,0,,,,,
player,201209300htx,oti,WashNa00,pass_sacked,0,,,,,
player,201209300htx,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201209300htx,oti,WashNa00,pass_long,0,,,,,
player,201209300htx,oti,WashNa00,pass_rating,,,,,,
player,201209300htx,oti,WashNa00,rush_att,0,,,,,
player,201209300htx,oti,WashNa00,rush_yds,0,,,,,
player,201209300htx,oti,WashNa00,rush_td,0,,,,,
player,201209300htx,oti,WashNa00,rush_long,0,,,,,
player,201209300htx,oti,WashNa00,targets,5,,,,,
player,201209300htx,oti,WashNa00,rec,3,,,,,
player,201209300htx,oti,WashNa00,rec_yds,43,,,,,
player,201209300htx,oti,WashNa00,rec_td,0,,,,,
player,201209300htx,oti,WashNa00,rec_long,25,,,,,
player,201209300htx,oti,WashNa00,fumbles,0,,,,,
player,201209300htx,oti,WashNa00,fumbles_lost,0,,,,,
player,201209300htx,oti,CookJa02,pass_cmp,0,,,,,
player,201209300htx,oti,CookJa02,pass_att,0,,,,,
player,201209300htx,oti,CookJa02,pass_yds,0,,,,,
player,201209300htx,oti,CookJa02,pass_td,0,,,,,
player,201209300htx,oti,CookJa02,pass_int,0,,,,,
player,201209300htx,oti,CookJa02,pass_sacked,0,,,,,
player,201209300htx,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201209300htx,oti,CookJa02,pass_long,0,,,,,
player,201209300htx,oti,CookJa02,pass_rating,,,,,,
player,201209300htx,oti,CookJa02,rush_att,0,,,,,
player,201209300htx,oti,CookJa02,rush_yds,0,,,,,
player,201209300htx,oti,CookJa02,rush_td,0,,,,,
player,201209300htx,oti,CookJa02,rush_long,0,,,,,
player,201209300htx,oti,CookJa02,targets,4,,,,,
player,201209300htx,oti,CookJa02,rec,3,,,,,
player,201209300htx,oti,CookJa02,rec_yds,36,,,,,
