game,2012,16,20121223,201212230car,rai,"Oakland Raiders",6,car,"Carolina Panthers",17
team,201212230car,rai,First Downs,12,,,,,,
team,201212230car,car,First Downs,16,,,,,,
team,201212230car,rai,Rush-Yds-TDs,22-47-0,,,,,,
team,201212230car,car,Rush-Yds-TDs,28-112-1,,,,,,
team,201212230car,rai,Cmp-Att-Yd-TD-INT,20-36-151-0-1,,,,,,
team,201212230car,car,Cmp-Att-Yd-TD-INT,18-29-170-1-1,,,,,,
team,201212230car,rai,Sacked-Yards,1-9,,,,,,
team,201212230car,car,Sacked-Yards,2-11,,,,,,
team,201212230car,rai,Net Pass Yards,142,,,,,,
team,201212230car,car,Net Pass Yards,159,,,,,,
team,201212230car,rai,Total Yards,189,,,,,,
team,201212230car,car,Total Yards,271,,,,,,
team,201212230car,rai,Fumbles-Lost,0-0,,,,,,
team,201212230car,car,Fumbles-Lost,1-1,,,,,,
team,201212230car,rai,Turnovers,1,,,,,,
team,201212230car,car,Turnovers,2,,,,,,
team,201212230car,rai,Penalties-Yards,6-70,,,,,,
team,201212230car,car,Penalties-Yards,10-97,,,,,,
team,201212230car,rai,Third Down Conv.,4-15,,,,,,
team,201212230car,car,Third Down Conv.,6-15,,,,,,
team,201212230car,rai,Fourth Down Conv.,0-2,,,,,,
team,201212230car,car,Fourth Down Conv.,0-0,,,,,,
team,201212230car,rai,Time of Possession,29:05,,,,,,
team,201212230car,car,Time of Possession,30:55,,,,,,
player,201212230car,rai,LeinMa00,pass_cmp,16,,,,,
player,201212230car,rai,LeinMa00,pass_att,32,,,,,
player,201212230car,rai,LeinMa00,pass_yds,115,,,,,
player,201212230car,rai,LeinMa00,pass_td,0,,,,,
player,201212230car,rai,LeinMa00,pass_int,1,,,,,
player,201212230car,rai,LeinMa00,pass_sacked,1,,,,,
player,201212230car,rai,LeinMa00,pass_sacked_yds,9,,,,,
player,201212230car,rai,LeinMa00,pass_long,20,,,,,
player,201212230car,rai,LeinMa00,pass_rating,45.7,,,,,
player,201212230car,rai,LeinMa00,rush_att,0,,,,,
player,201212230car,rai,LeinMa00,rush_yds,0,,,,,
player,201212230car,rai,LeinMa00,rush_td,0,,,,,
player,201212230car,rai,LeinMa00,rush_long,0,,,,,
player,201212230car,rai,LeinMa00,targets,0,,,,,
player,201212230car,rai,LeinMa00,rec,0,,,,,
player,201212230car,rai,LeinMa00,rec_yds,0,,,,,
player,201212230car,rai,LeinMa00,rec_td,0,,,,,
player,201212230car,rai,LeinMa00,rec_long,0,,,,,
player,201212230car,rai,LeinMa00,fumbles,0,,,,,
player,201212230car,rai,LeinMa00,fumbles_lost,0,,,,,
player,201212230car,rai,PalmCa00,pass_cmp,3,,,,,
player,201212230car,rai,PalmCa00,pass_att,3,,,,,
player,201212230car,rai,PalmCa00,pass_yds,31,,,,,
player,201212230car,rai,PalmCa00,pass_td,0,,,,,
player,201212230car,rai,PalmCa00,pass_int,0,,,,,
player,201212230car,rai,PalmCa00,pass_sacked,0,,,,,
player,201212230car,rai,PalmCa00,pass_sacked_yds,0,,,,,
player,201212230car,rai,PalmCa00,pass_long,22,,,,,
player,201212230car,rai,PalmCa00,pass_rating,109.7,,,,,
player,201212230car,rai,PalmCa00,rush_att,0,,,,,
player,201212230car,rai,PalmCa00,rush_yds,0,,,,,
player,201212230car,rai,PalmCa00,rush_td,0,,,,,
player,201212230car,rai,PalmCa00,rush_long,0,,,,,
player,201212230car,rai,PalmCa00,targets,0,,,,,
player,201212230car,rai,PalmCa00,rec,0,,,,,
player,201212230car,rai,PalmCa00,rec_yds,0,,,,,
player,201212230car,rai,PalmCa00,rec_td,0,,,,,
player,201212230car,rai,PalmCa00,rec_long,0,,,,,
player,201212230car,rai,PalmCa00,fumbles,0,,,,,
player,201212230car,rai,PalmCa00,fumbles_lost,0,,,,,
