game,2012,7,20121021,201210210tam,nor,"New Orleans Saints",35,tam,"Tampa Bay Buccaneers",28
team,201210210tam,nor,First Downs,23,,,,,,
team,201210210tam,tam,First Downs,26,,,,,,
team,201210210tam,nor,Rush-Yds-TDs,26-81-1,,,,,,
team,201210210tam,tam,Rush-Yds-TDs,24-102-1,,,,,,
team,201210210tam,nor,Cmp-Att-Yd-TD-INT,27-37-377-4-1,,,,,,
team,201210210tam,tam,Cmp-Att-Yd-TD-INT,24-42-420-3-0,,,,,,
team,201210210tam,nor,Sacked-Yards,0-0,,,,,,
team,201210210tam,tam,Sacked-Yards,2-9,,,,,,
team,201210210tam,nor,Net Pass Yards,377,,,,,,
team,201210210tam,tam,Net Pass Yards,411,,,,,,
team,201210210tam,nor,Total Yards,458,,,,,,
team,201210210tam,tam,Total Yards,513,,,,,,
team,201210210tam,nor,Fumbles-Lost,0-0,,,,,,
team,201210210tam,tam,Fumbles-Lost,1-0,,,,,,
team,201210210tam,nor,Turnovers,1,,,,,,
team,201210210tam,tam,Turnovers,0,,,,,,
team,201210210tam,nor,Penalties-Yards,7-55,,,,,,
team,201210210tam,tam,Penalties-Yards,7-50,,,,,,
team,201210210tam,nor,Third Down Conv.,9-15,,,,,,
team,201210210tam,tam,Third Down Conv.,4-12,,,,,,
team,201210210tam,nor,Fourth Down Conv.,0-0,,,,,,
team,201210210tam,tam,Fourth Down Conv.,2-3,,,,,,
team,201210210tam,nor,Time of Possession,26:15,,,,,,
team,201210210tam,tam,Time of Possession,33:45,,,,,,
player,201210210tam,nor,BreeDr00,pass_cmp,27,,,,,
player,201210210tam,nor,BreeDr00,pass_att,37,,,,,
player,201210210tam,nor,BreeDr00,pass_yds,377,,,,,
player,201210210tam,nor,BreeDr00,pass_td,4,,,,,
player,201210210tam,nor,BreeDr00,pass_int,1,,,,,
player,201210210tam,nor,BreeDr00,pass_sacked,0,,,,,
player,201210210tam,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201210210tam,nor,BreeDr00,pass_long,48,,,,,
player,201210210tam,nor,BreeDr00,pass_rating,130.1,,,,,
player,201210210tam,nor,BreeDr00,rush_att,1,,,,,
player,201210210tam,nor,BreeDr00,rush_yds,1,,,,,
player,201210210tam,nor,BreeDr00,rush_td,0,,,,,
player,201210210tam,nor,BreeDr00,rush_long,1,,,,,
player,201210210tam,nor,BreeDr00,targets,0,,,,,
player,201210210tam,nor,BreeDr00,rec,0,,,,,
player,201210210tam,nor,BreeDr00,rec_yds,0,,,,,
player,201210210tam,nor,BreeDr00,rec_td,0,,,,,
player,201210210tam,nor,BreeDr00,rec_long,0,,,,,
player,201210210tam,nor,BreeDr00,fumbles,0,,,,,
player,201210210tam,nor,BreeDr00,fumbles_lost,0,,,,,
player,201210210tam,nor,ThomPi00,pass_cmp,0,,,,,
player,201210210tam,nor,ThomPi00,pass_att,0,,,,,
player,201210210tam,nor,ThomPi00,pass_yds,0,,,,,
player,201210210tam,nor,ThomPi00,pass_td,0,,,,,
player,201210210tam,nor,ThomPi00,pass_int,0,,,,,
player,201210210tam,nor,ThomPi00,pass_sacked,0,,,,,
player,201210210tam,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201210210tam,nor,ThomPi00,pass_long,0,,,,,
player,201210210tam,nor,ThomPi00,pass_rating,,,,,,
player,201210210tam,nor,ThomPi00,rush_att,13,,,,,
player,201210210tam,nor,ThomPi00,rush_yds,32,,,,,
player,201210210tam,nor,ThomPi00,rush_td,1,,,,,
player,201210210tam,nor,ThomPi00,rush_long,6,,,,,
player,201210210tam,nor,ThomPi00,targets,1,,,,,
player,201210210tam,nor,ThomPi00,rec,0,,,,,
player,201210210tam,nor,ThomPi00,rec_yds,0,,,,,
player,201210210tam,nor,ThomPi00,rec_td,0,,,,,
player,201210210tam,nor,ThomPi00,rec_long,0,,,,,
player,201210210tam,nor,ThomPi00,fumbles,0,,,,,
player,201210210tam,nor,ThomPi00,fumbles_lost,0,,,,,
player,201210210tam,nor,SproDa00,pass_cmp,0,,,,,
player,201210210tam,nor,SproDa00,pass_att,0,,,,,
player,201210210tam,nor,SproDa00,pass_yds,0,,,,,
player,201210210tam,nor,SproDa00,pass_td,0,,,,,
player,201210210tam,nor,SproDa00,pass_int,0,,,,,
player,201210210tam,nor,SproDa00,pass_sacked,0,,,,,
player,201210210tam,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201210210tam,nor,SproDa00,pass_long,0,,,,,
player,201210210tam,nor,SproDa00,pass_rating,,,,,,
player,201210210tam,nor,SproDa00,rush_att,5,,,,,
player,201210210tam,nor,SproDa00,rush_yds,27,,,,,
player,201210210tam,nor,SproDa00,rush_td,0,,,,,
player,201210210tam,nor,SproDa00,rush_long,12,,,,,
player,201210210tam,nor,SproDa00,targets,4,,,,,
player,201210210tam,nor,SproDa00,rec,4,,,,,
player,201210210tam,nor,SproDa00,rec_yds,32,,,,,
player,201210210tam,nor,SproDa00,rec_td,1,,,,,
player,201210210tam,nor,SproDa00,rec_long,9,,,,,
player,201210210tam,nor,SproDa00,fumbles,0,,,,,
player,201210210tam,nor,SproDa00,fumbles_lost,0,,,,,
player,201210210tam,nor,IngrMa01,pass_cmp,0,,,,,
player,201210210tam,nor,IngrMa01,pass_att,0,,,,,
player,201210210tam,nor,IngrMa01,pass_yds,0,,,,,
player,201210210tam,nor,IngrMa01,pass_td,0,,,,,
player,201210210tam,nor,IngrMa01,pass_int,0,,,,,
player,201210210tam,nor,IngrMa01,pass_sacked,0,,,,,
player,201210210tam,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201210210tam,nor,IngrMa01,pass_long,0,,,,,
player,201210210tam,nor,IngrMa01,pass_rating,,,,,,
player,201210210tam,nor,IngrMa01,rush_att,7,,,,,
player,201210210tam,nor,IngrMa01,rush_yds,21,,,,,
player,201210210tam,nor,IngrMa01,rush_td,0,,,,,
player,201210210tam,nor,IngrMa01,rush_long,10,,,,,
player,201210210tam,nor,IngrMa01,targets,0,,,,,
player,201210210tam,nor,IngrMa01,rec,0,,,,,
player,201210210tam,nor,IngrMa01,rec_yds,0,,,,,
player,201210210tam,nor,IngrMa01,rec_td,0,,,,,
player,201210210tam,nor,IngrMa01,rec_long,0,,,,,
player,201210210tam,nor,IngrMa01,fumbles,0,,,,,
player,201210210tam,nor,IngrMa01,fumbles_lost,0,,,,,
player,201210210tam,nor,MoorLa00,pass_cmp,0,,,,,
player,201210210tam,nor,MoorLa00,pass_att,0,,,,,
player,201210210tam,nor,MoorLa00,pass_yds,0,,,,,
player,201210210tam,nor,MoorLa00,pass_td,0,,,,,
player,201210210tam,nor,MoorLa00,pass_int,0,,,,,
player,201210210tam,nor,MoorLa00,pass_sacked,0,,,,,
player,201210210tam,nor,MoorLa00,pass_sacked_yds,0,,,,,
player,201210210tam,nor,MoorLa00,pass_long,0,,,,,
player,201210210tam,nor,MoorLa00,pass_rating,,,,,,
player,201210210tam,nor,MoorLa00,rush_att,0,,,,,
player,201210210tam,nor,MoorLa00,rush_yds,0,,,,,
player,201210210tam,nor,MoorLa00,rush_td,0,,,,,
player,201210210tam,nor,MoorLa00,rush_long,0,,,,,
player,201210210tam,nor,MoorLa00,targets,10,,,,,
player,201210210tam,nor,MoorLa00,rec,9,,,,,
