game,2012,2,20120917,201209170atl,den,"Denver Broncos",21,atl,"Atlanta Falcons",27
team,201209170atl,den,First Downs,24,,,,,,
team,201209170atl,atl,First Downs,22,,,,,,
team,201209170atl,den,Rush-Yds-TDs,27-118-2,,,,,,
team,201209170atl,atl,Rush-Yds-TDs,28-67-1,,,,,,
team,201209170atl,den,Cmp-Att-Yd-TD-INT,24-37-241-1-3,,,,,,
team,201209170atl,atl,Cmp-Att-Yd-TD-INT,24-36-219-2-0,,,,,,
team,201209170atl,den,Sacked-Yards,3-23,,,,,,
team,201209170atl,atl,Sacked-Yards,1-11,,,,,,
team,201209170atl,den,Net Pass Yards,218,,,,,,
team,201209170atl,atl,Net Pass Yards,208,,,,,,
team,201209170atl,den,Total Yards,336,,,,,,
team,201209170atl,atl,Total Yards,275,,,,,,
team,201209170atl,den,Fumbles-Lost,1-1,,,,,,
team,201209170atl,atl,Fumbles-Lost,1-0,,,,,,
team,201209170atl,den,Turnovers,4,,,,,,
team,201209170atl,atl,Turnovers,0,,,,,,
team,201209170atl,den,Penalties-Yards,10-96,,,,,,
team,201209170atl,atl,Penalties-Yards,8-72,,,,,,
team,201209170atl,den,Third Down Conv.,4-12,,,,,,
team,201209170atl,atl,Third Down Conv.,5-13,,,,,,
team,201209170atl,den,Fourth Down Conv.,1-1,,,,,,
team,201209170atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201209170atl,den,Time of Possession,27:20,,,,,,
team,201209170atl,atl,Time of Possession,32:40,,,,,,
player,201209170atl,den,MannPe00,pass_cmp,24,,,,,
player,201209170atl,den,MannPe00,pass_att,37,,,,,
player,201209170atl,den,MannPe00,pass_yds,241,,,,,
player,201209170atl,den,MannPe00,pass_td,1,,,,,
player,201209170atl,den,MannPe00,pass_int,3,,,,,
player,201209170atl,den,MannPe00,pass_sacked,3,,,,,
player,201209170atl,den,MannPe00,pass_sacked_yds,23,,,,,
player,201209170atl,den,MannPe00,pass_long,18,,,,,
player,201209170atl,den,MannPe00,pass_rating,58.5,,,,,
player,201209170atl,den,MannPe00,rush_att,1,,,,,
player,201209170atl,den,MannPe00,rush_yds,-1,,,,,
player,201209170atl,den,MannPe00,rush_td,0,,,,,
player,201209170atl,den,MannPe00,rush_long,-1,,,,,
player,201209170atl,den,MannPe00,targets,0,,,,,
player,201209170atl,den,MannPe00,rec,0,,,,,
player,201209170atl,den,MannPe00,rec_yds,0,,,,,
player,201209170atl,den,MannPe00,rec_td,0,,,,,
player,201209170atl,den,MannPe00,rec_long,0,,,,,
player,201209170atl,den,MannPe00,fumbles,0,,,,,
player,201209170atl,den,MannPe00,fumbles_lost,0,,,,,
player,201209170atl,den,McGaWi00,pass_cmp,0,,,,,
player,201209170atl,den,McGaWi00,pass_att,0,,,,,
player,201209170atl,den,McGaWi00,pass_yds,0,,,,,
player,201209170atl,den,McGaWi00,pass_td,0,,,,,
player,201209170atl,den,McGaWi00,pass_int,0,,,,,
player,201209170atl,den,McGaWi00,pass_sacked,0,,,,,
player,201209170atl,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201209170atl,den,McGaWi00,pass_long,0,,,,,
player,201209170atl,den,McGaWi00,pass_rating,,,,,,
player,201209170atl,den,McGaWi00,rush_att,22,,,,,
player,201209170atl,den,McGaWi00,rush_yds,113,,,,,
player,201209170atl,den,McGaWi00,rush_td,2,,,,,
player,201209170atl,den,McGaWi00,rush_long,31,,,,,
player,201209170atl,den,McGaWi00,targets,2,,,,,
player,201209170atl,den,McGaWi00,rec,2,,,,,
player,201209170atl,den,McGaWi00,rec_yds,11,,,,,
player,201209170atl,den,McGaWi00,rec_td,0,,,,,
player,201209170atl,den,McGaWi00,rec_long,10,,,,,
player,201209170atl,den,McGaWi00,fumbles,0,,,,,
player,201209170atl,den,McGaWi00,fumbles_lost,0,,,,,
player,201209170atl,den,BallLa00,pass_cmp,0,,,,,
player,201209170atl,den,BallLa00,pass_att,0,,,,,
player,201209170atl,den,BallLa00,pass_yds,0,,,,,
