game,2012,3,20120920,201209200car,nyg,"New York Giants",36,car,"Carolina Panthers",7
team,201209200car,nyg,First Downs,24,,,,,,
team,201209200car,car,First Downs,22,,,,,,
team,201209200car,nyg,Rush-Yds-TDs,29-125-2,,,,,,
team,201209200car,car,Rush-Yds-TDs,20-60-1,,,,,,
team,201209200car,nyg,Cmp-Att-Yd-TD-INT,28-37-292-1-0,,,,,,
team,201209200car,car,Cmp-Att-Yd-TD-INT,19-33-288-0-3,,,,,,
team,201209200car,nyg,Sacked-Yards,2-12,,,,,,
team,201209200car,car,Sacked-Yards,2-21,,,,,,
team,201209200car,nyg,Net Pass Yards,280,,,,,,
team,201209200car,car,Net Pass Yards,267,,,,,,
team,201209200car,nyg,Total Yards,405,,,,,,
team,201209200car,car,Total Yards,327,,,,,,
team,201209200car,nyg,Fumbles-Lost,1-0,,,,,,
team,201209200car,car,Fumbles-Lost,2-2,,,,,,
team,201209200car,nyg,Turnovers,0,,,,,,
team,201209200car,car,Turnovers,5,,,,,,
team,201209200car,nyg,Penalties-Yards,5-38,,,,,,
team,201209200car,car,Penalties-Yards,3-22,,,,,,
team,201209200car,nyg,Third Down Conv.,7-14,,,,,,
team,201209200car,car,Third Down Conv.,4-9,,,,,,
team,201209200car,nyg,Fourth Down Conv.,0-0,,,,,,
team,201209200car,car,Fourth Down Conv.,0-1,,,,,,
team,201209200car,nyg,Time of Possession,36:10,,,,,,
team,201209200car,car,Time of Possession,23:50,,,,,,
player,201209200car,nyg,MannEl00,pass_cmp,27,,,,,
player,201209200car,nyg,MannEl00,pass_att,35,,,,,
player,201209200car,nyg,MannEl00,pass_yds,288,,,,,
player,201209200car,nyg,MannEl00,pass_td,1,,,,,
player,201209200car,nyg,MannEl00,pass_int,0,,,,,
player,201209200car,nyg,MannEl00,pass_sacked,1,,,,,
player,201209200car,nyg,MannEl00,pass_sacked_yds,6,,,,,
player,201209200car,nyg,MannEl00,pass_long,29,,,,,
player,201209200car,nyg,MannEl00,pass_rating,110.2,,,,,
player,201209200car,nyg,MannEl00,rush_att,2,,,,,
player,201209200car,nyg,MannEl00,rush_yds,5,,,,,
player,201209200car,nyg,MannEl00,rush_td,0,,,,,
player,201209200car,nyg,MannEl00,rush_long,4,,,,,
player,201209200car,nyg,MannEl00,targets,0,,,,,
player,201209200car,nyg,MannEl00,rec,0,,,,,
player,201209200car,nyg,MannEl00,rec_yds,0,,,,,
player,201209200car,nyg,MannEl00,rec_td,0,,,,,
player,201209200car,nyg,MannEl00,rec_long,0,,,,,
player,201209200car,nyg,MannEl00,fumbles,0,,,,,
player,201209200car,nyg,MannEl00,fumbles_lost,0,,,,,
player,201209200car,nyg,CarrDa00,pass_cmp,1,,,,,
player,201209200car,nyg,CarrDa00,pass_att,2,,,,,
player,201209200car,nyg,CarrDa00,pass_yds,4,,,,,
player,201209200car,nyg,CarrDa00,pass_td,0,,,,,
player,201209200car,nyg,CarrDa00,pass_int,0,,,,,
player,201209200car,nyg,CarrDa00,pass_sacked,1,,,,,
player,201209200car,nyg,CarrDa00,pass_sacked_yds,6,,,,,
player,201209200car,nyg,CarrDa00,pass_long,4,,,,,
player,201209200car,nyg,CarrDa00,pass_rating,56.2,,,,,
player,201209200car,nyg,CarrDa00,rush_att,0,,,,,
player,201209200car,nyg,CarrDa00,rush_yds,0,,,,,
player,201209200car,nyg,CarrDa00,rush_td,0,,,,,
player,201209200car,nyg,CarrDa00,rush_long,0,,,,,
player,201209200car,nyg,CarrDa00,targets,0,,,,,
player,201209200car,nyg,CarrDa00,rec,0,,,,,
player,201209200car,nyg,CarrDa00,rec_yds,0,,,,,
player,201209200car,nyg,CarrDa00,rec_td,0,,,,,
player,201209200car,nyg,CarrDa00,rec_long,0,,,,,
player,201209200car,nyg,CarrDa00,fumbles,1,,,,,
player,201209200car,nyg,CarrDa00,fumbles_lost,0,,,,,
player,201209200car,nyg,BrowAn03,pass_cmp,0,,,,,
player,201209200car,nyg,BrowAn03,pass_att,0,,,,,
