game,2012,6,20121014,201210140sea,nwe,"New England Patriots",23,sea,"Seattle Seahawks",24
team,201210140sea,nwe,First Downs,26,,,,,,
team,201210140sea,sea,First Downs,17,,,,,,
team,201210140sea,nwe,Rush-Yds-TDs,26-87-0,,,,,,
team,201210140sea,sea,Rush-Yds-TDs,26-85-0,,,,,,
team,201210140sea,nwe,Cmp-Att-Yd-TD-INT,36-58-395-2-2,,,,,,
team,201210140sea,sea,Cmp-Att-Yd-TD-INT,16-27-293-3-0,,,,,,
team,201210140sea,nwe,Sacked-Yards,1-7,,,,,,
team,201210140sea,sea,Sacked-Yards,2-10,,,,,,
team,201210140sea,nwe,Net Pass Yards,388,,,,,,
team,201210140sea,sea,Net Pass Yards,283,,,,,,
team,201210140sea,nwe,Total Yards,475,,,,,,
team,201210140sea,sea,Total Yards,368,,,,,,
team,201210140sea,nwe,Fumbles-Lost,0-0,,,,,,
team,201210140sea,sea,Fumbles-Lost,3-2,,,,,,
team,201210140sea,nwe,Turnovers,2,,,,,,
team,201210140sea,sea,Turnovers,2,,,,,,
team,201210140sea,nwe,Penalties-Yards,6-80,,,,,,
team,201210140sea,sea,Penalties-Yards,4-35,,,,,,
team,201210140sea,nwe,Third Down Conv.,8-18,,,,,,
team,201210140sea,sea,Third Down Conv.,4-12,,,,,,
team,201210140sea,nwe,Fourth Down Conv.,0-1,,,,,,
team,201210140sea,sea,Fourth Down Conv.,1-2,,,,,,
team,201210140sea,nwe,Time of Possession,34:00,,,,,,
team,201210140sea,sea,Time of Possession,26:00,,,,,,
player,201210140sea,nwe,BradTo00,pass_cmp,36,,,,,
player,201210140sea,nwe,BradTo00,pass_att,58,,,,,
player,201210140sea,nwe,BradTo00,pass_yds,395,,,,,
player,201210140sea,nwe,BradTo00,pass_td,2,,,,,
player,201210140sea,nwe,BradTo00,pass_int,2,,,,,
player,201210140sea,nwe,BradTo00,pass_sacked,1,,,,,
player,201210140sea,nwe,BradTo00,pass_sacked_yds,7,,,,,
player,201210140sea,nwe,BradTo00,pass_long,46,,,,,
player,201210140sea,nwe,BradTo00,pass_rating,79.3,,,,,
player,201210140sea,nwe,BradTo00,rush_att,0,,,,,
player,201210140sea,nwe,BradTo00,rush_yds,0,,,,,
player,201210140sea,nwe,BradTo00,rush_td,0,,,,,
player,201210140sea,nwe,BradTo00,rush_long,0,,,,,
player,201210140sea,nwe,BradTo00,targets,0,,,,,
player,201210140sea,nwe,BradTo00,rec,0,,,,,
player,201210140sea,nwe,BradTo00,rec_yds,0,,,,,
player,201210140sea,nwe,BradTo00,rec_td,0,,,,,
player,201210140sea,nwe,BradTo00,rec_long,0,,,,,
player,201210140sea,nwe,BradTo00,fumbles,0,,,,,
player,201210140sea,nwe,BradTo00,fumbles_lost,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_cmp,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_att,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_yds,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_td,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_int,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_sacked,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_long,0,,,,,
player,201210140sea,nwe,RidlSt00,pass_rating,,,,,,
player,201210140sea,nwe,RidlSt00,rush_att,16,,,,,
player,201210140sea,nwe,RidlSt00,rush_yds,34,,,,,
player,201210140sea,nwe,RidlSt00,rush_td,0,,,,,
player,201210140sea,nwe,RidlSt00,rush_long,6,,,,,
player,201210140sea,nwe,RidlSt00,targets,2,,,,,
player,201210140sea,nwe,RidlSt00,rec,1,,,,,
player,201210140sea,nwe,RidlSt00,rec_yds,0,,,,,
player,201210140sea,nwe,RidlSt00,rec_td,0,,,,,
player,201210140sea,nwe,RidlSt00,rec_long,0,,,,,
player,201210140sea,nwe,RidlSt00,fumbles,0,,,,,
player,201210140sea,nwe,RidlSt00,fumbles_lost,0,,,,,
player,201210140sea,nwe,BoldBr00,pass_cmp,0,,,,,
player,201210140sea,nwe,BoldBr00,pass_att,0,,,,,
player,201210140sea,nwe,BoldBr00,pass_yds,0,,,,,
player,201210140sea,nwe,BoldBr00,pass_td,0,,,,,
player,201210140sea,nwe,BoldBr00,pass_int,0,,,,,
