game,2012,13,20121202,201212020dal,phi,"Philadelphia Eagles",33,dal,"Dallas Cowboys",38
team,201212020dal,phi,First Downs,23,,,,,,
team,201212020dal,dal,First Downs,22,,,,,,
team,201212020dal,phi,Rush-Yds-TDs,26-183-2,,,,,,
team,201212020dal,dal,Rush-Yds-TDs,33-123-1,,,,,,
team,201212020dal,phi,Cmp-Att-Yd-TD-INT,22-34-251-1-0,,,,,,
team,201212020dal,dal,Cmp-Att-Yd-TD-INT,22-27-303-3-0,,,,,,
team,201212020dal,phi,Sacked-Yards,1-11,,,,,,
team,201212020dal,dal,Sacked-Yards,2-9,,,,,,
team,201212020dal,phi,Net Pass Yards,240,,,,,,
team,201212020dal,dal,Net Pass Yards,294,,,,,,
team,201212020dal,phi,Total Yards,423,,,,,,
team,201212020dal,dal,Total Yards,417,,,,,,
team,201212020dal,phi,Fumbles-Lost,2-1,,,,,,
team,201212020dal,dal,Fumbles-Lost,1-0,,,,,,
team,201212020dal,phi,Turnovers,1,,,,,,
team,201212020dal,dal,Turnovers,0,,,,,,
team,201212020dal,phi,Penalties-Yards,1-5,,,,,,
team,201212020dal,dal,Penalties-Yards,7-60,,,,,,
team,201212020dal,phi,Third Down Conv.,6-10,,,,,,
team,201212020dal,dal,Third Down Conv.,9-14,,,,,,
team,201212020dal,phi,Fourth Down Conv.,0-1,,,,,,
team,201212020dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201212020dal,phi,Time of Possession,26:42,,,,,,
team,201212020dal,dal,Time of Possession,33:18,,,,,,
player,201212020dal,phi,FoleNi00,pass_cmp,22,,,,,
player,201212020dal,phi,FoleNi00,pass_att,34,,,,,
player,201212020dal,phi,FoleNi00,pass_yds,251,,,,,
player,201212020dal,phi,FoleNi00,pass_td,1,,,,,
player,201212020dal,phi,FoleNi00,pass_int,0,,,,,
player,201212020dal,phi,FoleNi00,pass_sacked,1,,,,,
player,201212020dal,phi,FoleNi00,pass_sacked_yds,11,,,,,
player,201212020dal,phi,FoleNi00,pass_long,29,,,,,
player,201212020dal,phi,FoleNi00,pass_rating,96.6,,,,,
player,201212020dal,phi,FoleNi00,rush_att,0,,,,,
player,201212020dal,phi,FoleNi00,rush_yds,0,,,,,
player,201212020dal,phi,FoleNi00,rush_td,0,,,,,
player,201212020dal,phi,FoleNi00,rush_long,0,,,,,
player,201212020dal,phi,FoleNi00,targets,0,,,,,
player,201212020dal,phi,FoleNi00,rec,0,,,,,
player,201212020dal,phi,FoleNi00,rec_yds,0,,,,,
player,201212020dal,phi,FoleNi00,rec_td,0,,,,,
player,201212020dal,phi,FoleNi00,rec_long,0,,,,,
player,201212020dal,phi,FoleNi00,fumbles,1,,,,,
player,201212020dal,phi,FoleNi00,fumbles_lost,0,,,,,
player,201212020dal,phi,BrowBr02,pass_cmp,0,,,,,
player,201212020dal,phi,BrowBr02,pass_att,0,,,,,
player,201212020dal,phi,BrowBr02,pass_yds,0,,,,,
player,201212020dal,phi,BrowBr02,pass_td,0,,,,,
player,201212020dal,phi,BrowBr02,pass_int,0,,,,,
player,201212020dal,phi,BrowBr02,pass_sacked,0,,,,,
player,201212020dal,phi,BrowBr02,pass_sacked_yds,0,,,,,
player,201212020dal,phi,BrowBr02,pass_long,0,,,,,
player,201212020dal,phi,BrowBr02,pass_rating,,,,,,
player,201212020dal,phi,BrowBr02,rush_att,24,,,,,
player,201212020dal,phi,BrowBr02,rush_yds,169,,,,,
player,201212020dal,phi,BrowBr02,rush_td,2,,,,,
player,201212020dal,phi,BrowBr02,rush_long,39,,,,,
player,201212020dal,phi,BrowBr02,targets,5,,,,,
player,201212020dal,phi,BrowBr02,rec,4,,,,,
player,201212020dal,phi,BrowBr02,rec_yds,14,,,,,
