game,2012,9,20121104,201211040atl,dal,"Dallas Cowboys",13,atl,"Atlanta Falcons",19
team,201211040atl,dal,First Downs,18,,,,,,
team,201211040atl,atl,First Downs,21,,,,,,
team,201211040atl,dal,Rush-Yds-TDs,18-65-0,,,,,,
team,201211040atl,atl,Rush-Yds-TDs,26-123-1,,,,,,
team,201211040atl,dal,Cmp-Att-Yd-TD-INT,25-35-321-1-0,,,,,,
team,201211040atl,atl,Cmp-Att-Yd-TD-INT,24-34-342-0-0,,,,,,
team,201211040atl,dal,Sacked-Yards,1-9,,,,,,
team,201211040atl,atl,Sacked-Yards,3-12,,,,,,
team,201211040atl,dal,Net Pass Yards,312,,,,,,
team,201211040atl,atl,Net Pass Yards,330,,,,,,
team,201211040atl,dal,Total Yards,377,,,,,,
team,201211040atl,atl,Total Yards,453,,,,,,
team,201211040atl,dal,Fumbles-Lost,0-0,,,,,,
team,201211040atl,atl,Fumbles-Lost,1-0,,,,,,
team,201211040atl,dal,Turnovers,0,,,,,,
team,201211040atl,atl,Turnovers,0,,,,,,
team,201211040atl,dal,Penalties-Yards,7-50,,,,,,
team,201211040atl,atl,Penalties-Yards,2-15,,,,,,
team,201211040atl,dal,Third Down Conv.,3-10,,,,,,
team,201211040atl,atl,Third Down Conv.,7-14,,,,,,
team,201211040atl,dal,Fourth Down Conv.,0-0,,,,,,
team,201211040atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201211040atl,dal,Time of Possession,27:17,,,,,,
team,201211040atl,atl,Time of Possession,32:43,,,,,,
player,201211040atl,dal,RomoTo00,pass_cmp,25,,,,,
player,201211040atl,dal,RomoTo00,pass_att,35,,,,,
player,201211040atl,dal,RomoTo00,pass_yds,321,,,,,
player,201211040atl,dal,RomoTo00,pass_td,1,,,,,
player,201211040atl,dal,RomoTo00,pass_int,0,,,,,
player,201211040atl,dal,RomoTo00,pass_sacked,1,,,,,
player,201211040atl,dal,RomoTo00,pass_sacked_yds,9,,,,,
player,201211040atl,dal,RomoTo00,pass_long,65,,,,,
player,201211040atl,dal,RomoTo00,pass_rating,109.3,,,,,
player,201211040atl,dal,RomoTo00,rush_att,0,,,,,
player,201211040atl,dal,RomoTo00,rush_yds,0,,,,,
player,201211040atl,dal,RomoTo00,rush_td,0,,,,,
player,201211040atl,dal,RomoTo00,rush_long,0,,,,,
player,201211040atl,dal,RomoTo00,targets,0,,,,,
player,201211040atl,dal,RomoTo00,rec,0,,,,,
player,201211040atl,dal,RomoTo00,rec_yds,0,,,,,
player,201211040atl,dal,RomoTo00,rec_td,0,,,,,
player,201211040atl,dal,RomoTo00,rec_long,0,,,,,
player,201211040atl,dal,RomoTo00,fumbles,0,,,,,
player,201211040atl,dal,RomoTo00,fumbles_lost,0,,,,,
player,201211040atl,dal,JoneFe00,pass_cmp,0,,,,,
player,201211040atl,dal,JoneFe00,pass_att,0,,,,,
player,201211040atl,dal,JoneFe00,pass_yds,0,,,,,
player,201211040atl,dal,JoneFe00,pass_td,0,,,,,
player,201211040atl,dal,JoneFe00,pass_int,0,,,,,
player,201211040atl,dal,JoneFe00,pass_sacked,0,,,,,
player,201211040atl,dal,JoneFe00,pass_sacked_yds,0,,,,,
player,201211040atl,dal,JoneFe00,pass_long,0,,,,,
player,201211040atl,dal,JoneFe00,pass_rating,,,,,,
player,201211040atl,dal,JoneFe00,rush_att,9,,,,,
player,201211040atl,dal,JoneFe00,rush_yds,39,,,,,
player,201211040atl,dal,JoneFe00,rush_td,0,,,,,
player,201211040atl,dal,JoneFe00,rush_long,15,,,,,
player,201211040atl,dal,JoneFe00,targets,5,,,,,
player,201211040atl,dal,JoneFe00,rec,5,,,,,
player,201211040atl,dal,JoneFe00,rec_yds,70,,,,,
player,201211040atl,dal,JoneFe00,rec_td,0,,,,,
player,201211040atl,dal,JoneFe00,rec_long,39,,,,,
player,201211040atl,dal,JoneFe00,fumbles,0,,,,,
player,201211040atl,dal,JoneFe00,fumbles_lost,0,,,,,
player,201211040atl,dal,DunbLa00,pass_cmp,0,,,,,
player,201211040atl,dal,DunbLa00,pass_att,0,,,,,
player,201211040atl,dal,DunbLa00,pass_yds,0,,,,,
player,201211040atl,dal,DunbLa00,pass_td,0,,,,,
player,201211040atl,dal,DunbLa00,pass_int,0,,,,,
player,201211040atl,dal,DunbLa00,pass_sacked,0,,,,,
