game,2012,6,20121014,201210140tam,kan,"Kansas City Chiefs",10,tam,"Tampa Bay Buccaneers",38
team,201210140tam,kan,First Downs,15,,,,,,
team,201210140tam,tam,First Downs,19,,,,,,
team,201210140tam,kan,Rush-Yds-TDs,30-80-0,,,,,,
team,201210140tam,tam,Rush-Yds-TDs,24-145-1,,,,,,
team,201210140tam,kan,Cmp-Att-Yd-TD-INT,22-38-180-0-2,,,,,,
team,201210140tam,tam,Cmp-Att-Yd-TD-INT,15-26-328-3-1,,,,,,
team,201210140tam,kan,Sacked-Yards,0-0,,,,,,
team,201210140tam,tam,Sacked-Yards,1-10,,,,,,
team,201210140tam,kan,Net Pass Yards,180,,,,,,
team,201210140tam,tam,Net Pass Yards,318,,,,,,
team,201210140tam,kan,Total Yards,260,,,,,,
team,201210140tam,tam,Total Yards,463,,,,,,
team,201210140tam,kan,Fumbles-Lost,0-0,,,,,,
team,201210140tam,tam,Fumbles-Lost,2-1,,,,,,
team,201210140tam,kan,Turnovers,2,,,,,,
team,201210140tam,tam,Turnovers,2,,,,,,
team,201210140tam,kan,Penalties-Yards,7-55,,,,,,
team,201210140tam,tam,Penalties-Yards,6-33,,,,,,
team,201210140tam,kan,Third Down Conv.,6-17,,,,,,
team,201210140tam,tam,Third Down Conv.,4-9,,,,,,
team,201210140tam,kan,Fourth Down Conv.,1-3,,,,,,
team,201210140tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201210140tam,kan,Time of Possession,33:11,,,,,,
team,201210140tam,tam,Time of Possession,26:49,,,,,,
player,201210140tam,kan,QuinBr00,pass_cmp,22,,,,,
player,201210140tam,kan,QuinBr00,pass_att,38,,,,,
player,201210140tam,kan,QuinBr00,pass_yds,180,,,,,
player,201210140tam,kan,QuinBr00,pass_td,0,,,,,
player,201210140tam,kan,QuinBr00,pass_int,2,,,,,
player,201210140tam,kan,QuinBr00,pass_sacked,0,,,,,
player,201210140tam,kan,QuinBr00,pass_sacked_yds,0,,,,,
player,201210140tam,kan,QuinBr00,pass_long,19,,,,,
player,201210140tam,kan,QuinBr00,pass_rating,48.1,,,,,
player,201210140tam,kan,QuinBr00,rush_att,2,,,,,
player,201210140tam,kan,QuinBr00,rush_yds,11,,,,,
player,201210140tam,kan,QuinBr00,rush_td,0,,,,,
player,201210140tam,kan,QuinBr00,rush_long,9,,,,,
player,201210140tam,kan,QuinBr00,targets,0,,,,,
player,201210140tam,kan,QuinBr00,rec,0,,,,,
player,201210140tam,kan,QuinBr00,rec_yds,0,,,,,
player,201210140tam,kan,QuinBr00,rec_td,0,,,,,
player,201210140tam,kan,QuinBr00,rec_long,0,,,,,
player,201210140tam,kan,QuinBr00,fumbles,0,,,,,
player,201210140tam,kan,QuinBr00,fumbles_lost,0,,,,,
player,201210140tam,kan,CharJa00,pass_cmp,0,,,,,
