game,2012,16,20121223,201212230dal,nor,"New Orleans Saints",34,dal,"Dallas Cowboys",31
team,201212230dal,nor,First Downs,33,,,,,,
team,201212230dal,dal,First Downs,18,,,,,,
team,201212230dal,nor,Rush-Yds-TDs,38-116-1,,,,,,
team,201212230dal,dal,Rush-Yds-TDs,11-40-0,,,,,,
team,201212230dal,nor,Cmp-Att-Yd-TD-INT,37-53-446-3-0,,,,,,
team,201212230dal,dal,Cmp-Att-Yd-TD-INT,26-43-416-4-0,,,,,,
team,201212230dal,nor,Sacked-Yards,0-0,,,,,,
team,201212230dal,dal,Sacked-Yards,2-10,,,,,,
team,201212230dal,nor,Net Pass Yards,446,,,,,,
team,201212230dal,dal,Net Pass Yards,406,,,,,,
team,201212230dal,nor,Total Yards,562,,,,,,
team,201212230dal,dal,Total Yards,446,,,,,,
team,201212230dal,nor,Fumbles-Lost,2-0,,,,,,
team,201212230dal,dal,Fumbles-Lost,2-1,,,,,,
team,201212230dal,nor,Turnovers,0,,,,,,
team,201212230dal,dal,Turnovers,1,,,,,,
team,201212230dal,nor,Penalties-Yards,6-42,,,,,,
team,201212230dal,dal,Penalties-Yards,5-32,,,,,,
team,201212230dal,nor,Third Down Conv.,11-19,,,,,,
team,201212230dal,dal,Third Down Conv.,2-10,,,,,,
team,201212230dal,nor,Fourth Down Conv.,0-0,,,,,,
team,201212230dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201212230dal,nor,Time of Possession,41:59,,,,,,
team,201212230dal,dal,Time of Possession,22:28,,,,,,
player,201212230dal,nor,BreeDr00,pass_cmp,37,,,,,
player,201212230dal,nor,BreeDr00,pass_att,53,,,,,
player,201212230dal,nor,BreeDr00,pass_yds,446,,,,,
player,201212230dal,nor,BreeDr00,pass_td,3,,,,,
player,201212230dal,nor,BreeDr00,pass_int,0,,,,,
player,201212230dal,nor,BreeDr00,pass_sacked,0,,,,,
player,201212230dal,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201212230dal,nor,BreeDr00,pass_long,60,,,,,
player,201212230dal,nor,BreeDr00,pass_rating,114.2,,,,,
player,201212230dal,nor,BreeDr00,rush_att,1,,,,,
player,201212230dal,nor,BreeDr00,rush_yds,-1,,,,,
player,201212230dal,nor,BreeDr00,rush_td,0,,,,,
player,201212230dal,nor,BreeDr00,rush_long,-1,,,,,
player,201212230dal,nor,BreeDr00,targets,0,,,,,
player,201212230dal,nor,BreeDr00,rec,0,,,,,
player,201212230dal,nor,BreeDr00,rec_yds,0,,,,,
player,201212230dal,nor,BreeDr00,rec_td,0,,,,,
player,201212230dal,nor,BreeDr00,rec_long,0,,,,,
player,201212230dal,nor,BreeDr00,fumbles,0,,,,,
player,201212230dal,nor,BreeDr00,fumbles_lost,0,,,,,
player,201212230dal,nor,IngrMa01,pass_cmp,0,,,,,
player,201212230dal,nor,IngrMa01,pass_att,0,,,,,
