game,2012,13,20121202,201212020rav,pit,"Pittsburgh Steelers",23,rav,"Baltimore Ravens",20
team,201212020rav,pit,First Downs,19,,,,,,
team,201212020rav,rav,First Downs,19,,,,,,
team,201212020rav,pit,Rush-Yds-TDs,26-96-1,,,,,,
team,201212020rav,rav,Rush-Yds-TDs,21-111-1,,,,,,
team,201212020rav,pit,Cmp-Att-Yd-TD-INT,25-37-276-1-2,,,,,,
team,201212020rav,rav,Cmp-Att-Yd-TD-INT,16-34-188-1-1,,,,,,
team,201212020rav,pit,Sacked-Yards,2-6,,,,,,
team,201212020rav,rav,Sacked-Yards,3-11,,,,,,
team,201212020rav,pit,Net Pass Yards,270,,,,,,
team,201212020rav,rav,Net Pass Yards,177,,,,,,
team,201212020rav,pit,Total Yards,366,,,,,,
team,201212020rav,rav,Total Yards,288,,,,,,
team,201212020rav,pit,Fumbles-Lost,2-1,,,,,,
team,201212020rav,rav,Fumbles-Lost,1-1,,,,,,
team,201212020rav,pit,Turnovers,3,,,,,,
team,201212020rav,rav,Turnovers,2,,,,,,
team,201212020rav,pit,Penalties-Yards,4-50,,,,,,
team,201212020rav,rav,Penalties-Yards,8-70,,,,,,
team,201212020rav,pit,Third Down Conv.,5-13,,,,,,
team,201212020rav,rav,Third Down Conv.,3-11,,,,,,
team,201212020rav,pit,Fourth Down Conv.,0-0,,,,,,
team,201212020rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201212020rav,pit,Time of Possession,34:21,,,,,,
team,201212020rav,rav,Time of Possession,25:39,,,,,,
player,201212020rav,pit,BatcCh00,pass_cmp,25,,,,,
player,201212020rav,pit,BatcCh00,pass_att,36,,,,,
player,201212020rav,pit,BatcCh00,pass_yds,276,,,,,
player,201212020rav,pit,BatcCh00,pass_td,1,,,,,
player,201212020rav,pit,BatcCh00,pass_int,1,,,,,
player,201212020rav,pit,BatcCh00,pass_sacked,2,,,,,
player,201212020rav,pit,BatcCh00,pass_sacked_yds,6,,,,,
player,201212020rav,pit,BatcCh00,pass_long,43,,,,,
player,201212020rav,pit,BatcCh00,pass_rating,89.6,,,,,
player,201212020rav,pit,BatcCh00,rush_att,0,,,,,
player,201212020rav,pit,BatcCh00,rush_yds,0,,,,,
player,201212020rav,pit,BatcCh00,rush_td,0,,,,,
player,201212020rav,pit,BatcCh00,rush_long,0,,,,,
player,201212020rav,pit,BatcCh00,targets,0,,,,,
player,201212020rav,pit,BatcCh00,rec,0,,,,,
player,201212020rav,pit,BatcCh00,rec_yds,0,,,,,
player,201212020rav,pit,BatcCh00,rec_td,0,,,,,
player,201212020rav,pit,BatcCh00,rec_long,0,,,,,
player,201212020rav,pit,BatcCh00,fumbles,1,,,,,
player,201212020rav,pit,BatcCh00,fumbles_lost,0,,,,,
player,201212020rav,pit,BrowAn04,pass_cmp,0,,,,,
player,201212020rav,pit,BrowAn04,pass_att,1,,,,,
player,201212020rav,pit,BrowAn04,pass_yds,0,,,,,
player,201212020rav,pit,BrowAn04,pass_td,0,,,,,
player,201212020rav,pit,BrowAn04,pass_int,1,,,,,
player,201212020rav,pit,BrowAn04,pass_sacked,0,,,,,
player,201212020rav,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201212020rav,pit,BrowAn04,pass_long,0,,,,,
player,201212020rav,pit,BrowAn04,pass_rating,0.0,,,,,
player,201212020rav,pit,BrowAn04,rush_att,1,,,,,
player,201212020rav,pit,BrowAn04,rush_yds,4,,,,,
player,201212020rav,pit,BrowAn04,rush_td,0,,,,,
player,201212020rav,pit,BrowAn04,rush_long,4,,,,,
player,201212020rav,pit,BrowAn04,targets,10,,,,,
player,201212020rav,pit,BrowAn04,rec,5,,,,,
player,201212020rav,pit,BrowAn04,rec_yds,58,,,,,
player,201212020rav,pit,BrowAn04,rec_td,0,,,,,
player,201212020rav,pit,BrowAn04,rec_long,34,,,,,
player,201212020rav,pit,BrowAn04,fumbles,0,,,,,
player,201212020rav,pit,BrowAn04,fumbles_lost,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_cmp,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_att,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_yds,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_td,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_int,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_sacked,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_sacked_yds,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_long,0,,,,,
player,201212020rav,pit,DwyeJo00,pass_rating,,,,,,
player,201212020rav,pit,DwyeJo00,rush_att,16,,,,,
player,201212020rav,pit,DwyeJo00,rush_yds,49,,,,,
player,201212020rav,pit,DwyeJo00,rush_td,1,,,,,
player,201212020rav,pit,DwyeJo00,rush_long,16,,,,,
player,201212020rav,pit,DwyeJo00,targets,4,,,,,
player,201212020rav,pit,DwyeJo00,rec,3,,,,,
player,201212020rav,pit,DwyeJo00,rec_yds,8,,,,,
