game,2012,2,20120916,201209160sea,dal,"Dallas Cowboys",7,sea,"Seattle Seahawks",27
team,201209160sea,dal,First Downs,17,,,,,,
team,201209160sea,sea,First Downs,20,,,,,,
team,201209160sea,dal,Rush-Yds-TDs,16-49-0,,,,,,
team,201209160sea,sea,Rush-Yds-TDs,41-182-1,,,,,,
team,201209160sea,dal,Cmp-Att-Yd-TD-INT,23-40-251-1-1,,,,,,
team,201209160sea,sea,Cmp-Att-Yd-TD-INT,15-20-151-1-0,,,,,,
team,201209160sea,dal,Sacked-Yards,1-4,,,,,,
team,201209160sea,sea,Sacked-Yards,2-18,,,,,,
team,201209160sea,dal,Net Pass Yards,247,,,,,,
team,201209160sea,sea,Net Pass Yards,133,,,,,,
team,201209160sea,dal,Total Yards,296,,,,,,
team,201209160sea,sea,Total Yards,315,,,,,,
team,201209160sea,dal,Fumbles-Lost,4-1,,,,,,
team,201209160sea,sea,Fumbles-Lost,0-0,,,,,,
team,201209160sea,dal,Turnovers,2,,,,,,
team,201209160sea,sea,Turnovers,0,,,,,,
team,201209160sea,dal,Penalties-Yards,5-47,,,,,,
team,201209160sea,sea,Penalties-Yards,5-35,,,,,,
team,201209160sea,dal,Third Down Conv.,7-13,,,,,,
team,201209160sea,sea,Third Down Conv.,5-14,,,,,,
team,201209160sea,dal,Fourth Down Conv.,0-0,,,,,,
team,201209160sea,sea,Fourth Down Conv.,1-2,,,,,,
team,201209160sea,dal,Time of Possession,25:21,,,,,,
team,201209160sea,sea,Time of Possession,34:39,,,,,,
player,201209160sea,dal,RomoTo00,pass_cmp,23,,,,,
player,201209160sea,dal,RomoTo00,pass_att,40,,,,,
player,201209160sea,dal,RomoTo00,pass_yds,251,,,,,
player,201209160sea,dal,RomoTo00,pass_td,1,,,,,
player,201209160sea,dal,RomoTo00,pass_int,1,,,,,
player,201209160sea,dal,RomoTo00,pass_sacked,1,,,,,
player,201209160sea,dal,RomoTo00,pass_sacked_yds,4,,,,,
player,201209160sea,dal,RomoTo00,pass_long,26,,,,,
player,201209160sea,dal,RomoTo00,pass_rating,74.1,,,,,
player,201209160sea,dal,RomoTo00,rush_att,2,,,,,
player,201209160sea,dal,RomoTo00,rush_yds,-1,,,,,
player,201209160sea,dal,RomoTo00,rush_td,0,,,,,
