game,2012,1,20120909,201209090nor,was,"Washington Redskins",40,nor,"New Orleans Saints",32
team,201209090nor,was,First Downs,22,,,,,,
team,201209090nor,nor,First Downs,24,,,,,,
team,201209090nor,was,Rush-Yds-TDs,43-153-2,,,,,,
team,201209090nor,nor,Rush-Yds-TDs,10-32-0,,,,,,
team,201209090nor,was,Cmp-Att-Yd-TD-INT,19-26-320-2-0,,,,,,
team,201209090nor,nor,Cmp-Att-Yd-TD-INT,24-52-339-3-2,,,,,,
team,201209090nor,was,Sacked-Yards,2-14,,,,,,
team,201209090nor,nor,Sacked-Yards,2-13,,,,,,
team,201209090nor,was,Net Pass Yards,306,,,,,,
team,201209090nor,nor,Net Pass Yards,326,,,,,,
team,201209090nor,was,Total Yards,459,,,,,,
team,201209090nor,nor,Total Yards,358,,,,,,
team,201209090nor,was,Fumbles-Lost,3-0,,,,,,
team,201209090nor,nor,Fumbles-Lost,1-1,,,,,,
team,201209090nor,was,Turnovers,0,,,,,,
team,201209090nor,nor,Turnovers,3,,,,,,
team,201209090nor,was,Penalties-Yards,12-127,,,,,,
team,201209090nor,nor,Penalties-Yards,12-107,,,,,,
team,201209090nor,was,Third Down Conv.,4-15,,,,,,
team,201209090nor,nor,Third Down Conv.,2-11,,,,,,
team,201209090nor,was,Fourth Down Conv.,1-1,,,,,,
team,201209090nor,nor,Fourth Down Conv.,2-2,,,,,,
team,201209090nor,was,Time of Possession,39:10,,,,,,
team,201209090nor,nor,Time of Possession,20:50,,,,,,
player,201209090nor,was,GrifRo01,pass_cmp,19,,,,,
player,201209090nor,was,GrifRo01,pass_att,26,,,,,
player,201209090nor,was,GrifRo01,pass_yds,320,,,,,
player,201209090nor,was,GrifRo01,pass_td,2,,,,,
player,201209090nor,was,GrifRo01,pass_int,0,,,,,
player,201209090nor,was,GrifRo01,pass_sacked,2,,,,,
player,201209090nor,was,GrifRo01,pass_sacked_yds,14,,,,,
player,201209090nor,was,GrifRo01,pass_long,88,,,,,
player,201209090nor,was,GrifRo01,pass_rating,139.9,,,,,
player,201209090nor,was,GrifRo01,rush_att,9,,,,,
player,201209090nor,was,GrifRo01,rush_yds,42,,,,,
player,201209090nor,was,GrifRo01,rush_td,0,,,,,
player,201209090nor,was,GrifRo01,rush_long,12,,,,,
player,201209090nor,was,GrifRo01,targets,0,,,,,
player,201209090nor,was,GrifRo01,rec,0,,,,,
player,201209090nor,was,GrifRo01,rec_yds,0,,,,,
player,201209090nor,was,GrifRo01,rec_td,0,,,,,
player,201209090nor,was,GrifRo01,rec_long,0,,,,,
player,201209090nor,was,GrifRo01,fumbles,1,,,,,
player,201209090nor,was,GrifRo01,fumbles_lost,0,,,,,
player,201209090nor,was,MorrAl00,pass_cmp,0,,,,,
player,201209090nor,was,MorrAl00,pass_att,0,,,,,
player,201209090nor,was,MorrAl00,pass_yds,0,,,,,
player,201209090nor,was,MorrAl00,pass_td,0,,,,,
player,201209090nor,was,MorrAl00,pass_int,0,,,,,
player,201209090nor,was,MorrAl00,pass_sacked,0,,,,,
player,201209090nor,was,MorrAl00,pass_sacked_yds,0,,,,,
player,201209090nor,was,MorrAl00,pass_long,0,,,,,
player,201209090nor,was,MorrAl00,pass_rating,,,,,,
player,201209090nor,was,MorrAl00,rush_att,28,,,,,
player,201209090nor,was,MorrAl00,rush_yds,96,,,,,
player,201209090nor,was,MorrAl00,rush_td,2,,,,,
player,201209090nor,was,MorrAl00,rush_long,18,,,,,
player,201209090nor,was,MorrAl00,targets,0,,,,,
player,201209090nor,was,MorrAl00,rec,0,,,,,
player,201209090nor,was,MorrAl00,rec_yds,0,,,,,
player,201209090nor,was,MorrAl00,rec_td,0,,,,,
player,201209090nor,was,MorrAl00,rec_long,0,,,,,
player,201209090nor,was,MorrAl00,fumbles,0,,,,,
player,201209090nor,was,MorrAl00,fumbles_lost,0,,,,,
player,201209090nor,was,RoysEv00,pass_cmp,0,,,,,
player,201209090nor,was,RoysEv00,pass_att,0,,,,,
player,201209090nor,was,RoysEv00,pass_yds,0,,,,,
player,201209090nor,was,RoysEv00,pass_td,0,,,,,
player,201209090nor,was,RoysEv00,pass_int,0,,,,,
player,201209090nor,was,RoysEv00,pass_sacked,0,,,,,
player,201209090nor,was,RoysEv00,pass_sacked_yds,0,,,,,
player,201209090nor,was,RoysEv00,pass_long,0,,,,,
player,201209090nor,was,RoysEv00,pass_rating,,,,,,
player,201209090nor,was,RoysEv00,rush_att,2,,,,,
player,201209090nor,was,RoysEv00,rush_yds,10,,,,,
player,201209090nor,was,RoysEv00,rush_td,0,,,,,
player,201209090nor,was,RoysEv00,rush_long,8,,,,,
player,201209090nor,was,RoysEv00,targets,0,,,,,
player,201209090nor,was,RoysEv00,rec,0,,,,,
player,201209090nor,was,RoysEv00,rec_yds,0,,,,,
player,201209090nor,was,RoysEv00,rec_td,0,,,,,
player,201209090nor,was,RoysEv00,rec_long,0,,,,,
