game,2012,3,20120923,201209230dal,tam,"Tampa Bay Buccaneers",10,dal,"Dallas Cowboys",16
team,201209230dal,tam,First Downs,12,,,,,,
team,201209230dal,dal,First Downs,14,,,,,,
team,201209230dal,tam,Rush-Yds-TDs,25-75-0,,,,,,
team,201209230dal,dal,Rush-Yds-TDs,23-38-1,,,,,,
team,201209230dal,tam,Cmp-Att-Yd-TD-INT,10-28-110-1-1,,,,,,
team,201209230dal,dal,Cmp-Att-Yd-TD-INT,25-39-283-0-1,,,,,,
team,201209230dal,tam,Sacked-Yards,2-19,,,,,,
team,201209230dal,dal,Sacked-Yards,4-24,,,,,,
team,201209230dal,tam,Net Pass Yards,91,,,,,,
team,201209230dal,dal,Net Pass Yards,259,,,,,,
team,201209230dal,tam,Total Yards,166,,,,,,
team,201209230dal,dal,Total Yards,297,,,,,,
team,201209230dal,tam,Fumbles-Lost,3-1,,,,,,
team,201209230dal,dal,Fumbles-Lost,2-2,,,,,,
team,201209230dal,tam,Turnovers,2,,,,,,
team,201209230dal,dal,Turnovers,3,,,,,,
team,201209230dal,tam,Penalties-Yards,10-69,,,,,,
team,201209230dal,dal,Penalties-Yards,13-105,,,,,,
team,201209230dal,tam,Third Down Conv.,3-15,,,,,,
team,201209230dal,dal,Third Down Conv.,5-16,,,,,,
team,201209230dal,tam,Fourth Down Conv.,2-2,,,,,,
team,201209230dal,dal,Fourth Down Conv.,0-1,,,,,,
team,201209230dal,tam,Time of Possession,26:56,,,,,,
team,201209230dal,dal,Time of Possession,33:04,,,,,,
player,201209230dal,tam,FreeJo00,pass_cmp,10,,,,,
player,201209230dal,tam,FreeJo00,pass_att,28,,,,,
player,201209230dal,tam,FreeJo00,pass_yds,110,,,,,
player,201209230dal,tam,FreeJo00,pass_td,1,,,,,
player,201209230dal,tam,FreeJo00,pass_int,1,,,,,
player,201209230dal,tam,FreeJo00,pass_sacked,2,,,,,
player,201209230dal,tam,FreeJo00,pass_sacked_yds,19,,,,,
player,201209230dal,tam,FreeJo00,pass_long,29,,,,,
player,201209230dal,tam,FreeJo00,pass_rating,45.2,,,,,
player,201209230dal,tam,FreeJo00,rush_att,1,,,,,
player,201209230dal,tam,FreeJo00,rush_yds,1,,,,,
player,201209230dal,tam,FreeJo00,rush_td,0,,,,,
player,201209230dal,tam,FreeJo00,rush_long,1,,,,,
player,201209230dal,tam,FreeJo00,targets,0,,,,,
player,201209230dal,tam,FreeJo00,rec,0,,,,,
player,201209230dal,tam,FreeJo00,rec_yds,0,,,,,
player,201209230dal,tam,FreeJo00,rec_td,0,,,,,
player,201209230dal,tam,FreeJo00,rec_long,0,,,,,
player,201209230dal,tam,FreeJo00,fumbles,2,,,,,
player,201209230dal,tam,FreeJo00,fumbles_lost,0,,,,,
player,201209230dal,tam,MartDo00,pass_cmp,0,,,,,
player,201209230dal,tam,MartDo00,pass_att,0,,,,,
player,201209230dal,tam,MartDo00,pass_yds,0,,,,,
player,201209230dal,tam,MartDo00,pass_td,0,,,,,
player,201209230dal,tam,MartDo00,pass_int,0,,,,,
player,201209230dal,tam,MartDo00,pass_sacked,0,,,,,
player,201209230dal,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201209230dal,tam,MartDo00,pass_long,0,,,,,
player,201209230dal,tam,MartDo00,pass_rating,,,,,,
player,201209230dal,tam,MartDo00,rush_att,19,,,,,
player,201209230dal,tam,MartDo00,rush_yds,53,,,,,
player,201209230dal,tam,MartDo00,rush_td,0,,,,,
player,201209230dal,tam,MartDo00,rush_long,17,,,,,
player,201209230dal,tam,MartDo00,targets,3,,,,,
player,201209230dal,tam,MartDo00,rec,2,,,,,
player,201209230dal,tam,MartDo00,rec_yds,21,,,,,
