game,2012,17,20121230,201212300den,kan,"Kansas City Chiefs",3,den,"Denver Broncos",38
team,201212300den,kan,First Downs,8,,,,,,
team,201212300den,den,First Downs,32,,,,,,
team,201212300den,kan,Rush-Yds-TDs,28-93-0,,,,,,
team,201212300den,den,Rush-Yds-TDs,43-172-2,,,,,,
team,201212300den,kan,Cmp-Att-Yd-TD-INT,7-16-49-0-0,,,,,,
team,201212300den,den,Cmp-Att-Yd-TD-INT,25-33-316-3-0,,,,,,
team,201212300den,kan,Sacked-Yards,4-23,,,,,,
team,201212300den,den,Sacked-Yards,0-0,,,,,,
team,201212300den,kan,Net Pass Yards,26,,,,,,
team,201212300den,den,Net Pass Yards,316,,,,,,
team,201212300den,kan,Total Yards,119,,,,,,
team,201212300den,den,Total Yards,488,,,,,,
team,201212300den,kan,Fumbles-Lost,0-0,,,,,,
team,201212300den,den,Fumbles-Lost,1-1,,,,,,
team,201212300den,kan,Turnovers,0,,,,,,
team,201212300den,den,Turnovers,1,,,,,,
team,201212300den,kan,Penalties-Yards,5-32,,,,,,
team,201212300den,den,Penalties-Yards,5-30,,,,,,
team,201212300den,kan,Third Down Conv.,4-14,,,,,,
team,201212300den,den,Third Down Conv.,7-12,,,,,,
team,201212300den,kan,Fourth Down Conv.,0-0,,,,,,
team,201212300den,den,Fourth Down Conv.,0-0,,,,,,
team,201212300den,kan,Time of Possession,22:30,,,,,,
team,201212300den,den,Time of Possession,37:30,,,,,,
player,201212300den,kan,QuinBr00,pass_cmp,7,,,,,
player,201212300den,kan,QuinBr00,pass_att,16,,,,,
player,201212300den,kan,QuinBr00,pass_yds,49,,,,,
player,201212300den,kan,QuinBr00,pass_td,0,,,,,
player,201212300den,kan,QuinBr00,pass_int,0,,,,,
player,201212300den,kan,QuinBr00,pass_sacked,4,,,,,
player,201212300den,kan,QuinBr00,pass_sacked_yds,23,,,,,
player,201212300den,kan,QuinBr00,pass_long,16,,,,,
player,201212300den,kan,QuinBr00,pass_rating,51.3,,,,,
player,201212300den,kan,QuinBr00,rush_att,2,,,,,
player,201212300den,kan,QuinBr00,rush_yds,4,,,,,
player,201212300den,kan,QuinBr00,rush_td,0,,,,,
player,201212300den,kan,QuinBr00,rush_long,5,,,,,
player,201212300den,kan,QuinBr00,targets,0,,,,,
player,201212300den,kan,QuinBr00,rec,0,,,,,
player,201212300den,kan,QuinBr00,rec_yds,0,,,,,
player,201212300den,kan,QuinBr00,rec_td,0,,,,,
player,201212300den,kan,QuinBr00,rec_long,0,,,,,
player,201212300den,kan,QuinBr00,fumbles,0,,,,,
player,201212300den,kan,QuinBr00,fumbles_lost,0,,,,,
player,201212300den,kan,CharJa00,pass_cmp,0,,,,,
player,201212300den,kan,CharJa00,pass_att,0,,,,,
player,201212300den,kan,CharJa00,pass_yds,0,,,,,
player,201212300den,kan,CharJa00,pass_td,0,,,,,
player,201212300den,kan,CharJa00,pass_int,0,,,,,
player,201212300den,kan,CharJa00,pass_sacked,0,,,,,
player,201212300den,kan,CharJa00,pass_sacked_yds,0,,,,,
player,201212300den,kan,CharJa00,pass_long,0,,,,,
player,201212300den,kan,CharJa00,pass_rating,,,,,,
player,201212300den,kan,CharJa00,rush_att,14,,,,,
player,201212300den,kan,CharJa00,rush_yds,53,,,,,
player,201212300den,kan,CharJa00,rush_td,0,,,,,
player,201212300den,kan,CharJa00,rush_long,13,,,,,
player,201212300den,kan,CharJa00,targets,2,,,,,
player,201212300den,kan,CharJa00,rec,1,,,,,
player,201212300den,kan,CharJa00,rec_yds,14,,,,,
player,201212300den,kan,CharJa00,rec_td,0,,,,,
player,201212300den,kan,CharJa00,rec_long,14,,,,,
player,201212300den,kan,CharJa00,fumbles,0,,,,,
player,201212300den,kan,CharJa00,fumbles_lost,0,,,,,
player,201212300den,kan,DrauSh00,pass_cmp,0,,,,,
player,201212300den,kan,DrauSh00,pass_att,0,,,,,
player,201212300den,kan,DrauSh00,pass_yds,0,,,,,
player,201212300den,kan,DrauSh00,pass_td,0,,,,,
player,201212300den,kan,DrauSh00,pass_int,0,,,,,
player,201212300den,kan,DrauSh00,pass_sacked,0,,,,,
player,201212300den,kan,DrauSh00,pass_sacked_yds,0,,,,,
player,201212300den,kan,DrauSh00,pass_long,0,,,,,
player,201212300den,kan,DrauSh00,pass_rating,,,,,,
player,201212300den,kan,DrauSh00,rush_att,5,,,,,
player,201212300den,kan,DrauSh00,rush_yds,23,,,,,
player,201212300den,kan,DrauSh00,rush_td,0,,,,,
player,201212300den,kan,DrauSh00,rush_long,8,,,,,
