game,2012,14,20121209,201212090nyg,nor,"New Orleans Saints",27,nyg,"New York Giants",52
team,201212090nyg,nor,First Downs,22,,,,,,
team,201212090nyg,nyg,First Downs,24,,,,,,
team,201212090nyg,nor,Rush-Yds-TDs,24-142-1,,,,,,
team,201212090nyg,nyg,Rush-Yds-TDs,27-135-2,,,,,,
team,201212090nyg,nor,Cmp-Att-Yd-TD-INT,26-43-354-1-2,,,,,,
team,201212090nyg,nyg,Cmp-Att-Yd-TD-INT,22-35-259-4-2,,,,,,
team,201212090nyg,nor,Sacked-Yards,1-9,,,,,,
team,201212090nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201212090nyg,nor,Net Pass Yards,345,,,,,,
team,201212090nyg,nyg,Net Pass Yards,259,,,,,,
team,201212090nyg,nor,Total Yards,487,,,,,,
team,201212090nyg,nyg,Total Yards,394,,,,,,
team,201212090nyg,nor,Fumbles-Lost,2-2,,,,,,
team,201212090nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201212090nyg,nor,Turnovers,4,,,,,,
team,201212090nyg,nyg,Turnovers,2,,,,,,
team,201212090nyg,nor,Penalties-Yards,10-81,,,,,,
team,201212090nyg,nyg,Penalties-Yards,6-55,,,,,,
team,201212090nyg,nor,Third Down Conv.,5-13,,,,,,
team,201212090nyg,nyg,Third Down Conv.,5-11,,,,,,
team,201212090nyg,nor,Fourth Down Conv.,0-1,,,,,,
team,201212090nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201212090nyg,nor,Time of Possession,30:18,,,,,,
team,201212090nyg,nyg,Time of Possession,29:42,,,,,,
player,201212090nyg,nor,BreeDr00,pass_cmp,26,,,,,
player,201212090nyg,nor,BreeDr00,pass_att,43,,,,,
player,201212090nyg,nor,BreeDr00,pass_yds,354,,,,,
player,201212090nyg,nor,BreeDr00,pass_td,1,,,,,
player,201212090nyg,nor,BreeDr00,pass_int,2,,,,,
player,201212090nyg,nor,BreeDr00,pass_sacked,1,,,,,
player,201212090nyg,nor,BreeDr00,pass_sacked_yds,9,,,,,
player,201212090nyg,nor,BreeDr00,pass_long,62,,,,,
player,201212090nyg,nor,BreeDr00,pass_rating,75.1,,,,,
player,201212090nyg,nor,BreeDr00,rush_att,1,,,,,
player,201212090nyg,nor,BreeDr00,rush_yds,-1,,,,,
player,201212090nyg,nor,BreeDr00,rush_td,0,,,,,
player,201212090nyg,nor,BreeDr00,rush_long,-1,,,,,
player,201212090nyg,nor,BreeDr00,targets,0,,,,,
player,201212090nyg,nor,BreeDr00,rec,0,,,,,
player,201212090nyg,nor,BreeDr00,rec_yds,0,,,,,
player,201212090nyg,nor,BreeDr00,rec_td,0,,,,,
player,201212090nyg,nor,BreeDr00,rec_long,0,,,,,
player,201212090nyg,nor,BreeDr00,fumbles,0,,,,,
player,201212090nyg,nor,BreeDr00,fumbles_lost,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_cmp,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_att,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_yds,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_td,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_int,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_sacked,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_long,0,,,,,
player,201212090nyg,nor,IngrMa01,pass_rating,,,,,,
player,201212090nyg,nor,IngrMa01,rush_att,13,,,,,
player,201212090nyg,nor,IngrMa01,rush_yds,68,,,,,
player,201212090nyg,nor,IngrMa01,rush_td,0,,,,,
player,201212090nyg,nor,IngrMa01,rush_long,19,,,,,
player,201212090nyg,nor,IngrMa01,targets,0,,,,,
player,201212090nyg,nor,IngrMa01,rec,0,,,,,
player,201212090nyg,nor,IngrMa01,rec_yds,0,,,,,
player,201212090nyg,nor,IngrMa01,rec_td,0,,,,,
player,201212090nyg,nor,IngrMa01,rec_long,0,,,,,
player,201212090nyg,nor,IngrMa01,fumbles,0,,,,,
player,201212090nyg,nor,IngrMa01,fumbles_lost,0,,,,,
player,201212090nyg,nor,SproDa00,pass_cmp,0,,,,,
player,201212090nyg,nor,SproDa00,pass_att,0,,,,,
player,201212090nyg,nor,SproDa00,pass_yds,0,,,,,
player,201212090nyg,nor,SproDa00,pass_td,0,,,,,
player,201212090nyg,nor,SproDa00,pass_int,0,,,,,
player,201212090nyg,nor,SproDa00,pass_sacked,0,,,,,
player,201212090nyg,nor,SproDa00,pass_sacked_yds,0,,,,,
player,201212090nyg,nor,SproDa00,pass_long,0,,,,,
player,201212090nyg,nor,SproDa00,pass_rating,,,,,,
player,201212090nyg,nor,SproDa00,rush_att,5,,,,,
player,201212090nyg,nor,SproDa00,rush_yds,56,,,,,
player,201212090nyg,nor,SproDa00,rush_td,1,,,,,
player,201212090nyg,nor,SproDa00,rush_long,34,,,,,
player,201212090nyg,nor,SproDa00,targets,7,,,,,
player,201212090nyg,nor,SproDa00,rec,4,,,,,
player,201212090nyg,nor,SproDa00,rec_yds,28,,,,,
player,201212090nyg,nor,SproDa00,rec_td,1,,,,,
player,201212090nyg,nor,SproDa00,rec_long,10,,,,,
player,201212090nyg,nor,SproDa00,fumbles,0,,,,,
player,201212090nyg,nor,SproDa00,fumbles_lost,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_cmp,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_att,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_yds,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_td,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_int,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_sacked,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_long,0,,,,,
player,201212090nyg,nor,ThomPi00,pass_rating,,,,,,
player,201212090nyg,nor,ThomPi00,rush_att,5,,,,,
player,201212090nyg,nor,ThomPi00,rush_yds,19,,,,,
player,201212090nyg,nor,ThomPi00,rush_td,0,,,,,
player,201212090nyg,nor,ThomPi00,rush_long,6,,,,,
player,201212090nyg,nor,ThomPi00,targets,8,,,,,
player,201212090nyg,nor,ThomPi00,rec,7,,,,,
player,201212090nyg,nor,ThomPi00,rec_yds,57,,,,,
player,201212090nyg,nor,ThomPi00,rec_td,0,,,,,
player,201212090nyg,nor,ThomPi00,rec_long,12,,,,,
player,201212090nyg,nor,ThomPi00,fumbles,0,,,,,
player,201212090nyg,nor,ThomPi00,fumbles_lost,0,,,,,
player,201212090nyg,nor,MorgJo01,pass_cmp,0,,,,,
player,201212090nyg,nor,MorgJo01,pass_att,0,,,,,
player,201212090nyg,nor,MorgJo01,pass_yds,0,,,,,
