game,2012,16,20121223,201212230tam,ram,"St. Louis Rams",28,tam,"Tampa Bay Buccaneers",13
team,201212230tam,ram,First Downs,14,,,,,,
team,201212230tam,tam,First Downs,23,,,,,,
team,201212230tam,ram,Rush-Yds-TDs,27-89-1,,,,,,
team,201212230tam,tam,Rush-Yds-TDs,22-80-0,,,,,,
team,201212230tam,ram,Cmp-Att-Yd-TD-INT,13-27-196-2-1,,,,,,
team,201212230tam,tam,Cmp-Att-Yd-TD-INT,30-54-372-1-4,,,,,,
team,201212230tam,ram,Sacked-Yards,0-0,,,,,,
team,201212230tam,tam,Sacked-Yards,5-23,,,,,,
team,201212230tam,ram,Net Pass Yards,196,,,,,,
team,201212230tam,tam,Net Pass Yards,349,,,,,,
team,201212230tam,ram,Total Yards,285,,,,,,
team,201212230tam,tam,Total Yards,429,,,,,,
team,201212230tam,ram,Fumbles-Lost,1-1,,,,,,
team,201212230tam,tam,Fumbles-Lost,2-1,,,,,,
team,201212230tam,ram,Turnovers,2,,,,,,
team,201212230tam,tam,Turnovers,5,,,,,,
team,201212230tam,ram,Penalties-Yards,9-64,,,,,,
team,201212230tam,tam,Penalties-Yards,1-5,,,,,,
team,201212230tam,ram,Third Down Conv.,4-11,,,,,,
team,201212230tam,tam,Third Down Conv.,8-17,,,,,,
team,201212230tam,ram,Fourth Down Conv.,0-0,,,,,,
team,201212230tam,tam,Fourth Down Conv.,0-4,,,,,,
team,201212230tam,ram,Time of Possession,24:01,,,,,,
team,201212230tam,tam,Time of Possession,35:59,,,,,,
player,201212230tam,ram,BradSa00,pass_cmp,13,,,,,
player,201212230tam,ram,BradSa00,pass_att,27,,,,,
player,201212230tam,ram,BradSa00,pass_yds,196,,,,,
player,201212230tam,ram,BradSa00,pass_td,2,,,,,
player,201212230tam,ram,BradSa00,pass_int,1,,,,,
player,201212230tam,ram,BradSa00,pass_sacked,0,,,,,
player,201212230tam,ram,BradSa00,pass_sacked_yds,0,,,,,
player,201212230tam,ram,BradSa00,pass_long,80,,,,,
player,201212230tam,ram,BradSa00,pass_rating,81.7,,,,,
player,201212230tam,ram,BradSa00,rush_att,2,,,,,
player,201212230tam,ram,BradSa00,rush_yds,-1,,,,,
player,201212230tam,ram,BradSa00,rush_td,0,,,,,
player,201212230tam,ram,BradSa00,rush_long,0,,,,,
player,201212230tam,ram,BradSa00,targets,0,,,,,
player,201212230tam,ram,BradSa00,rec,0,,,,,
player,201212230tam,ram,BradSa00,rec_yds,0,,,,,
player,201212230tam,ram,BradSa00,rec_td,0,,,,,
player,201212230tam,ram,BradSa00,rec_long,0,,,,,
player,201212230tam,ram,BradSa00,fumbles,0,,,,,
player,201212230tam,ram,BradSa00,fumbles_lost,0,,,,,
player,201212230tam,ram,JackSt00,pass_cmp,0,,,,,
player,201212230tam,ram,JackSt00,pass_att,0,,,,,
player,201212230tam,ram,JackSt00,pass_yds,0,,,,,
player,201212230tam,ram,JackSt00,pass_td,0,,,,,
player,201212230tam,ram,JackSt00,pass_int,0,,,,,
player,201212230tam,ram,JackSt00,pass_sacked,0,,,,,
player,201212230tam,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201212230tam,ram,JackSt00,pass_long,0,,,,,
player,201212230tam,ram,JackSt00,pass_rating,,,,,,
player,201212230tam,ram,JackSt00,rush_att,19,,,,,
player,201212230tam,ram,JackSt00,rush_yds,81,,,,,
player,201212230tam,ram,JackSt00,rush_td,1,,,,,
player,201212230tam,ram,JackSt00,rush_long,19,,,,,
player,201212230tam,ram,JackSt00,targets,2,,,,,
player,201212230tam,ram,JackSt00,rec,1,,,,,
player,201212230tam,ram,JackSt00,rec_yds,-4,,,,,
player,201212230tam,ram,JackSt00,rec_td,0,,,,,
player,201212230tam,ram,JackSt00,rec_long,-4,,,,,
player,201212230tam,ram,JackSt00,fumbles,0,,,,,
player,201212230tam,ram,JackSt00,fumbles_lost,0,,,,,
player,201212230tam,ram,RichDa00,pass_cmp,0,,,,,
player,201212230tam,ram,RichDa00,pass_att,0,,,,,
player,201212230tam,ram,RichDa00,pass_yds,0,,,,,
player,201212230tam,ram,RichDa00,pass_td,0,,,,,
player,201212230tam,ram,RichDa00,pass_int,0,,,,,
player,201212230tam,ram,RichDa00,pass_sacked,0,,,,,
player,201212230tam,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201212230tam,ram,RichDa00,pass_long,0,,,,,
player,201212230tam,ram,RichDa00,pass_rating,,,,,,
player,201212230tam,ram,RichDa00,rush_att,5,,,,,
player,201212230tam,ram,RichDa00,rush_yds,9,,,,,
player,201212230tam,ram,RichDa00,rush_td,0,,,,,
player,201212230tam,ram,RichDa00,rush_long,6,,,,,
player,201212230tam,ram,RichDa00,targets,1,,,,,
player,201212230tam,ram,RichDa00,rec,0,,,,,
player,201212230tam,ram,RichDa00,rec_yds,0,,,,,
player,201212230tam,ram,RichDa00,rec_td,0,,,,,
player,201212230tam,ram,RichDa00,rec_long,0,,,,,
player,201212230tam,ram,RichDa00,fumbles,0,,,,,
player,201212230tam,ram,RichDa00,fumbles_lost,0,,,,,
player,201212230tam,ram,KendLa00,pass_cmp,0,,,,,
player,201212230tam,ram,KendLa00,pass_att,0,,,,,
player,201212230tam,ram,KendLa00,pass_yds,0,,,,,
player,201212230tam,ram,KendLa00,pass_td,0,,,,,
player,201212230tam,ram,KendLa00,pass_int,0,,,,,
player,201212230tam,ram,KendLa00,pass_sacked,0,,,,,
player,201212230tam,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201212230tam,ram,KendLa00,pass_long,0,,,,,
player,201212230tam,ram,KendLa00,pass_rating,,,,,,
player,201212230tam,ram,KendLa00,rush_att,0,,,,,
player,201212230tam,ram,KendLa00,rush_yds,0,,,,,
player,201212230tam,ram,KendLa00,rush_td,0,,,,,
player,201212230tam,ram,KendLa00,rush_long,0,,,,,
player,201212230tam,ram,KendLa00,targets,5,,,,,
player,201212230tam,ram,KendLa00,rec,4,,,,,
player,201212230tam,ram,KendLa00,rec_yds,119,,,,,
player,201212230tam,ram,KendLa00,rec_td,1,,,,,
player,201212230tam,ram,KendLa00,rec_long,80,,,,,
player,201212230tam,ram,KendLa00,fumbles,0,,,,,
player,201212230tam,ram,KendLa00,fumbles_lost,0,,,,,
player,201212230tam,ram,GiveCh00,pass_cmp,0,,,,,
