game,2012,16,20121223,201212230rav,nyg,"New York Giants",14,rav,"Baltimore Ravens",33
team,201212230rav,nyg,First Downs,11,,,,,,
team,201212230rav,rav,First Downs,25,,,,,,
team,201212230rav,nyg,Rush-Yds-TDs,14-67-1,,,,,,
team,201212230rav,rav,Rush-Yds-TDs,45-224-1,,,,,,
team,201212230rav,nyg,Cmp-Att-Yd-TD-INT,14-28-150-1-0,,,,,,
team,201212230rav,rav,Cmp-Att-Yd-TD-INT,25-36-309-2-0,,,,,,
team,201212230rav,nyg,Sacked-Yards,3-31,,,,,,
team,201212230rav,rav,Sacked-Yards,0-0,,,,,,
team,201212230rav,nyg,Net Pass Yards,119,,,,,,
team,201212230rav,rav,Net Pass Yards,309,,,,,,
team,201212230rav,nyg,Total Yards,186,,,,,,
team,201212230rav,rav,Total Yards,533,,,,,,
team,201212230rav,nyg,Fumbles-Lost,0-0,,,,,,
team,201212230rav,rav,Fumbles-Lost,0-0,,,,,,
team,201212230rav,nyg,Turnovers,0,,,,,,
team,201212230rav,rav,Turnovers,0,,,,,,
team,201212230rav,nyg,Penalties-Yards,6-52,,,,,,
team,201212230rav,rav,Penalties-Yards,9-92,,,,,,
team,201212230rav,nyg,Third Down Conv.,2-10,,,,,,
team,201212230rav,rav,Third Down Conv.,11-18,,,,,,
team,201212230rav,nyg,Fourth Down Conv.,0-0,,,,,,
team,201212230rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201212230rav,nyg,Time of Possession,20:39,,,,,,
team,201212230rav,rav,Time of Possession,39:21,,,,,,
player,201212230rav,nyg,MannEl00,pass_cmp,14,,,,,
player,201212230rav,nyg,MannEl00,pass_att,28,,,,,
player,201212230rav,nyg,MannEl00,pass_yds,150,,,,,
player,201212230rav,nyg,MannEl00,pass_td,1,,,,,
player,201212230rav,nyg,MannEl00,pass_int,0,,,,,
player,201212230rav,nyg,MannEl00,pass_sacked,3,,,,,
player,201212230rav,nyg,MannEl00,pass_sacked_yds,31,,,,,
player,201212230rav,nyg,MannEl00,pass_long,43,,,,,
