game,2012,15,20121216,201212160crd,det,"Detroit Lions",10,crd,"Arizona Cardinals",38
team,201212160crd,det,First Downs,18,,,,,,
team,201212160crd,crd,First Downs,12,,,,,,
team,201212160crd,det,Rush-Yds-TDs,22-84-1,,,,,,
team,201212160crd,crd,Rush-Yds-TDs,29-99-3,,,,,,
team,201212160crd,det,Cmp-Att-Yd-TD-INT,24-50-246-0-3,,,,,,
team,201212160crd,crd,Cmp-Att-Yd-TD-INT,14-21-104-0-1,,,,,,
team,201212160crd,det,Sacked-Yards,2-18,,,,,,
team,201212160crd,crd,Sacked-Yards,1-7,,,,,,
team,201212160crd,det,Net Pass Yards,228,,,,,,
team,201212160crd,crd,Net Pass Yards,97,,,,,,
team,201212160crd,det,Total Yards,312,,,,,,
team,201212160crd,crd,Total Yards,196,,,,,,
team,201212160crd,det,Fumbles-Lost,1-1,,,,,,
team,201212160crd,crd,Fumbles-Lost,1-0,,,,,,
team,201212160crd,det,Turnovers,4,,,,,,
team,201212160crd,crd,Turnovers,1,,,,,,
team,201212160crd,det,Penalties-Yards,7-63,,,,,,
team,201212160crd,crd,Penalties-Yards,6-50,,,,,,
team,201212160crd,det,Third Down Conv.,6-18,,,,,,
team,201212160crd,crd,Third Down Conv.,2-12,,,,,,
team,201212160crd,det,Fourth Down Conv.,0-2,,,,,,
team,201212160crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201212160crd,det,Time of Possession,31:14,,,,,,
team,201212160crd,crd,Time of Possession,28:46,,,,,,
player,201212160crd,det,StafMa00,pass_cmp,24,,,,,
player,201212160crd,det,StafMa00,pass_att,50,,,,,
player,201212160crd,det,StafMa00,pass_yds,246,,,,,
player,201212160crd,det,StafMa00,pass_td,0,,,,,
player,201212160crd,det,StafMa00,pass_int,3,,,,,
player,201212160crd,det,StafMa00,pass_sacked,2,,,,,
player,201212160crd,det,StafMa00,pass_sacked_yds,18,,,,,
player,201212160crd,det,StafMa00,pass_long,30,,,,,
player,201212160crd,det,StafMa00,pass_rating,37.6,,,,,
player,201212160crd,det,StafMa00,rush_att,0,,,,,
player,201212160crd,det,StafMa00,rush_yds,0,,,,,
player,201212160crd,det,StafMa00,rush_td,0,,,,,
player,201212160crd,det,StafMa00,rush_long,0,,,,,
player,201212160crd,det,StafMa00,targets,0,,,,,
player,201212160crd,det,StafMa00,rec,0,,,,,
player,201212160crd,det,StafMa00,rec_yds,0,,,,,
player,201212160crd,det,StafMa00,rec_td,0,,,,,
player,201212160crd,det,StafMa00,rec_long,0,,,,,
player,201212160crd,det,StafMa00,fumbles,0,,,,,
player,201212160crd,det,StafMa00,fumbles_lost,0,,,,,
player,201212160crd,det,LeshMi00,pass_cmp,0,,,,,
player,201212160crd,det,LeshMi00,pass_att,0,,,,,
player,201212160crd,det,LeshMi00,pass_yds,0,,,,,
player,201212160crd,det,LeshMi00,pass_td,0,,,,,
player,201212160crd,det,LeshMi00,pass_int,0,,,,,
player,201212160crd,det,LeshMi00,pass_sacked,0,,,,,
player,201212160crd,det,LeshMi00,pass_sacked_yds,0,,,,,
player,201212160crd,det,LeshMi00,pass_long,0,,,,,
player,201212160crd,det,LeshMi00,pass_rating,,,,,,
player,201212160crd,det,LeshMi00,rush_att,14,,,,,
