game,2012,1,20120909,201209090det,ram,"St. Louis Rams",23,det,"Detroit Lions",27
team,201209090det,ram,First Downs,14,,,,,,
team,201209090det,det,First Downs,28,,,,,,
team,201209090det,ram,Rush-Yds-TDs,26-77-0,,,,,,
team,201209090det,det,Rush-Yds-TDs,18-83-2,,,,,,
team,201209090det,ram,Cmp-Att-Yd-TD-INT,17-25-198-1-0,,,,,,
team,201209090det,det,Cmp-Att-Yd-TD-INT,32-48-355-1-3,,,,,,
team,201209090det,ram,Sacked-Yards,4-25,,,,,,
team,201209090det,det,Sacked-Yards,1-9,,,,,,
team,201209090det,ram,Net Pass Yards,173,,,,,,
team,201209090det,det,Net Pass Yards,346,,,,,,
team,201209090det,ram,Total Yards,250,,,,,,
team,201209090det,det,Total Yards,429,,,,,,
team,201209090det,ram,Fumbles-Lost,2-0,,,,,,
team,201209090det,det,Fumbles-Lost,0-0,,,,,,
team,201209090det,ram,Turnovers,0,,,,,,
team,201209090det,det,Turnovers,3,,,,,,
team,201209090det,ram,Penalties-Yards,7-65,,,,,,
team,201209090det,det,Penalties-Yards,3-27,,,,,,
team,201209090det,ram,Third Down Conv.,4-12,,,,,,
team,201209090det,det,Third Down Conv.,4-9,,,,,,
team,201209090det,ram,Fourth Down Conv.,0-0,,,,,,
team,201209090det,det,Fourth Down Conv.,0-0,,,,,,
team,201209090det,ram,Time of Possession,30:06,,,,,,
team,201209090det,det,Time of Possession,29:54,,,,,,
player,201209090det,ram,BradSa00,pass_cmp,17,,,,,
player,201209090det,ram,BradSa00,pass_att,25,,,,,
player,201209090det,ram,BradSa00,pass_yds,198,,,,,
player,201209090det,ram,BradSa00,pass_td,1,,,,,
player,201209090det,ram,BradSa00,pass_int,0,,,,,
player,201209090det,ram,BradSa00,pass_sacked,4,,,,,
player,201209090det,ram,BradSa00,pass_sacked_yds,25,,,,,
player,201209090det,ram,BradSa00,pass_long,23,,,,,
player,201209090det,ram,BradSa00,pass_rating,105.1,,,,,
player,201209090det,ram,BradSa00,rush_att,2,,,,,
player,201209090det,ram,BradSa00,rush_yds,2,,,,,
player,201209090det,ram,BradSa00,rush_td,0,,,,,
player,201209090det,ram,BradSa00,rush_long,3,,,,,
player,201209090det,ram,BradSa00,targets,0,,,,,
player,201209090det,ram,BradSa00,rec,0,,,,,
player,201209090det,ram,BradSa00,rec_yds,0,,,,,
player,201209090det,ram,BradSa00,rec_td,0,,,,,
player,201209090det,ram,BradSa00,rec_long,0,,,,,
player,201209090det,ram,BradSa00,fumbles,1,,,,,
player,201209090det,ram,BradSa00,fumbles_lost,0,,,,,
player,201209090det,ram,JackSt00,pass_cmp,0,,,,,
player,201209090det,ram,JackSt00,pass_att,0,,,,,
player,201209090det,ram,JackSt00,pass_yds,0,,,,,
