game,2012,9,20121104,201211040gnb,crd,"Arizona Cardinals",17,gnb,"Green Bay Packers",31
team,201211040gnb,crd,First Downs,16,,,,,,
team,201211040gnb,gnb,First Downs,20,,,,,,
team,201211040gnb,crd,Rush-Yds-TDs,18-54-1,,,,,,
team,201211040gnb,gnb,Rush-Yds-TDs,39-176-0,,,,,,
team,201211040gnb,crd,Cmp-Att-Yd-TD-INT,23-46-306-1-1,,,,,,
team,201211040gnb,gnb,Cmp-Att-Yd-TD-INT,14-30-218-4-1,,,,,,
team,201211040gnb,crd,Sacked-Yards,2-20,,,,,,
team,201211040gnb,gnb,Sacked-Yards,1-10,,,,,,
team,201211040gnb,crd,Net Pass Yards,286,,,,,,
team,201211040gnb,gnb,Net Pass Yards,208,,,,,,
team,201211040gnb,crd,Total Yards,340,,,,,,
team,201211040gnb,gnb,Total Yards,384,,,,,,
team,201211040gnb,crd,Fumbles-Lost,3-1,,,,,,
team,201211040gnb,gnb,Fumbles-Lost,1-0,,,,,,
team,201211040gnb,crd,Turnovers,2,,,,,,
team,201211040gnb,gnb,Turnovers,1,,,,,,
team,201211040gnb,crd,Penalties-Yards,8-57,,,,,,
team,201211040gnb,gnb,Penalties-Yards,1-5,,,,,,
team,201211040gnb,crd,Third Down Conv.,4-15,,,,,,
team,201211040gnb,gnb,Third Down Conv.,6-15,,,,,,
team,201211040gnb,crd,Fourth Down Conv.,1-2,,,,,,
team,201211040gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201211040gnb,crd,Time of Possession,26:30,,,,,,
team,201211040gnb,gnb,Time of Possession,33:30,,,,,,
player,201211040gnb,crd,SkelJo00,pass_cmp,23,,,,,
player,201211040gnb,crd,SkelJo00,pass_att,46,,,,,
player,201211040gnb,crd,SkelJo00,pass_yds,306,,,,,
player,201211040gnb,crd,SkelJo00,pass_td,1,,,,,
player,201211040gnb,crd,SkelJo00,pass_int,1,,,,,
player,201211040gnb,crd,SkelJo00,pass_sacked,2,,,,,
player,201211040gnb,crd,SkelJo00,pass_sacked_yds,20,,,,,
player,201211040gnb,crd,SkelJo00,pass_long,40,,,,,
player,201211040gnb,crd,SkelJo00,pass_rating,69.7,,,,,
player,201211040gnb,crd,SkelJo00,rush_att,0,,,,,
player,201211040gnb,crd,SkelJo00,rush_yds,0,,,,,
player,201211040gnb,crd,SkelJo00,rush_td,0,,,,,
player,201211040gnb,crd,SkelJo00,rush_long,0,,,,,
player,201211040gnb,crd,SkelJo00,targets,0,,,,,
player,201211040gnb,crd,SkelJo00,rec,0,,,,,
player,201211040gnb,crd,SkelJo00,rec_yds,0,,,,,
player,201211040gnb,crd,SkelJo00,rec_td,0,,,,,
player,201211040gnb,crd,SkelJo00,rec_long,0,,,,,
player,201211040gnb,crd,SkelJo00,fumbles,0,,,,,
player,201211040gnb,crd,SkelJo00,fumbles_lost,0,,,,,
player,201211040gnb,crd,StepLa00,pass_cmp,0,,,,,
player,201211040gnb,crd,StepLa00,pass_att,0,,,,,
player,201211040gnb,crd,StepLa00,pass_yds,0,,,,,
player,201211040gnb,crd,StepLa00,pass_td,0,,,,,
player,201211040gnb,crd,StepLa00,pass_int,0,,,,,
player,201211040gnb,crd,StepLa00,pass_sacked,0,,,,,
player,201211040gnb,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201211040gnb,crd,StepLa00,pass_long,0,,,,,
player,201211040gnb,crd,StepLa00,pass_rating,,,,,,
player,201211040gnb,crd,StepLa00,rush_att,17,,,,,
player,201211040gnb,crd,StepLa00,rush_yds,51,,,,,
player,201211040gnb,crd,StepLa00,rush_td,1,,,,,
player,201211040gnb,crd,StepLa00,rush_long,11,,,,,
player,201211040gnb,crd,StepLa00,targets,4,,,,,
player,201211040gnb,crd,StepLa00,rec,2,,,,,
player,201211040gnb,crd,StepLa00,rec_yds,8,,,,,
player,201211040gnb,crd,StepLa00,rec_td,0,,,,,
player,201211040gnb,crd,StepLa00,rec_long,14,,,,,
player,201211040gnb,crd,StepLa00,fumbles,0,,,,,
