game,2012,14,20121210,201212100nwe,htx,"Houston Texans",14,nwe,"New England Patriots",42
team,201212100nwe,htx,First Downs,19,,,,,,
team,201212100nwe,nwe,First Downs,27,,,,,,
team,201212100nwe,htx,Rush-Yds-TDs,27-100-2,,,,,,
team,201212100nwe,nwe,Rush-Yds-TDs,33-130-1,,,,,,
team,201212100nwe,htx,Cmp-Att-Yd-TD-INT,21-36-247-0-1,,,,,,
team,201212100nwe,nwe,Cmp-Att-Yd-TD-INT,21-36-296-4-1,,,,,,
team,201212100nwe,htx,Sacked-Yards,2-24,,,,,,
team,201212100nwe,nwe,Sacked-Yards,1-7,,,,,,
team,201212100nwe,htx,Net Pass Yards,223,,,,,,
team,201212100nwe,nwe,Net Pass Yards,289,,,,,,
team,201212100nwe,htx,Total Yards,323,,,,,,
team,201212100nwe,nwe,Total Yards,419,,,,,,
team,201212100nwe,htx,Fumbles-Lost,1-0,,,,,,
team,201212100nwe,nwe,Fumbles-Lost,2-0,,,,,,
team,201212100nwe,htx,Turnovers,1,,,,,,
team,201212100nwe,nwe,Turnovers,1,,,,,,
team,201212100nwe,htx,Penalties-Yards,7-70,,,,,,
team,201212100nwe,nwe,Penalties-Yards,6-56,,,,,,
team,201212100nwe,htx,Third Down Conv.,4-14,,,,,,
team,201212100nwe,nwe,Third Down Conv.,6-12,,,,,,
team,201212100nwe,htx,Fourth Down Conv.,0-2,,,,,,
team,201212100nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201212100nwe,htx,Time of Possession,29:11,,,,,,
team,201212100nwe,nwe,Time of Possession,30:49,,,,,,
player,201212100nwe,htx,SchaMa00,pass_cmp,19,,,,,
player,201212100nwe,htx,SchaMa00,pass_att,32,,,,,
player,201212100nwe,htx,SchaMa00,pass_yds,232,,,,,
player,201212100nwe,htx,SchaMa00,pass_td,0,,,,,
player,201212100nwe,htx,SchaMa00,pass_int,1,,,,,
player,201212100nwe,htx,SchaMa00,pass_sacked,2,,,,,
player,201212100nwe,htx,SchaMa00,pass_sacked_yds,24,,,,,
player,201212100nwe,htx,SchaMa00,pass_long,30,,,,,
player,201212100nwe,htx,SchaMa00,pass_rating,68.7,,,,,
player,201212100nwe,htx,SchaMa00,rush_att,0,,,,,
player,201212100nwe,htx,SchaMa00,rush_yds,0,,,,,
player,201212100nwe,htx,SchaMa00,rush_td,0,,,,,
player,201212100nwe,htx,SchaMa00,rush_long,0,,,,,
player,201212100nwe,htx,SchaMa00,targets,0,,,,,
player,201212100nwe,htx,SchaMa00,rec,0,,,,,
player,201212100nwe,htx,SchaMa00,rec_yds,0,,,,,
player,201212100nwe,htx,SchaMa00,rec_td,0,,,,,
player,201212100nwe,htx,SchaMa00,rec_long,0,,,,,
player,201212100nwe,htx,SchaMa00,fumbles,1,,,,,
player,201212100nwe,htx,SchaMa00,fumbles_lost,0,,,,,
player,201212100nwe,htx,YateT.00,pass_cmp,2,,,,,
player,201212100nwe,htx,YateT.00,pass_att,4,,,,,
player,201212100nwe,htx,YateT.00,pass_yds,15,,,,,
player,201212100nwe,htx,YateT.00,pass_td,0,,,,,
player,201212100nwe,htx,YateT.00,pass_int,0,,,,,
player,201212100nwe,htx,YateT.00,pass_sacked,0,,,,,
player,201212100nwe,htx,YateT.00,pass_sacked_yds,0,,,,,
player,201212100nwe,htx,YateT.00,pass_long,19,,,,,
player,201212100nwe,htx,YateT.00,pass_rating,59.4,,,,,
player,201212100nwe,htx,YateT.00,rush_att,1,,,,,
player,201212100nwe,htx,YateT.00,rush_yds,1,,,,,
player,201212100nwe,htx,YateT.00,rush_td,1,,,,,
player,201212100nwe,htx,YateT.00,rush_long,1,,,,,
player,201212100nwe,htx,YateT.00,targets,0,,,,,
player,201212100nwe,htx,YateT.00,rec,0,,,,,
player,201212100nwe,htx,YateT.00,rec_yds,0,,,,,
player,201212100nwe,htx,YateT.00,rec_td,0,,,,,
player,201212100nwe,htx,YateT.00,rec_long,0,,,,,
player,201212100nwe,htx,YateT.00,fumbles,0,,,,,
player,201212100nwe,htx,YateT.00,fumbles_lost,0,,,,,
player,201212100nwe,htx,FostAr00,pass_cmp,0,,,,,
player,201212100nwe,htx,FostAr00,pass_att,0,,,,,
player,201212100nwe,htx,FostAr00,pass_yds,0,,,,,
player,201212100nwe,htx,FostAr00,pass_td,0,,,,,
player,201212100nwe,htx,FostAr00,pass_int,0,,,,,
player,201212100nwe,htx,FostAr00,pass_sacked,0,,,,,
player,201212100nwe,htx,FostAr00,pass_sacked_yds,0,,,,,
player,201212100nwe,htx,FostAr00,pass_long,0,,,,,
player,201212100nwe,htx,FostAr00,pass_rating,,,,,,
player,201212100nwe,htx,FostAr00,rush_att,15,,,,,
player,201212100nwe,htx,FostAr00,rush_yds,46,,,,,
player,201212100nwe,htx,FostAr00,rush_td,1,,,,,
player,201212100nwe,htx,FostAr00,rush_long,15,,,,,
player,201212100nwe,htx,FostAr00,targets,6,,,,,
player,201212100nwe,htx,FostAr00,rec,4,,,,,
player,201212100nwe,htx,FostAr00,rec_yds,39,,,,,
player,201212100nwe,htx,FostAr00,rec_td,0,,,,,
player,201212100nwe,htx,FostAr00,rec_long,23,,,,,
player,201212100nwe,htx,FostAr00,fumbles,0,,,,,
