game,2012,13,20121202,201212020den,tam,"Tampa Bay Buccaneers",23,den,"Denver Broncos",31
team,201212020den,tam,First Downs,18,,,,,,
team,201212020den,den,First Downs,25,,,,,,
team,201212020den,tam,Rush-Yds-TDs,21-71-0,,,,,,
team,201212020den,den,Rush-Yds-TDs,29-91-0,,,,,,
team,201212020den,tam,Cmp-Att-Yd-TD-INT,18-39-242-2-1,,,,,,
team,201212020den,den,Cmp-Att-Yd-TD-INT,27-38-242-3-1,,,,,,
team,201212020den,tam,Sacked-Yards,1-7,,,,,,
team,201212020den,den,Sacked-Yards,0-0,,,,,,
team,201212020den,tam,Net Pass Yards,235,,,,,,
team,201212020den,den,Net Pass Yards,242,,,,,,
team,201212020den,tam,Total Yards,306,,,,,,
team,201212020den,den,Total Yards,333,,,,,,
team,201212020den,tam,Fumbles-Lost,1-0,,,,,,
team,201212020den,den,Fumbles-Lost,1-0,,,,,,
team,201212020den,tam,Turnovers,1,,,,,,
team,201212020den,den,Turnovers,1,,,,,,
team,201212020den,tam,Penalties-Yards,11-80,,,,,,
team,201212020den,den,Penalties-Yards,8-75,,,,,,
team,201212020den,tam,Third Down Conv.,3-12,,,,,,
team,201212020den,den,Third Down Conv.,4-11,,,,,,
team,201212020den,tam,Fourth Down Conv.,0-1,,,,,,
team,201212020den,den,Fourth Down Conv.,0-0,,,,,,
team,201212020den,tam,Time of Possession,26:33,,,,,,
team,201212020den,den,Time of Possession,33:27,,,,,,
player,201212020den,tam,FreeJo00,pass_cmp,18,,,,,
player,201212020den,tam,FreeJo00,pass_att,39,,,,,
player,201212020den,tam,FreeJo00,pass_yds,242,,,,,
player,201212020den,tam,FreeJo00,pass_td,2,,,,,
player,201212020den,tam,FreeJo00,pass_int,1,,,,,
player,201212020den,tam,FreeJo00,pass_sacked,1,,,,,
player,201212020den,tam,FreeJo00,pass_sacked_yds,7,,,,,
player,201212020den,tam,FreeJo00,pass_long,40,,,,,
player,201212020den,tam,FreeJo00,pass_rating,72.8,,,,,
player,201212020den,tam,FreeJo00,rush_att,2,,,,,
player,201212020den,tam,FreeJo00,rush_yds,7,,,,,
player,201212020den,tam,FreeJo00,rush_td,0,,,,,
player,201212020den,tam,FreeJo00,rush_long,5,,,,,
player,201212020den,tam,FreeJo00,targets,0,,,,,
player,201212020den,tam,FreeJo00,rec,0,,,,,
player,201212020den,tam,FreeJo00,rec_yds,0,,,,,
player,201212020den,tam,FreeJo00,rec_td,0,,,,,
player,201212020den,tam,FreeJo00,rec_long,0,,,,,
player,201212020den,tam,FreeJo00,fumbles,1,,,,,
player,201212020den,tam,FreeJo00,fumbles_lost,0,,,,,
player,201212020den,tam,MartDo00,pass_cmp,0,,,,,
player,201212020den,tam,MartDo00,pass_att,0,,,,,
player,201212020den,tam,MartDo00,pass_yds,0,,,,,
player,201212020den,tam,MartDo00,pass_td,0,,,,,
player,201212020den,tam,MartDo00,pass_int,0,,,,,
player,201212020den,tam,MartDo00,pass_sacked,0,,,,,
player,201212020den,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201212020den,tam,MartDo00,pass_long,0,,,,,
player,201212020den,tam,MartDo00,pass_rating,,,,,,
player,201212020den,tam,MartDo00,rush_att,18,,,,,
player,201212020den,tam,MartDo00,rush_yds,56,,,,,
player,201212020den,tam,MartDo00,rush_td,0,,,,,
player,201212020den,tam,MartDo00,rush_long,9,,,,,
player,201212020den,tam,MartDo00,targets,4,,,,,
player,201212020den,tam,MartDo00,rec,3,,,,,
player,201212020den,tam,MartDo00,rec_yds,42,,,,,
player,201212020den,tam,MartDo00,rec_td,0,,,,,
player,201212020den,tam,MartDo00,rec_long,26,,,,,
player,201212020den,tam,MartDo00,fumbles,0,,,,,
player,201212020den,tam,MartDo00,fumbles_lost,0,,,,,
player,201212020den,tam,WareDa00,pass_cmp,0,,,,,
player,201212020den,tam,WareDa00,pass_att,0,,,,,
player,201212020den,tam,WareDa00,pass_yds,0,,,,,
player,201212020den,tam,WareDa00,pass_td,0,,,,,
player,201212020den,tam,WareDa00,pass_int,0,,,,,
player,201212020den,tam,WareDa00,pass_sacked,0,,,,,
player,201212020den,tam,WareDa00,pass_sacked_yds,0,,,,,
player,201212020den,tam,WareDa00,pass_long,0,,,,,
player,201212020den,tam,WareDa00,pass_rating,,,,,,
player,201212020den,tam,WareDa00,rush_att,1,,,,,
player,201212020den,tam,WareDa00,rush_yds,8,,,,,
player,201212020den,tam,WareDa00,rush_td,0,,,,,
player,201212020den,tam,WareDa00,rush_long,8,,,,,
player,201212020den,tam,WareDa00,targets,1,,,,,
player,201212020den,tam,WareDa00,rec,0,,,,,
player,201212020den,tam,WareDa00,rec_yds,0,,,,,
player,201212020den,tam,WareDa00,rec_td,0,,,,,
player,201212020den,tam,WareDa00,rec_long,0,,,,,
player,201212020den,tam,WareDa00,fumbles,0,,,,,
player,201212020den,tam,WareDa00,fumbles_lost,0,,,,,
player,201212020den,tam,WillMi04,pass_cmp,0,,,,,
player,201212020den,tam,WillMi04,pass_att,0,,,,,
player,201212020den,tam,WillMi04,pass_yds,0,,,,,
player,201212020den,tam,WillMi04,pass_td,0,,,,,
player,201212020den,tam,WillMi04,pass_int,0,,,,,
player,201212020den,tam,WillMi04,pass_sacked,0,,,,,
player,201212020den,tam,WillMi04,pass_sacked_yds,0,,,,,
player,201212020den,tam,WillMi04,pass_long,0,,,,,
player,201212020den,tam,WillMi04,pass_rating,,,,,,
player,201212020den,tam,WillMi04,rush_att,0,,,,,
player,201212020den,tam,WillMi04,rush_yds,0,,,,,
player,201212020den,tam,WillMi04,rush_td,0,,,,,
player,201212020den,tam,WillMi04,rush_long,0,,,,,
player,201212020den,tam,WillMi04,targets,12,,,,,
player,201212020den,tam,WillMi04,rec,6,,,,,
player,201212020den,tam,WillMi04,rec_yds,93,,,,,
player,201212020den,tam,WillMi04,rec_td,1,,,,,
player,201212020den,tam,WillMi04,rec_long,40,,,,,
player,201212020den,tam,WillMi04,fumbles,0,,,,,
player,201212020den,tam,WillMi04,fumbles_lost,0,,,,,
player,201212020den,tam,JackVi00,pass_cmp,0,,,,,
player,201212020den,tam,JackVi00,pass_att,0,,,,,
player,201212020den,tam,JackVi00,pass_yds,0,,,,,
player,201212020den,tam,JackVi00,pass_td,0,,,,,
player,201212020den,tam,JackVi00,pass_int,0,,,,,
