game,2012,8,20121028,201210280phi,atl,"Atlanta Falcons",30,phi,"Philadelphia Eagles",17
team,201210280phi,atl,First Downs,24,,,,,,
team,201210280phi,phi,First Downs,20,,,,,,
team,201210280phi,atl,Rush-Yds-TDs,37-146-0,,,,,,
team,201210280phi,phi,Rush-Yds-TDs,24-92-1,,,,,,
team,201210280phi,atl,Cmp-Att-Yd-TD-INT,22-29-262-3-0,,,,,,
team,201210280phi,phi,Cmp-Att-Yd-TD-INT,21-35-191-1-0,,,,,,
team,201210280phi,atl,Sacked-Yards,2-16,,,,,,
team,201210280phi,phi,Sacked-Yards,3-13,,,,,,
team,201210280phi,atl,Net Pass Yards,246,,,,,,
team,201210280phi,phi,Net Pass Yards,178,,,,,,
team,201210280phi,atl,Total Yards,392,,,,,,
team,201210280phi,phi,Total Yards,270,,,,,,
team,201210280phi,atl,Fumbles-Lost,1-0,,,,,,
team,201210280phi,phi,Fumbles-Lost,2-0,,,,,,
team,201210280phi,atl,Turnovers,0,,,,,,
team,201210280phi,phi,Turnovers,0,,,,,,
team,201210280phi,atl,Penalties-Yards,6-40,,,,,,
team,201210280phi,phi,Penalties-Yards,6-57,,,,,,
team,201210280phi,atl,Third Down Conv.,7-13,,,,,,
team,201210280phi,phi,Third Down Conv.,6-13,,,,,,
team,201210280phi,atl,Fourth Down Conv.,0-1,,,,,,
team,201210280phi,phi,Fourth Down Conv.,1-3,,,,,,
team,201210280phi,atl,Time of Possession,32:55,,,,,,
team,201210280phi,phi,Time of Possession,27:05,,,,,,
player,201210280phi,atl,RyanMa00,pass_cmp,22,,,,,
player,201210280phi,atl,RyanMa00,pass_att,29,,,,,
player,201210280phi,atl,RyanMa00,pass_yds,262,,,,,
player,201210280phi,atl,RyanMa00,pass_td,3,,,,,
player,201210280phi,atl,RyanMa00,pass_int,0,,,,,
player,201210280phi,atl,RyanMa00,pass_sacked,2,,,,,
player,201210280phi,atl,RyanMa00,pass_sacked_yds,16,,,,,
player,201210280phi,atl,RyanMa00,pass_long,63,,,,,
player,201210280phi,atl,RyanMa00,pass_rating,137.4,,,,,
player,201210280phi,atl,RyanMa00,rush_att,3,,,,,
player,201210280phi,atl,RyanMa00,rush_yds,18,,,,,
player,201210280phi,atl,RyanMa00,rush_td,0,,,,,
player,201210280phi,atl,RyanMa00,rush_long,10,,,,,
player,201210280phi,atl,RyanMa00,targets,0,,,,,
player,201210280phi,atl,RyanMa00,rec,0,,,,,
player,201210280phi,atl,RyanMa00,rec_yds,0,,,,,
player,201210280phi,atl,RyanMa00,rec_td,0,,,,,
player,201210280phi,atl,RyanMa00,rec_long,0,,,,,
player,201210280phi,atl,RyanMa00,fumbles,0,,,,,
player,201210280phi,atl,RyanMa00,fumbles_lost,0,,,,,
player,201210280phi,atl,RodgJa00,pass_cmp,0,,,,,
player,201210280phi,atl,RodgJa00,pass_att,0,,,,,
player,201210280phi,atl,RodgJa00,pass_yds,0,,,,,
player,201210280phi,atl,RodgJa00,pass_td,0,,,,,
player,201210280phi,atl,RodgJa00,pass_int,0,,,,,
player,201210280phi,atl,RodgJa00,pass_sacked,0,,,,,
player,201210280phi,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201210280phi,atl,RodgJa00,pass_long,0,,,,,
player,201210280phi,atl,RodgJa00,pass_rating,,,,,,
player,201210280phi,atl,RodgJa00,rush_att,8,,,,,
player,201210280phi,atl,RodgJa00,rush_yds,60,,,,,
player,201210280phi,atl,RodgJa00,rush_td,0,,,,,
player,201210280phi,atl,RodgJa00,rush_long,43,,,,,
player,201210280phi,atl,RodgJa00,targets,5,,,,,
player,201210280phi,atl,RodgJa00,rec,5,,,,,
player,201210280phi,atl,RodgJa00,rec_yds,20,,,,,
player,201210280phi,atl,RodgJa00,rec_td,0,,,,,
player,201210280phi,atl,RodgJa00,rec_long,5,,,,,
player,201210280phi,atl,RodgJa00,fumbles,0,,,,,
player,201210280phi,atl,RodgJa00,fumbles_lost,0,,,,,
player,201210280phi,atl,TurnMi00,pass_cmp,0,,,,,
player,201210280phi,atl,TurnMi00,pass_att,0,,,,,
player,201210280phi,atl,TurnMi00,pass_yds,0,,,,,
player,201210280phi,atl,TurnMi00,pass_td,0,,,,,
player,201210280phi,atl,TurnMi00,pass_int,0,,,,,
