game,2012,16,20121223,201212230phi,was,"Washington Redskins",27,phi,"Philadelphia Eagles",20
player,201212230phi,was,MorrAl00,targets,1,,,,,
player,201212230phi,was,MorrAl00,rec,1,,,,,
player,201212230phi,was,MorrAl00,rec_yds,17,,,,,
player,201212230phi,was,MorrAl00,rec_td,0,,,,,
player,201212230phi,was,MorrAl00,rec_long,17,,,,,
player,201212230phi,was,MorrAl00,fumbles,0,,,,,
player,201212230phi,was,MorrAl00,fumbles_lost,0,,,,,
player,201212230phi,was,RoysEv00,pass_cmp,0,,,,,
player,201212230phi,was,RoysEv00,pass_att,0,,,,,
player,201212230phi,was,RoysEv00,pass_yds,0,,,,,
player,201212230phi,was,RoysEv00,pass_td,0,,,,,
player,201212230phi,was,RoysEv00,pass_int,0,,,,,
player,201212230phi,was,RoysEv00,pass_sacked,0,,,,,
player,201212230phi,was,RoysEv00,pass_sacked_yds,0,,,,,
player,201212230phi,was,RoysEv00,pass_long,0,,,,,
player,201212230phi,was,RoysEv00,pass_rating,,,,,,
player,201212230phi,was,RoysEv00,rush_att,2,,,,,
player,201212230phi,was,RoysEv00,rush_yds,14,,,,,
player,201212230phi,was,RoysEv00,rush_td,0,,,,,
player,201212230phi,was,RoysEv00,rush_long,7,,,,,
player,201212230phi,was,RoysEv00,targets,0,,,,,
player,201212230phi,was,RoysEv00,rec,0,,,,,
player,201212230phi,was,RoysEv00,rec_yds,0,,,,,
player,201212230phi,was,RoysEv00,rec_td,0,,,,,
player,201212230phi,was,RoysEv00,rec_long,0,,,,,
player,201212230phi,was,RoysEv00,fumbles,0,,,,,
player,201212230phi,was,RoysEv00,fumbles_lost,0,,,,,
player,201212230phi,was,MossSa00,pass_cmp,0,,,,,
player,201212230phi,was,MossSa00,pass_att,0,,,,,
player,201212230phi,was,MossSa00,pass_yds,0,,,,,
player,201212230phi,was,MossSa00,pass_td,0,,,,,
player,201212230phi,was,MossSa00,pass_int,0,,,,,
player,201212230phi,was,MossSa00,pass_sacked,0,,,,,
player,201212230phi,was,MossSa00,pass_sacked_yds,0,,,,,
player,201212230phi,was,MossSa00,pass_long,0,,,,,
player,201212230phi,was,MossSa00,pass_rating,,,,,,
player,201212230phi,was,MossSa00,rush_att,1,,,,,
player,201212230phi,was,MossSa00,rush_yds,12,,,,,
player,201212230phi,was,MossSa00,rush_td,0,,,,,
player,201212230phi,was,MossSa00,rush_long,12,,,,,
player,201212230phi,was,MossSa00,targets,3,,,,,
player,201212230phi,was,MossSa00,rec,2,,,,,
player,201212230phi,was,MossSa00,rec_yds,26,,,,,
player,201212230phi,was,MossSa00,rec_td,1,,,,,
