game,2012,5,20121007,201210070min,oti,"Tennessee Titans",7,min,"Minnesota Vikings",30
team,201210070min,oti,First Downs,18,,,,,,
team,201210070min,min,First Downs,25,,,,,,
team,201210070min,oti,Rush-Yds-TDs,19-52-0,,,,,,
team,201210070min,min,Rush-Yds-TDs,31-175-1,,,,,,
team,201210070min,oti,Cmp-Att-Yd-TD-INT,29-48-234-1-1,,,,,,
team,201210070min,min,Cmp-Att-Yd-TD-INT,25-35-258-2-2,,,,,,
team,201210070min,oti,Sacked-Yards,2-19,,,,,,
team,201210070min,min,Sacked-Yards,1-0,,,,,,
team,201210070min,oti,Net Pass Yards,215,,,,,,
team,201210070min,min,Net Pass Yards,258,,,,,,
team,201210070min,oti,Total Yards,267,,,,,,
team,201210070min,min,Total Yards,433,,,,,,
team,201210070min,oti,Fumbles-Lost,2-1,,,,,,
team,201210070min,min,Fumbles-Lost,0-0,,,,,,
team,201210070min,oti,Turnovers,2,,,,,,
team,201210070min,min,Turnovers,2,,,,,,
team,201210070min,oti,Penalties-Yards,10-75,,,,,,
team,201210070min,min,Penalties-Yards,5-60,,,,,,
team,201210070min,oti,Third Down Conv.,8-17,,,,,,
team,201210070min,min,Third Down Conv.,3-11,,,,,,
team,201210070min,oti,Fourth Down Conv.,1-2,,,,,,
team,201210070min,min,Fourth Down Conv.,0-0,,,,,,
team,201210070min,oti,Time of Possession,26:54,,,,,,
team,201210070min,min,Time of Possession,33:06,,,,,,
player,201210070min,oti,HassMa00,pass_cmp,26,,,,,
player,201210070min,oti,HassMa00,pass_att,43,,,,,
player,201210070min,oti,HassMa00,pass_yds,200,,,,,
player,201210070min,oti,HassMa00,pass_td,1,,,,,
player,201210070min,oti,HassMa00,pass_int,1,,,,,
player,201210070min,oti,HassMa00,pass_sacked,2,,,,,
player,201210070min,oti,HassMa00,pass_sacked_yds,19,,,,,
player,201210070min,oti,HassMa00,pass_long,18,,,,,
player,201210070min,oti,HassMa00,pass_rating,69.9,,,,,
player,201210070min,oti,HassMa00,rush_att,2,,,,,
player,201210070min,oti,HassMa00,rush_yds,10,,,,,
player,201210070min,oti,HassMa00,rush_td,0,,,,,
player,201210070min,oti,HassMa00,rush_long,11,,,,,
player,201210070min,oti,HassMa00,targets,0,,,,,
player,201210070min,oti,HassMa00,rec,0,,,,,
player,201210070min,oti,HassMa00,rec_yds,0,,,,,
player,201210070min,oti,HassMa00,rec_td,0,,,,,
player,201210070min,oti,HassMa00,rec_long,0,,,,,
player,201210070min,oti,HassMa00,fumbles,0,,,,,
player,201210070min,oti,HassMa00,fumbles_lost,0,,,,,
player,201210070min,oti,SmitRu01,pass_cmp,3,,,,,
player,201210070min,oti,SmitRu01,pass_att,5,,,,,
player,201210070min,oti,SmitRu01,pass_yds,34,,,,,
player,201210070min,oti,SmitRu01,pass_td,0,,,,,
player,201210070min,oti,SmitRu01,pass_int,0,,,,,
player,201210070min,oti,SmitRu01,pass_sacked,0,,,,,
player,201210070min,oti,SmitRu01,pass_sacked_yds,0,,,,,
player,201210070min,oti,SmitRu01,pass_long,17,,,,,
player,201210070min,oti,SmitRu01,pass_rating,80.4,,,,,
player,201210070min,oti,SmitRu01,rush_att,0,,,,,
player,201210070min,oti,SmitRu01,rush_yds,0,,,,,
player,201210070min,oti,SmitRu01,rush_td,0,,,,,
player,201210070min,oti,SmitRu01,rush_long,0,,,,,
player,201210070min,oti,SmitRu01,targets,0,,,,,
player,201210070min,oti,SmitRu01,rec,0,,,,,
player,201210070min,oti,SmitRu01,rec_yds,0,,,,,
player,201210070min,oti,SmitRu01,rec_td,0,,,,,
player,201210070min,oti,SmitRu01,rec_long,0,,,,,
player,201210070min,oti,SmitRu01,fumbles,0,,,,,
player,201210070min,oti,SmitRu01,fumbles_lost,0,,,,,
player,201210070min,oti,JohnCh04,pass_cmp,0,,,,,
player,201210070min,oti,JohnCh04,pass_att,0,,,,,
player,201210070min,oti,JohnCh04,pass_yds,0,,,,,
player,201210070min,oti,JohnCh04,pass_td,0,,,,,
player,201210070min,oti,JohnCh04,pass_int,0,,,,,
player,201210070min,oti,JohnCh04,pass_sacked,0,,,,,
player,201210070min,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201210070min,oti,JohnCh04,pass_long,0,,,,,
player,201210070min,oti,JohnCh04,pass_rating,,,,,,
player,201210070min,oti,JohnCh04,rush_att,15,,,,,
player,201210070min,oti,JohnCh04,rush_yds,24,,,,,
player,201210070min,oti,JohnCh04,rush_td,0,,,,,
player,201210070min,oti,JohnCh04,rush_long,9,,,,,
player,201210070min,oti,JohnCh04,targets,1,,,,,
player,201210070min,oti,JohnCh04,rec,1,,,,,
player,201210070min,oti,JohnCh04,rec_yds,5,,,,,
player,201210070min,oti,JohnCh04,rec_td,0,,,,,
player,201210070min,oti,JohnCh04,rec_long,5,,,,,
player,201210070min,oti,JohnCh04,fumbles,1,,,,,
player,201210070min,oti,JohnCh04,fumbles_lost,1,,,,,
player,201210070min,oti,BabiJo21,pass_cmp,0,,,,,
player,201210070min,oti,BabiJo21,pass_att,0,,,,,
player,201210070min,oti,BabiJo21,pass_yds,0,,,,,
player,201210070min,oti,BabiJo21,pass_td,0,,,,,
player,201210070min,oti,BabiJo21,pass_int,0,,,,,
player,201210070min,oti,BabiJo21,pass_sacked,0,,,,,
player,201210070min,oti,BabiJo21,pass_sacked_yds,0,,,,,
player,201210070min,oti,BabiJo21,pass_long,0,,,,,
player,201210070min,oti,BabiJo21,pass_rating,,,,,,
player,201210070min,oti,BabiJo21,rush_att,1,,,,,
player,201210070min,oti,BabiJo21,rush_yds,10,,,,,
player,201210070min,oti,BabiJo21,rush_td,0,,,,,
player,201210070min,oti,BabiJo21,rush_long,10,,,,,
player,201210070min,oti,BabiJo21,targets,0,,,,,
player,201210070min,oti,BabiJo21,rec,0,,,,,
player,201210070min,oti,BabiJo21,rec_yds,0,,,,,
player,201210070min,oti,BabiJo21,rec_td,0,,,,,
player,201210070min,oti,BabiJo21,rec_long,0,,,,,
player,201210070min,oti,BabiJo21,fumbles,0,,,,,
player,201210070min,oti,BabiJo21,fumbles_lost,0,,,,,
player,201210070min,oti,ReynDa00,pass_cmp,0,,,,,
player,201210070min,oti,ReynDa00,pass_att,0,,,,,
player,201210070min,oti,ReynDa00,pass_yds,0,,,,,
player,201210070min,oti,ReynDa00,pass_td,0,,,,,
player,201210070min,oti,ReynDa00,pass_int,0,,,,,
player,201210070min,oti,ReynDa00,pass_sacked,0,,,,,
player,201210070min,oti,ReynDa00,pass_sacked_yds,0,,,,,
player,201210070min,oti,ReynDa00,pass_long,0,,,,,
player,201210070min,oti,ReynDa00,pass_rating,,,,,,
player,201210070min,oti,ReynDa00,rush_att,1,,,,,
