game,2012,1,20120909,201209090den,pit,"Pittsburgh Steelers",19,den,"Denver Broncos",31
team,201209090den,pit,First Downs,19,,,,,,
team,201209090den,den,First Downs,20,,,,,,
team,201209090den,pit,Rush-Yds-TDs,26-75-0,,,,,,
team,201209090den,den,Rush-Yds-TDs,27-94-1,,,,,,
team,201209090den,pit,Cmp-Att-Yd-TD-INT,22-40-245-2-1,,,,,,
team,201209090den,den,Cmp-Att-Yd-TD-INT,19-26-253-2-0,,,,,,
team,201209090den,pit,Sacked-Yards,5-36,,,,,,
team,201209090den,den,Sacked-Yards,2-13,,,,,,
team,201209090den,pit,Net Pass Yards,209,,,,,,
team,201209090den,den,Net Pass Yards,240,,,,,,
team,201209090den,pit,Total Yards,284,,,,,,
team,201209090den,den,Total Yards,334,,,,,,
team,201209090den,pit,Fumbles-Lost,1-0,,,,,,
team,201209090den,den,Fumbles-Lost,1-1,,,,,,
team,201209090den,pit,Turnovers,1,,,,,,
team,201209090den,den,Turnovers,1,,,,,,
team,201209090den,pit,Penalties-Yards,8-52,,,,,,
team,201209090den,den,Penalties-Yards,6-49,,,,,,
team,201209090den,pit,Third Down Conv.,11-19,,,,,,
team,201209090den,den,Third Down Conv.,5-9,,,,,,
team,201209090den,pit,Fourth Down Conv.,1-2,,,,,,
team,201209090den,den,Fourth Down Conv.,0-0,,,,,,
team,201209090den,pit,Time of Possession,35:05,,,,,,
team,201209090den,den,Time of Possession,24:55,,,,,,
player,201209090den,pit,RoetBe00,pass_cmp,22,,,,,
player,201209090den,pit,RoetBe00,pass_att,40,,,,,
player,201209090den,pit,RoetBe00,pass_yds,245,,,,,
player,201209090den,pit,RoetBe00,pass_td,2,,,,,
player,201209090den,pit,RoetBe00,pass_int,1,,,,,
player,201209090den,pit,RoetBe00,pass_sacked,5,,,,,
player,201209090den,pit,RoetBe00,pass_sacked_yds,36,,,,,
player,201209090den,pit,RoetBe00,pass_long,27,,,,,
player,201209090den,pit,RoetBe00,pass_rating,79.7,,,,,
player,201209090den,pit,RoetBe00,rush_att,2,,,,,
player,201209090den,pit,RoetBe00,rush_yds,4,,,,,
player,201209090den,pit,RoetBe00,rush_td,0,,,,,
player,201209090den,pit,RoetBe00,rush_long,2,,,,,
player,201209090den,pit,RoetBe00,targets,0,,,,,
player,201209090den,pit,RoetBe00,rec,0,,,,,
player,201209090den,pit,RoetBe00,rec_yds,0,,,,,
player,201209090den,pit,RoetBe00,rec_td,0,,,,,
player,201209090den,pit,RoetBe00,rec_long,0,,,,,
player,201209090den,pit,RoetBe00,fumbles,1,,,,,
player,201209090den,pit,RoetBe00,fumbles_lost,0,,,,,
player,201209090den,pit,DwyeJo00,pass_cmp,0,,,,,
player,201209090den,pit,DwyeJo00,pass_att,0,,,,,
player,201209090den,pit,DwyeJo00,pass_yds,0,,,,,
player,201209090den,pit,DwyeJo00,pass_td,0,,,,,
player,201209090den,pit,DwyeJo00,pass_int,0,,,,,
player,201209090den,pit,DwyeJo00,pass_sacked,0,,,,,
player,201209090den,pit,DwyeJo00,pass_sacked_yds,0,,,,,
player,201209090den,pit,DwyeJo00,pass_long,0,,,,,
player,201209090den,pit,DwyeJo00,pass_rating,,,,,,
player,201209090den,pit,DwyeJo00,rush_att,9,,,,,
player,201209090den,pit,DwyeJo00,rush_yds,43,,,,,
player,201209090den,pit,DwyeJo00,rush_td,0,,,,,
player,201209090den,pit,DwyeJo00,rush_long,11,,,,,
player,201209090den,pit,DwyeJo00,targets,4,,,,,
player,201209090den,pit,DwyeJo00,rec,2,,,,,
player,201209090den,pit,DwyeJo00,rec_yds,11,,,,,
player,201209090den,pit,DwyeJo00,rec_td,0,,,,,
player,201209090den,pit,DwyeJo00,rec_long,11,,,,,
player,201209090den,pit,DwyeJo00,fumbles,0,,,,,
player,201209090den,pit,DwyeJo00,fumbles_lost,0,,,,,
player,201209090den,pit,RedmIs20,pass_cmp,0,,,,,
player,201209090den,pit,RedmIs20,pass_att,0,,,,,
player,201209090den,pit,RedmIs20,pass_yds,0,,,,,
player,201209090den,pit,RedmIs20,pass_td,0,,,,,
player,201209090den,pit,RedmIs20,pass_int,0,,,,,
player,201209090den,pit,RedmIs20,pass_sacked,0,,,,,
player,201209090den,pit,RedmIs20,pass_sacked_yds,0,,,,,
player,201209090den,pit,RedmIs20,pass_long,0,,,,,
player,201209090den,pit,RedmIs20,pass_rating,,,,,,
player,201209090den,pit,RedmIs20,rush_att,11,,,,,
player,201209090den,pit,RedmIs20,rush_yds,20,,,,,
player,201209090den,pit,RedmIs20,rush_td,0,,,,,
player,201209090den,pit,RedmIs20,rush_long,6,,,,,
player,201209090den,pit,RedmIs20,targets,2,,,,,
player,201209090den,pit,RedmIs20,rec,2,,,,,
player,201209090den,pit,RedmIs20,rec_yds,7,,,,,
player,201209090den,pit,RedmIs20,rec_td,0,,,,,
player,201209090den,pit,RedmIs20,rec_long,5,,,,,
player,201209090den,pit,RedmIs20,fumbles,0,,,,,
player,201209090den,pit,RedmIs20,fumbles_lost,0,,,,,
player,201209090den,pit,RainCh00,pass_cmp,0,,,,,
player,201209090den,pit,RainCh00,pass_att,0,,,,,
player,201209090den,pit,RainCh00,pass_yds,0,,,,,
player,201209090den,pit,RainCh00,pass_td,0,,,,,
player,201209090den,pit,RainCh00,pass_int,0,,,,,
player,201209090den,pit,RainCh00,pass_sacked,0,,,,,
player,201209090den,pit,RainCh00,pass_sacked_yds,0,,,,,
player,201209090den,pit,RainCh00,pass_long,0,,,,,
player,201209090den,pit,RainCh00,pass_rating,,,,,,
player,201209090den,pit,RainCh00,rush_att,2,,,,,
player,201209090den,pit,RainCh00,rush_yds,5,,,,,
player,201209090den,pit,RainCh00,rush_td,0,,,,,
player,201209090den,pit,RainCh00,rush_long,7,,,,,
player,201209090den,pit,RainCh00,targets,1,,,,,
player,201209090den,pit,RainCh00,rec,1,,,,,
player,201209090den,pit,RainCh00,rec_yds,-1,,,,,
player,201209090den,pit,RainCh00,rec_td,0,,,,,
player,201209090den,pit,RainCh00,rec_long,-1,,,,,
player,201209090den,pit,RainCh00,fumbles,0,,,,,
player,201209090den,pit,RainCh00,fumbles_lost,0,,,,,
player,201209090den,pit,BrowAn04,pass_cmp,0,,,,,
player,201209090den,pit,BrowAn04,pass_att,0,,,,,
player,201209090den,pit,BrowAn04,pass_yds,0,,,,,
player,201209090den,pit,BrowAn04,pass_td,0,,,,,
player,201209090den,pit,BrowAn04,pass_int,0,,,,,
player,201209090den,pit,BrowAn04,pass_sacked,0,,,,,
player,201209090den,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201209090den,pit,BrowAn04,pass_long,0,,,,,
player,201209090den,pit,BrowAn04,pass_rating,,,,,,
player,201209090den,pit,BrowAn04,rush_att,1,,,,,
player,201209090den,pit,BrowAn04,rush_yds,4,,,,,
player,201209090den,pit,BrowAn04,rush_td,0,,,,,
player,201209090den,pit,BrowAn04,rush_long,4,,,,,
player,201209090den,pit,BrowAn04,targets,8,,,,,
player,201209090den,pit,BrowAn04,rec,4,,,,,
player,201209090den,pit,BrowAn04,rec_yds,74,,,,,
player,201209090den,pit,BrowAn04,rec_td,0,,,,,
player,201209090den,pit,BrowAn04,rec_long,27,,,,,
player,201209090den,pit,BrowAn04,fumbles,0,,,,,
player,201209090den,pit,BrowAn04,fumbles_lost,0,,,,,
player,201209090den,pit,SandEm00,pass_cmp,0,,,,,
player,201209090den,pit,SandEm00,pass_att,0,,,,,
player,201209090den,pit,SandEm00,pass_yds,0,,,,,
player,201209090den,pit,SandEm00,pass_td,0,,,,,
player,201209090den,pit,SandEm00,pass_int,0,,,,,
player,201209090den,pit,SandEm00,pass_sacked,0,,,,,
player,201209090den,pit,SandEm00,pass_sacked_yds,0,,,,,
player,201209090den,pit,SandEm00,pass_long,0,,,,,
player,201209090den,pit,SandEm00,pass_rating,,,,,,
player,201209090den,pit,SandEm00,rush_att,0,,,,,
player,201209090den,pit,SandEm00,rush_yds,0,,,,,
player,201209090den,pit,SandEm00,rush_td,0,,,,,
player,201209090den,pit,SandEm00,rush_long,0,,,,,
player,201209090den,pit,SandEm00,targets,8,,,,,
player,201209090den,pit,SandEm00,rec,4,,,,,
player,201209090den,pit,SandEm00,rec_yds,55,,,,,
player,201209090den,pit,SandEm00,rec_td,0,,,,,
player,201209090den,pit,SandEm00,rec_long,17,,,,,
player,201209090den,pit,SandEm00,fumbles,0,,,,,
player,201209090den,pit,SandEm00,fumbles_lost,0,,,,,
player,201209090den,pit,MillHe00,pass_cmp,0,,,,,
player,201209090den,pit,MillHe00,pass_att,0,,,,,
player,201209090den,pit,MillHe00,pass_yds,0,,,,,
player,201209090den,pit,MillHe00,pass_td,0,,,,,
player,201209090den,pit,MillHe00,pass_int,0,,,,,
player,201209090den,pit,MillHe00,pass_sacked,0,,,,,
player,201209090den,pit,MillHe00,pass_sacked_yds,0,,,,,
player,201209090den,pit,MillHe00,pass_long,0,,,,,
player,201209090den,pit,MillHe00,pass_rating,,,,,,
player,201209090den,pit,MillHe00,rush_att,0,,,,,
player,201209090den,pit,MillHe00,rush_yds,0,,,,,
player,201209090den,pit,MillHe00,rush_td,0,,,,,
player,201209090den,pit,MillHe00,rush_long,0,,,,,
player,201209090den,pit,MillHe00,targets,7,,,,,
player,201209090den,pit,MillHe00,rec,4,,,,,
player,201209090den,pit,MillHe00,rec_yds,50,,,,,
player,201209090den,pit,MillHe00,rec_td,1,,,,,
player,201209090den,pit,MillHe00,rec_long,23,,,,,
player,201209090den,pit,MillHe00,fumbles,0,,,,,
player,201209090den,pit,MillHe00,fumbles_lost,0,,,,,
player,201209090den,pit,WallMi00,pass_cmp,0,,,,,
player,201209090den,pit,WallMi00,pass_att,0,,,,,
player,201209090den,pit,WallMi00,pass_yds,0,,,,,
player,201209090den,pit,WallMi00,pass_td,0,,,,,
player,201209090den,pit,WallMi00,pass_int,0,,,,,
player,201209090den,pit,WallMi00,pass_sacked,0,,,,,
player,201209090den,pit,WallMi00,pass_sacked_yds,0,,,,,
player,201209090den,pit,WallMi00,pass_long,0,,,,,
player,201209090den,pit,WallMi00,pass_rating,,,,,,
player,201209090den,pit,WallMi00,rush_att,0,,,,,
player,201209090den,pit,WallMi00,rush_yds,0,,,,,
player,201209090den,pit,WallMi00,rush_td,0,,,,,
player,201209090den,pit,WallMi00,rush_long,0,,,,,
player,201209090den,pit,WallMi00,targets,6,,,,,
player,201209090den,pit,WallMi00,rec,4,,,,,
player,201209090den,pit,WallMi00,rec_yds,37,,,,,
player,201209090den,pit,WallMi00,rec_td,1,,,,,
player,201209090den,pit,WallMi00,rec_long,14,,,,,
player,201209090den,pit,WallMi00,fumbles,0,,,,,
player,201209090den,pit,WallMi00,fumbles_lost,0,,,,,
player,201209090den,pit,JohnWi00,pass_cmp,0,,,,,
player,201209090den,pit,JohnWi00,pass_att,0,,,,,
player,201209090den,pit,JohnWi00,pass_yds,0,,,,,
player,201209090den,pit,JohnWi00,pass_td,0,,,,,
player,201209090den,pit,JohnWi00,pass_int,0,,,,,
player,201209090den,pit,JohnWi00,pass_sacked,0,,,,,
player,201209090den,pit,JohnWi00,pass_sacked_yds,0,,,,,
player,201209090den,pit,JohnWi00,pass_long,0,,,,,
player,201209090den,pit,JohnWi00,pass_rating,,,,,,
player,201209090den,pit,JohnWi00,rush_att,0,,,,,
player,201209090den,pit,JohnWi00,rush_yds,0,,,,,
player,201209090den,pit,JohnWi00,rush_td,0,,,,,
player,201209090den,pit,JohnWi00,rush_long,0,,,,,
player,201209090den,pit,JohnWi00,targets,1,,,,,
player,201209090den,pit,JohnWi00,rec,1,,,,,
player,201209090den,pit,JohnWi00,rec_yds,12,,,,,
player,201209090den,pit,JohnWi00,rec_td,0,,,,,
player,201209090den,pit,JohnWi00,rec_long,12,,,,,
player,201209090den,pit,JohnWi00,fumbles,0,,,,,
player,201209090den,pit,JohnWi00,fumbles_lost,0,,,,,
player,201209090den,pit,CotcJe00,pass_cmp,0,,,,,
player,201209090den,pit,CotcJe00,pass_att,0,,,,,
player,201209090den,pit,CotcJe00,pass_yds,0,,,,,
player,201209090den,pit,CotcJe00,pass_td,0,,,,,
player,201209090den,pit,CotcJe00,pass_int,0,,,,,
player,201209090den,pit,CotcJe00,pass_sacked,0,,,,,
player,201209090den,pit,CotcJe00,pass_sacked_yds,0,,,,,
player,201209090den,pit,CotcJe00,pass_long,0,,,,,
player,201209090den,pit,CotcJe00,pass_rating,,,,,,
player,201209090den,pit,CotcJe00,rush_att,0,,,,,
player,201209090den,pit,CotcJe00,rush_yds,0,,,,,
