game,2012,6,20121014,201210140mia,ram,"St. Louis Rams",14,mia,"Miami Dolphins",17
player,201210140mia,ram,GiveCh00,pass_att,0,,,,,
player,201210140mia,ram,GiveCh00,pass_yds,0,,,,,
player,201210140mia,ram,GiveCh00,pass_td,0,,,,,
player,201210140mia,ram,GiveCh00,pass_int,0,,,,,
player,201210140mia,ram,GiveCh00,pass_sacked,0,,,,,
player,201210140mia,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,GiveCh00,pass_long,0,,,,,
player,201210140mia,ram,GiveCh00,pass_rating,,,,,,
player,201210140mia,ram,GiveCh00,rush_att,0,,,,,
player,201210140mia,ram,GiveCh00,rush_yds,0,,,,,
player,201210140mia,ram,GiveCh00,rush_td,0,,,,,
player,201210140mia,ram,GiveCh00,rush_long,0,,,,,
player,201210140mia,ram,GiveCh00,targets,7,,,,,
player,201210140mia,ram,GiveCh00,rec,3,,,,,
player,201210140mia,ram,GiveCh00,rec_yds,85,,,,,
player,201210140mia,ram,GiveCh00,rec_td,0,,,,,
player,201210140mia,ram,GiveCh00,rec_long,65,,,,,
player,201210140mia,ram,GiveCh00,fumbles,0,,,,,
player,201210140mia,ram,GiveCh00,fumbles_lost,0,,,,,
player,201210140mia,ram,KendLa00,pass_cmp,0,,,,,
player,201210140mia,ram,KendLa00,pass_att,0,,,,,
player,201210140mia,ram,KendLa00,pass_yds,0,,,,,
player,201210140mia,ram,KendLa00,pass_td,0,,,,,
player,201210140mia,ram,KendLa00,pass_int,0,,,,,
player,201210140mia,ram,KendLa00,pass_sacked,0,,,,,
player,201210140mia,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,KendLa00,pass_long,0,,,,,
player,201210140mia,ram,KendLa00,pass_rating,,,,,,
player,201210140mia,ram,KendLa00,rush_att,0,,,,,
player,201210140mia,ram,KendLa00,rush_yds,0,,,,,
player,201210140mia,ram,KendLa00,rush_td,0,,,,,
player,201210140mia,ram,KendLa00,rush_long,0,,,,,
player,201210140mia,ram,KendLa00,targets,4,,,,,
player,201210140mia,ram,KendLa00,rec,4,,,,,
player,201210140mia,ram,KendLa00,rec_yds,40,,,,,
player,201210140mia,ram,KendLa00,rec_td,0,,,,,
player,201210140mia,ram,KendLa00,rec_long,23,,,,,
player,201210140mia,ram,KendLa00,fumbles,0,,,,,
player,201210140mia,ram,KendLa00,fumbles_lost,0,,,,,
player,201210140mia,ram,SmitSt02,pass_cmp,0,,,,,
player,201210140mia,ram,SmitSt02,pass_att,0,,,,,
player,201210140mia,ram,SmitSt02,pass_yds,0,,,,,
player,201210140mia,ram,SmitSt02,pass_td,0,,,,,
player,201210140mia,ram,SmitSt02,pass_int,0,,,,,
player,201210140mia,ram,SmitSt02,pass_sacked,0,,,,,
player,201210140mia,ram,SmitSt02,pass_sacked_yds,0,,,,,
player,201210140mia,ram,SmitSt02,pass_long,0,,,,,
player,201210140mia,ram,SmitSt02,pass_rating,,,,,,
player,201210140mia,ram,SmitSt02,rush_att,0,,,,,
player,201210140mia,ram,SmitSt02,rush_yds,0,,,,,
player,201210140mia,ram,SmitSt02,rush_td,0,,,,,
player,201210140mia,ram,SmitSt02,rush_long,0,,,,,
player,201210140mia,ram,SmitSt02,targets,2,,,,,
player,201210140mia,ram,SmitSt02,rec,2,,,,,
player,201210140mia,ram,SmitSt02,rec_yds,18,,,,,
player,201210140mia,ram,SmitSt02,rec_td,0,,,,,
player,201210140mia,ram,SmitSt02,rec_long,13,,,,,
player,201210140mia,ram,SmitSt02,fumbles,0,,,,,
player,201210140mia,ram,SmitSt02,fumbles_lost,0,,,,,
player,201210140mia,ram,MullMa00,pass_cmp,0,,,,,
player,201210140mia,ram,MullMa00,pass_att,0,,,,,
player,201210140mia,ram,MullMa00,pass_yds,0,,,,,
player,201210140mia,ram,MullMa00,pass_td,0,,,,,
player,201210140mia,ram,MullMa00,pass_int,0,,,,,
player,201210140mia,ram,MullMa00,pass_sacked,0,,,,,
player,201210140mia,ram,MullMa00,pass_sacked_yds,0,,,,,
player,201210140mia,ram,MullMa00,pass_long,0,,,,,
player,201210140mia,ram,MullMa00,pass_rating,,,,,,
player,201210140mia,ram,MullMa00,rush_att,0,,,,,
player,201210140mia,ram,MullMa00,rush_yds,0,,,,,
